名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
下水道软泥怪,中立,稀有,20,7,,,
丛林猎豹,中立,普通,53,4,,,
中暑的匪徒,中立,稀有,50,4,,,
乌特加德鱼叉射手,中立,稀有,44,5,,,
乌祖尔恐魔,恶魔猎手,普通,76,2,,,
乱喷的骆驼,中立,普通,28,7,,,
了不起的杰弗里斯,中立,传说,94,1,,,
任务达人,中立,稀有,54,4,,,
伊利达雷邪刃武士,恶魔猎手,稀有,92,1,,,
伊瑟拉,中立,传说,80,1,,,
伞降教官,中立,普通,45,5,,,
传染孢子,中立,稀有,52,4,,是,
传送门大恶魔,中立,史诗,57,4,,,
传送门守护者,中立,稀有,54,4,,,
作战傀儡,中立,普通,49,5,,,
侏儒发明家,中立,普通,60,3,,,
光明之翼,中立,传说,71,2,,,
八爪巨怪,中立,传说,87,1,,,
再生大盗,中立,稀有,50,4,,,
军情七处渗透者,中立,稀有,61,3,,,
冰雹使者,中立,普通,74,2,,,
冰霜元素,中立,普通,67,3,适合,,
冰霜织影者,中立,普通,72,2,,,
冰风雪人,中立,普通,67,3,,,
凯尔萨斯·逐日者,中立,传说,31,6,,,
凯恩·日怒,恶魔猎手,传说,81,1,,,
凯恩·血蹄,中立,传说,79,2,适合,,
刃缚精锐,恶魔猎手,普通,102,1,,,
刃舞,恶魔猎手,稀有,42,5,,,
剃刀猎手,中立,普通,54,4,,,
加基森拍卖师,中立,稀有,35,6,,,
协同打击,恶魔猎手,普通,66,3,,,
南海船工,中立,普通,47,5,适合,,
南海船长,中立,史诗,50,4,,,
卡塔图防御者,中立,稀有,57,4,,,
厄运信天翁,中立,稀有,46,5,,,
历史爱好者,中立,史诗,76,2,,,
双刃斩击,恶魔猎手,普通,80,1,,,
双头暴虐龙,中立,普通,113,1,,,
受伤的托维尔人,中立,普通,62,3,,,
变装游荡者,中立,普通,71,2,,,
古尔丹之颅,恶魔猎手,稀有,76,2,,是,
古怪的铭文师,中立,普通,85,1,,,
古拉巴什狂暴者,中立,普通,46,5,,,
叫嚣的中士,中立,普通,55,4,适合,,
吞噬魔法,恶魔猎手,普通,58,4,,是,
咖啡师林彻,中立,传说,66,3,,,
哈里森·琼斯,中立,传说,58,4,,,
喷灯破坏者,中立,史诗,71,2,,,
噬骨先锋,中立,普通,82,1,,,
噬骨殴斗者,中立,普通,72,2,适合,,
团队领袖,中立,普通,41,5,,,
圣光护卫者,中立,稀有,31,6,,,
地精滑翔技师,中立,普通,54,4,,,
坑道爆破师,中立,稀有,44,5,,,
埃辛诺斯战刃,恶魔猎手,史诗,92,1,,是,
塔隆·血魔,中立,传说,69,3,,,
复制机器人,中立,史诗,40,5,适合,,
多彩龙卵,中立,史诗,29,7,,,
夜刃刺客,中立,普通,44,5,适合,,
大厨诺米,中立,传说,33,6,,,
大地之环先知,中立,普通,68,3,适合,,
大检察官怀特迈恩,中立,传说,74,2,,,
大法师,中立,普通,53,4,,,
大法师瓦格斯,中立,传说,46,5,,,
天空上将库拉格,中立,传说,17,7,,,
