名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
“丛林猎人”赫米特,中立,传说,65,3,,,
“开拓者”伊莉斯,中立,传说,65,3,,,
“老狐狸”马林,中立,传说,44,5,适合,,
下水道爬行者,中立,普通,56,4,适合,,
不稳定的元素,中立,普通,55,4,,,
世界之树的嫩枝,德鲁伊,传说,44,5,,,
丛林守护者,德鲁伊,稀有,56,4,,,
丛林猎豹,中立,普通,53,4,,,
亡斧惩罚者,中立,史诗,26,7,,,
亡语者,中立,普通,77,2,,,
人偶大师多里安,中立,传说,32,6,,,
任务达人,中立,稀有,55,4,,,
伊克斯里德，真菌之王,德鲁伊,传说,60,3,,,
伊利丹·怒风,中立,传说,66,3,,,
伊瑟拉,中立,传说,77,2,,,
传播瘟疫,德鲁伊,稀有,78,2,,,
伪装机器人,中立,普通,59,4,,,
作战傀儡,中立,普通,47,5,,,
侏儒发明家,中立,普通,60,3,,,
倔强的蜗牛,中立,普通,67,3,适合,,
全息术士,中立,史诗,22,7,,,
公会招募员,中立,普通,55,4,,,
冰冻粉碎者,中立,稀有,63,3,,,
冰川裂片,中立,普通,71,2,适合,,
冰霜元素,中立,普通,67,3,,,
冰风雪人,中立,普通,66,3,,,
冷酷的死灵法师,中立,普通,68,3,适合,,
凯恩·血蹄,中立,传说,77,2,,,
凯雷塞斯王子,中立,传说,34,6,,,
凶恶的鳞皮兽,中立,普通,34,6,不适合,,
凶猛咆哮,德鲁伊,普通,32,6,,,
凶猛的聒噪怪,中立,稀有,48,5,,,
分岔路口,德鲁伊,史诗,64,3,,,
分裂腐树,中立,史诗,27,7,,,
利爪德鲁伊,德鲁伊,普通,88,1,,,
利齿宝箱,中立,普通,43,5,,,
制毒师,中立,普通,50,4,,,
剃刀猎手,中立,普通,54,4,,,
剑齿追猎者,中立,普通,36,6,,,
剑龙,中立,普通,59,4,,,
加基森拍卖师,中立,稀有,35,6,,,
卑劣的窃蛋者,中立,普通,70,2,,,
南海船工,中立,普通,42,5,,,
南海船长,中立,史诗,49,5,,,
南瓜农夫,中立,普通,47,5,不适合,,
卡利莫斯的仆从,中立,稀有,52,4,,,
