名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
“丛林猎人”赫米特,中立,传说,65,3,,,
“开拓者”伊莉斯,中立,传说,67,3,适合,,
“老狐狸”马林,中立,传说,46,5,,,
三眼乌鸦,法师,普通,51,4,,,
下水道爬行者,中立,普通,56,4,,,
不稳定的元素,中立,普通,56,4,适合,,
丛林猎豹,中立,普通,53,4,,,
中场拾荒者,中立,普通,60,3,,,
乌达斯塔,中立,传说,83,1,,,
乌鸦魔仆,法师,普通,70,2,,,
亡斧惩罚者,中立,史诗,26,7,,,
亡语者,中立,普通,77,2,,,
人偶大师多里安,中立,传说,33,6,,,
任务达人,中立,稀有,55,4,,,
伊利丹·怒风,中立,传说,66,3,,,
伊瑟拉,中立,传说,80,1,,,
伪装机器人,中立,普通,58,4,,,
作战傀儡,中立,普通,48,5,,,
侏儒发明家,中立,普通,60,3,,,
倔强的蜗牛,中立,普通,66,3,适合,,
元素唤醒,法师,普通,23,7,,,
全息术士,中立,史诗,24,7,,,
公会招募员,中立,普通,54,4,,,
再生暴徒,中立,普通,58,4,,,
冰冷鬼魂,法师,普通,71,2,,,
冰冻粉碎者,中立,稀有,64,3,适合,,
冰刺,法师,史诗,51,4,,,
冰封秘典,法师,史诗,2,7,,,
冰川裂片,中立,普通,71,2,适合,,
冰淇淋小贩,中立,史诗,50,4,,,
冰锥术,法师,普通,48,5,,,
冰霜,法师,普通,40,5,,,
冰霜元素,中立,普通,69,3,适合,,
冰风雪人,中立,普通,66,3,,,
冰龙吐息,法师,普通,56,4,,,
冲击波,法师,史诗,76,2,,,
冷酷的死灵法师,中立,普通,67,3,,,
凯恩·血蹄,中立,传说,78,2,,,
凯雷塞斯王子,中立,传说,34,6,,,
凶恶的鳞皮兽,中立,普通,34,6,不适合,,
凶猛的聒噪怪,中立,稀有,47,5,,,
分裂腐树,中立,史诗,26,7,,,
利齿宝箱,中立,普通,43,5,,,
制毒师,中立,普通,50,4,,,
剃刀猎手,中立,普通,55,4,,,
剑齿追猎者,中立,普通,36,6,,,
剑龙,中立,普通,60,3,,,
加亚莱，龙鹰之神,法师,传说,20,7,,,
加基森拍卖师,中立,稀有,37,6,适合,,
卑劣的窃蛋者,中立,普通,69,3,不适合,,
南海船工,中立,普通,42,5,,,
南海船长,中立,史诗,49,5,,,
南瓜农夫,中立,普通,49,5,不适合,,
卡利莫斯的仆从,中立,稀有,61,3,适合,,
厄运鼹鼠,中立,普通,56,4,不适合,,
发条机器人,中立,普通,53,4,适合,,
受损的机械剑龙,中立,普通,60,3,,,
变形卷轴,法师,普通,51,4,,,
变形术,法师,普通,85,1,,,
古拉巴什供品,中立,史诗,7,7,,,
古拉巴什小鸡,中立,普通,8,7,,,
