名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
“丛林猎人”赫米特,中立,传说,65,3,,,
“开拓者”伊莉斯,中立,传说,65,3,,,
“老狐狸”马林,中立,传说,42,5,适合,,
下水道爬行者,中立,普通,56,4,适合,,
不稳定的元素,中立,普通,55,4,,,
丛林猎豹,中立,普通,53,4,,,
亡斧惩罚者,中立,史诗,28,7,适合,,
亡语者,中立,普通,76,2,不适合,,
亮石技师,圣骑士,史诗,42,5,,,
人偶大师多里安,中立,传说,32,6,,,
以眼还眼,圣骑士,普通,3,7,,,
任务达人,中立,稀有,55,4,,,
伊利丹·怒风,中立,传说,66,3,,,
伊瑟拉,中立,传说,77,2,,,
伪装机器人,中立,普通,61,3,适合,,
作战傀儡,中立,普通,46,5,不适合,,
侏儒发明家,中立,普通,60,3,,,
保护之手,圣骑士,普通,43,5,,,
倔强的蜗牛,中立,普通,66,3,,,
傲慢的十字军,圣骑士,稀有,59,4,,,
光之悲恸,圣骑士,史诗,20,7,,,
光铸剑龙,圣骑士,稀有,53,4,,,
全息术士,中立,史诗,22,7,,,
公会招募员,中立,普通,56,4,适合,,
公正之剑,圣骑士,史诗,67,3,,,
冰冻粉碎者,中立,稀有,61,3,不适合,,
冰川裂片,中立,普通,70,2,,,
冰霜元素,中立,普通,67,3,,,
冰风雪人,中立,普通,66,3,,,
冷酷的死灵法师,中立,普通,70,2,适合,,
凯恩·血蹄,中立,传说,78,2,适合,,
凯雷塞斯王子,中立,传说,42,5,适合,,
凶恶的鳞皮兽,中立,普通,37,6,适合,,
凶猛的聒噪怪,中立,稀有,52,4,适合,,
分裂腐树,中立,史诗,28,7,适合,,
列王守卫,圣骑士,普通,54,4,,,
利亚姆王子,圣骑士,传说,59,4,,,
利齿宝箱,中立,普通,42,5,不适合,,
制毒师,中立,普通,51,4,适合,,
剃刀猎手,中立,普通,54,4,,,
剑齿追猎者,中立,普通,36,6,,,
剑龙,中立,普通,59,4,,,
剑龙骑术,圣骑士,稀有,111,1,,,
力量祝福,圣骑士,普通,53,4,,,
加基森拍卖师,中立,稀有,35,6,,,
卑劣的窃蛋者,中立,普通,71,2,适合,,
