名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
下水道软泥怪,中立,稀有,20,7,,,
不眠之魂,牧师,普通,41,5,,,
丛林猎豹,中立,普通,53,4,,,
中暑的匪徒,中立,稀有,52,4,适合,,
乌特加德鱼叉射手,中立,稀有,45,5,适合,,
乱喷的骆驼,中立,普通,29,7,适合,,
了不起的杰弗里斯,中立,传说,94,1,,,
亡者卡特琳娜,牧师,传说,84,1,,,
任务达人,中立,稀有,54,4,,,
伊瑟拉,中立,传说,82,1,适合,,
伞降教官,中立,普通,44,5,不适合,,
传染孢子,中立,稀有,52,4,,是,
传送门大恶魔,中立,史诗,57,4,,,
传送门守护者,中立,稀有,55,4,适合,,
作战傀儡,中立,普通,52,4,适合,,
侏儒发明家,中立,普通,61,3,适合,,
光明之泉,牧师,稀有,15,7,,,
光明之翼,中立,传说,72,2,适合,,
光耀之子,牧师,普通,65,3,,,
八爪巨怪,中立,传说,86,1,不适合,,
再生大盗,中立,稀有,50,4,,,
军情七处渗透者,中立,稀有,61,3,,,
冰雹使者,中立,普通,73,2,不适合,,
冰霜元素,中立,普通,66,3,,,
冰霜织影者,中立,普通,72,2,,,
冰风雪人,中立,普通,67,3,,,
凯尔萨斯·逐日者,中立,传说,31,6,,,
凯恩·血蹄,中立,传说,80,1,适合,,
剃刀猎手,中立,普通,54,4,,,
加基森拍卖师,中立,稀有,35,6,,,
卑劣的回收者,牧师,稀有,69,3,,,
南海船工,中立,普通,42,5,,,
南海船长,中立,史诗,50,4,,,
卡塔图防御者,中立,稀有,58,4,适合,,
厄运信天翁,中立,稀有,47,5,适合,,
历史爱好者,中立,史诗,75,2,不适合,,
双头暴虐龙,中立,普通,116,1,适合,,
受伤的托维尔人,中立,普通,63,3,适合,,
变装游荡者,中立,普通,68,3,不适合,,
古怪的铭文师,中立,普通,83,1,不适合,,
古拉巴什狂暴者,中立,普通,52,4,适合,,
叫嚣的中士,中立,普通,50,4,不适合,,
咖啡师林彻,中立,传说,66,3,,,
哈里森·琼斯,中立,传说,58,4,,,
喷灯破坏者,中立,史诗,71,2,,,
噬骨先锋,中立,普通,84,1,适合,,
噬骨殴斗者,中立,普通,72,2,适合,,
团队领袖,中立,普通,39,6,不适合,,
圣光护卫者,中立,稀有,54,4,适合,,
圣光闪耀,牧师,普通,3,7,,,
圣殿执行者,牧师,普通,90,1,,,
地精滑翔技师,中立,普通,54,4,,,
坑道爆破师,中立,稀有,44,5,,,
塔隆·血魔,中立,传说,69,3,,,
墓地符文,牧师,普通,73,2,,,
复制机器人,中立,史诗,40,5,适合,,
复苏,牧师,普通,81,1,,,
多彩龙卵,中立,史诗,31,6,适合,,
夜刃刺客,中立,普通,43,5,,,
大厨诺米,中立,传说,33,6,,,
大地之环先知,中立,普通,65,3,,,
大检察官怀特迈恩,中立,传说,74,2,,,
大法师,中立,普通,54,4,适合,,
大法师瓦格斯,中立,传说,48,5,适合,,
天空上将库拉格,中立,传说,17,7,,,
夺心者卡什,牧师,传说,90,1,,,
夺日者战斗法师,中立,稀有,54,4,适合,,
夺日者间谍,中立,普通,56,4,,,
夺烛木乃伊,中立,普通,72,2,不适合,,
奔逃的魔刃豹,中立,史诗,69,3,,,
奥,中立,传说,52,4,不适合,,
奥妮克希亚,中立,传说,91,1,,,
奥术仆从,中立,普通,57,4,,,
奥术傀儡,中立,稀有,17,7,,,
奥术吞噬者,中立,稀有,19,7,,,
奥秘守护者,中立,稀有,29,7,,,
娜塔莉·塞林,牧师,传说,97,1,,,
寒光先知,中立,稀有,13,7,,,
小个子召唤师,中立,稀有,51,4,,,
小精灵,中立,普通,19,7,不适合,,
小鬼召唤师,中立,稀有,64,3,,,
尼斐塞特仪祭师,中立,稀有,74,2,适合,,
岩浆暴怒者,中立,普通,13,7,不适合,,
工匠大师欧沃斯巴克,中立,传说,55,4,,,
工程师学徒,中立,普通,53,4,,,
巨魔蝙蝠骑士,中立,普通,82,1,,,
巫医,中立,普通,51,4,适合,,
希亚玛特,中立,传说,108,1,适合,,
帝王眼镜蛇,中立,稀有,61,3,,,
年轻的女祭司,中立,稀有,58,4,,,
年轻的酒仙,中立,普通,50,4,,,
年迈的法师,中立,稀有,32,6,,,
年迈的酒仙,中立,普通,47,5,,,
幻化师,中立,史诗,53,4,,,
幼龙饲养员,中立,稀有,62,3,,,
幼龙鹰,中立,普通,10,7,,,
库尔提拉斯教士,牧师,稀有,79,2,,,
废土刺客,中立,普通,62,3,不适合,,
