名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
“丛林猎人”赫米特,中立,史诗,61,3,不适合,,
“开拓者”伊莉斯,中立,史诗,65,3,,,
“老狐狸”马林,中立,史诗,36,6,不适合,,
下水道爬行者,中立,史诗,55,4,,,
不稳定的元素,中立,史诗,55,4,,,
丛林猎豹,中立,史诗,53,4,,,
亡斧惩罚者,中立,史诗,26,7,,,
亡语者,中立,史诗,77,2,,,
亵渎,术士,稀有,79,2,,,
人偶大师多里安,中立,史诗,32,6,,,
任务达人,中立,稀有,56,4,适合,,
伊利丹·怒风,中立,史诗,70,2,适合,,
伊瑟拉,中立,史诗,67,3,不适合,,
伪装机器人,中立,史诗,59,4,,,
作战傀儡,中立,史诗,44,5,不适合,,
侏儒发明家,中立,史诗,50,4,不适合,,
侏儒吸血鬼,术士,史诗,57,4,,,
倔强的蜗牛,中立,史诗,69,3,适合,,
全息术士,中立,史诗,22,7,,,
公会招募员,中立,史诗,55,4,,,
冰冻粉碎者,中立,稀有,61,3,不适合,,
冰川裂片,中立,史诗,77,2,适合,,
冰霜元素,中立,史诗,67,3,,,
冰风雪人,中立,史诗,66,3,,,
冷酷的死灵法师,中立,史诗,68,3,适合,,
凯恩·血蹄,中立,史诗,76,2,不适合,,
凯雷塞斯王子,中立,史诗,41,5,适合,,
凶恶的鳞皮兽,中立,史诗,38,6,适合,,
凶猛的聒噪怪,中立,稀有,53,4,适合,,
分裂腐树,中立,史诗,20,7,不适合,,
利齿宝箱,中立,史诗,43,5,,,
制毒师,中立,史诗,50,4,,,
剃刀猎手,中立,史诗,54,4,,,
剑齿追猎者,中立,史诗,36,6,,,
剑龙,中立,史诗,61,3,适合,,
加基森拍卖师,中立,稀有,30,6,不适合,,
加拉克苏斯大王,术士,史诗,71,2,,是,
卑劣的窃蛋者,中立,史诗,70,2,,,
卑鄙的恐惧魔王,术士,稀有,114,1,,,
南海船工,中立,史诗,45,5,适合,,
南海船长,中立,史诗,49,5,,,
南瓜农夫,中立,史诗,55,4,适合,,
