名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
下水道软泥怪,中立,稀有,22,7,适合,,
丛林猎豹,中立,普通,53,4,,,
严酷的监工,战士,普通,77,2,,,
中暑的匪徒,中立,稀有,50,4,,,
乌特加德鱼叉射手,中立,稀有,45,5,适合,,
乱喷的骆驼,中立,普通,29,7,适合,,
了不起的杰弗里斯,中立,传说,93,1,不适合,,
任务达人,中立,稀有,54,4,,,
伊瑟拉,中立,传说,80,1,,,
伞降教官,中立,普通,44,5,不适合,,
传染孢子,中立,稀有,52,4,,是,
传送门大恶魔,中立,史诗,57,4,,,
传送门守护者,中立,稀有,54,4,,,
作战傀儡,中立,普通,49,5,,,
侏儒发明家,中立,普通,60,3,,,
光明之翼,中立,传说,71,2,,,
八爪巨怪,中立,传说,87,1,,,
再生大盗,中立,稀有,50,4,,,
冒进的艇长,战士,稀有,58,4,,,
军情七处渗透者,中立,稀有,61,3,,,
冰雹使者,中立,普通,74,2,,,
冰霜元素,中立,普通,66,3,,,
冰霜织影者,中立,普通,72,2,,,
冰风雪人,中立,普通,67,3,,,
冲锋,战士,普通,28,7,,是,
凯尔萨斯·逐日者,中立,传说,31,6,,,
凯恩·血蹄,中立,传说,78,2,,,
凶恶的废钢猎犬,战士,普通,37,6,,,
剃刀猎手,中立,普通,54,4,,,
剑刃风暴,战士,史诗,67,3,,,
剑盾猛攻,战士,普通,62,3,,,
加基森拍卖师,中立,稀有,35,6,,,
升级,战士,稀有,65,3,,,
南海船工,中立,普通,52,4,适合,,
南海船长,中立,史诗,52,4,适合,,
卡加斯·刃拳,战士,传说,89,1,,,
卡塔图防御者,中立,稀有,59,4,适合,,
厄运信天翁,中立,稀有,47,5,适合,,
历史爱好者,中立,史诗,75,2,不适合,,
双头暴虐龙,中立,普通,113,1,,,
发条地精,战士,稀有,53,4,,,
受伤的托维尔人,中立,普通,62,3,,,
变装游荡者,中立,普通,71,2,,,
古怪的铭文师,中立,普通,85,1,,,
古拉巴什狂暴者,中立,普通,51,4,适合,,
