名称,费用,职业,稀有度,评分,评级,建议不选多张,
“丛林猎人”赫米特,6,中立,传说,113,3,,
“开拓者”伊莉斯,5,中立,传说,129,2,,
“老狐狸”马林,8,中立,传说,88,5,,
下水道爬行者,3,中立,普通,105,3,,
不稳定的元素,2,中立,普通,108,3,,
世界之树的嫩枝,4,德鲁伊,传说,58,7,,
丛林守护者,4,德鲁伊,稀有,100,4,,
丛林猎豹,3,中立,普通,103,4,,
中场拾荒者,4,中立,普通,110,3,,
乌达斯塔,9,中立,传说,98,4,,
亡斧惩罚者,4,中立,史诗,63,7,,
亡语者,3,中立,普通,125,2,,
人偶大师多里安,5,中立,传说,78,6,,
任务达人,3,中立,稀有,93,5,,
伊克斯里德，真菌之王,5,德鲁伊,传说,133,1,,
伊利丹·怒风,6,中立,传说,117,2,,
伊瑟拉,9,中立,传说,98,4,,
传播瘟疫,6,德鲁伊,稀有,126,2,,
伪装机器人,4,中立,普通,104,4,,
作战傀儡,7,中立,普通,89,5,,
侏儒发明家,4,中立,普通,107,3,,
倔强的蜗牛,2,中立,普通,138,1,,
全息术士,5,中立,史诗,67,7,,
公会招募员,5,中立,普通,104,4,,
再生暴徒,4,中立,普通,96,4,,
冰冻粉碎者,6,中立,稀有,103,4,,
冰川裂片,1,中立,普通,102,4,,
冰淇淋小贩,4,中立,史诗,94,5,,
冰霜元素,6,中立,普通,84,6,,
冰风雪人,4,中立,普通,117,2,,
冷酷的死灵法师,4,中立,普通,118,2,,
凯恩·血蹄,6,中立,传说,130,2,,
凯雷塞斯王子,2,中立,传说,91,5,,
凶恶的鳞皮兽,2,中立,普通,99,4,,
凶猛咆哮,3,德鲁伊,普通,88,5,,
凶猛的聒噪怪,1,中立,稀有,81,6,,
分岔路口,4,德鲁伊,史诗,114,2,,
分裂腐树,8,中立,史诗,115,2,,
利爪德鲁伊,5,德鲁伊,普通,142,1,,
利齿宝箱,3,中立,普通,102,4,,
制毒师,5,中立,普通,96,4,,
剃刀猎手,3,中立,普通,104,4,,
剑齿追猎者,6,中立,普通,81,6,,
剑龙,4,中立,普通,95,5,,
加基森拍卖师,6,中立,稀有,79,6,是,
卑劣的窃蛋者,3,中立,普通,135,1,,
南海船工,1,中立,普通,81,6,,
南海船长,3,中立,史诗,93,5,,
南瓜农夫,3,中立,普通,103,4,,
卡利莫斯的仆从,5,中立,稀有,96,4,,
厄运鼹鼠,1,中立,普通,85,6,,
发条机器人,5,中立,普通,71,6,,
受损的机械剑龙,6,中立,普通,97,4,,
变形神龟,4,德鲁伊,稀有,125,2,,
古拉巴什供品,1,中立,史诗,54,7,,
古拉巴什小鸡,1,中立,普通,54,7,,
古拉巴什狂暴者,5,中立,普通,91,5,,
叫嚣的中士,1,中立,普通,78,6,,
可升级机器人,2,中立,普通,95,5,,
可靠的灯泡,1,中立,普通,68,7,,
吉尔尼斯皇家卫兵,8,中立,稀有,102,4,,
吸血蚊,4,中立,稀有,93,5,,
命运织网蛛,5,德鲁伊,史诗,109,3,,
哀泣女妖,4,中立,稀有,132,1,,
哈多诺克斯,9,德鲁伊,传说,85,6,,
哈里森·琼斯,5,中立,传说,90,5,,
唤尸者,5,中立,稀有,106,3,,
唤鸦者,3,中立,普通,103,4,,
喧哗的诗人,3,中立,普通,97,4,,
嗜睡的神枪手,2,中立,普通,45,7,,
团队领袖,3,中立,普通,87,5,,
圣光护卫者,1,中立,稀有,74,6,,
地穴领主,3,德鲁伊,普通,137,1,,
地精炸弹,1,中立,普通,27,7,,
场馆保镖,7,中立,普通,101,4,,
坩埚元素,8,中立,普通,74,6,,
埃隆巴克保护者,8,德鲁伊,普通,100,4,,
堕落残阳祭司,2,中立,普通,98,4,,
塔达拉姆王子,3,中立,传说,91,5,,
塞纳留斯,9,德鲁伊,传说,106,3,,
墓地蹒跚者,4,中立,普通,98,4,,
墓穴潜伏者,5,中立,史诗,106,3,,
