名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道软泥怪,7,中立,稀有,44,7,,
丛林猎豹,3,中立,普通,100,4,,
中暑的匪徒,4,中立,稀有,101,4,,
乌特加德鱼叉射手,6,中立,稀有,62,7,,
九命兽魂,3,猎人,史诗,79,6,,
乱喷的骆驼,2,中立,普通,63,7,,
了不起的杰弗里斯,2,中立,传说,241,1,,
任务达人,3,中立,稀有,119,2,,
伊瑟拉,9,中立,传说,91,5,,
伞降教官,3,中立,普通,81,6,,
传染孢子,1,中立,稀有,47,7,,
传送门大恶魔,6,中立,史诗,88,5,,
传送门守护者,4,中立,稀有,91,5,,
作战傀儡,7,中立,普通,81,6,,
侏儒发明家,4,中立,普通,93,5,,
俯冲狮鹫,3,猎人,稀有,183,1,,
光明之翼,3,中立,传说,117,2,,
八爪巨怪,8,中立,传说,193,1,,
关门放狗,3,猎人,普通,142,1,,
兽王莱欧洛克斯,8,猎人,传说,83,6,,
军情七处渗透者,4,中立,稀有,97,4,,
冰冻陷阱,2,猎人,普通,131,2,,
冰雹使者,5,中立,普通,114,2,,
冰霜元素,6,中立,普通,86,6,,
冰霜织影者,3,中立,普通,129,2,,
冰风雪人,4,中立,普通,99,4,,
凯尔萨斯·逐日者,7,中立,传说,57,7,,
凯恩·血蹄,6,中立,传说,109,3,,
刺血狂蝎,6,猎人,史诗,82,6,,
剃刀猎手,3,中立,普通,100,4,,
加基森拍卖师,6,中立,稀有,72,6,,
动物伙伴,3,猎人,普通,125,2,,
南海船工,1,中立,普通,75,6,,
南海船长,3,中立,史诗,74,6,,
卡塔图防御者,6,中立,稀有,97,4,,
厄运信天翁,4,中立,稀有,97,4,,
历史爱好者,3,中立,史诗,124,2,,
压感陷阱,2,猎人,普通,58,7,,
双头暴虐龙,8,中立,普通,151,1,,
受伤的托维尔人,2,中立,普通,101,4,,
变装游荡者,4,中立,普通,122,2,,
古怪的铭文师,6,中立,普通,126,2,,
古拉巴什狂暴者,5,中立,普通,76,6,,
叫嚣的中士,1,中立,普通,69,6,,
咖啡师林彻,5,中立,传说,122,2,,
哈里森·琼斯,5,中立,传说,74,6,,
喷灯破坏者,3,中立,史诗,112,3,,
噬骨先锋,7,中立,普通,114,2,,
噬骨殴斗者,2,中立,普通,116,2,,
团队领袖,3,中立,普通,70,6,,
土狼头领,4,猎人,稀有,75,6,,
圣光护卫者,1,中立,稀有,55,7,,
地狱野猪,1,猎人,普通,106,3,,
地精滑翔技师,3,中立,普通,78,6,,
坑道爆破师,7,中立,稀有,78,6,,
塔隆·血魔,3,中立,传说,119,2,,
复制机器人,4,中立,史诗,60,7,,
复生大盗,5,中立,稀有,72,6,,
多彩龙卵,5,中立,史诗,44,7,,
多重射击,4,猎人,普通,130,2,,
夜刃刺客,5,中立,普通,81,6,,
大厨诺米,7,中立,传说,63,7,,
大地之环先知,3,中立,普通,92,5,,
大检察官怀特迈恩,7,中立,传说,118,2,,
大法师,6,中立,普通,77,6,,
大法师瓦格斯,4,中立,传说,94,5,,
夺日者战斗法师,5,中立,稀有,71,6,,
夺日者间谍,2,中立,普通,91,5,,
夺烛木乃伊,3,中立,普通,120,2,,
奔逃的魔刃豹,4,中立,史诗,114,2,,
奥,5,中立,传说,115,2,,
奥妮克希亚,9,中立,传说,111,3,,
奥术仆从,2,中立,普通,87,5,,
奥术傀儡,3,中立,稀有,60,7,,
奥术吞噬者,8,中立,稀有,54,7,,
奥术射击,1,猎人,普通,100,4,,
奥术弓箭手,4,猎人,史诗,80,6,,
奥秘守护者,1,中立,稀有,66,7,,
始生龙探险者,3,猎人,普通,190,1,,
寒光先知,3,中立,稀有,50,7,,
小个子召唤师,2,中立,稀有,83,6,,
小精灵,0,中立,普通,63,7,,
小鬼召唤师,3,中立,稀有,78,6,,
尼斐塞特仪祭师,2,中立,稀有,113,3,,
岩浆暴怒者,3,中立,普通,62,7,,
工匠大师欧沃斯巴克,3,中立,传说,92,5,,
工程师学徒,2,中立,普通,98,4,,
巨魔蝙蝠骑士,4,中立,普通,121,2,,
巫医,1,中立,普通,78,6,,
希亚玛特,7,中立,传说,159,1,,
帝王眼镜蛇,3,中立,稀有,116,2,,
年轻的女祭司,1,中立,稀有,81,6,,
年轻的酒仙,2,中立,普通,88,5,,
年迈的法师,4,中立,稀有,60,7,,
年迈的酒仙,4,中立,普通,88,5,,
幻化师,2,中立,史诗,89,5,,
幼龙饲养员,2,中立,稀有,113,3,,
幼龙鹰,1,中立,普通,65,7,,
废土刺客,5,中立,普通,100,4,,
废土守望者,5,中立,史诗,106,3,,
废土巨蝎,7,中立,普通,96,4,,
废料场巨像,10,中立,稀有,107,3,,
废铁射击,4,猎人,稀有,118,2,,
弗瑞兹·光巢,4,中立,传说,103,4,,
强能箭猪,3,猎人,史诗,130,2,,
急速射击,1,猎人,普通,79,6,,
怪盗布缆鼠,2,中立,普通,124,2,,
恐怖海盗,4,中立,普通,74,6,,
恐惧渡鸦,3,中立,史诗,116,2,,
恐狼前锋,2,中立,普通,112,3,,
恐龙大师布莱恩,7,猎人,传说,104,4,,
恶毒铁匠,5,中立,普通,92,5,,
