名称,费用,职业,稀有度,评分,评级,建议不选多张,
Icicle,2,法师,史诗,100,4,,
Tome of Intellect,1,法师,普通,70,6,,
“丛林猎人”赫米特,6,中立,传说,115,2,,
“开拓者”伊莉斯,5,中立,传说,133,1,,
“老狐狸”马林,8,中立,传说,89,5,,
三眼乌鸦,4,法师,普通,98,4,,
下水道爬行者,3,中立,普通,101,4,,
不稳定的元素,2,中立,普通,112,3,,
丛林猎豹,3,中立,普通,100,4,,
乌鸦魔仆,2,法师,普通,94,5,,
亡斧惩罚者,4,中立,史诗,56,7,,
亡语者,3,中立,普通,127,2,,
人偶大师多里安,5,中立,传说,67,7,,
任务达人,3,中立,稀有,93,5,,
伊利丹·怒风,6,中立,传说,120,2,,
伊瑟拉,9,中立,传说,103,4,,
伪装机器人,4,中立,普通,104,4,,
作战傀儡,7,中立,普通,88,5,,
侏儒发明家,4,中立,普通,103,4,,
倔强的蜗牛,2,中立,普通,156,1,,
全息术士,5,中立,史诗,62,7,,
公会招募员,5,中立,普通,113,3,,
冰冷鬼魂,3,法师,普通,129,2,,
冰冻粉碎者,6,中立,稀有,102,4,,
冰封秘典,8,法师,史诗,9,7,,
冰川裂片,1,中立,普通,110,3,,
冰锥术,4,法师,普通,104,4,,
冰霜元素,6,中立,普通,85,6,,
冰霜新星,3,法师,普通,108,3,,
冰风雪人,4,中立,普通,114,2,,
冰龙吐息,1,法师,普通,82,6,,
冷酷的死灵法师,4,中立,普通,115,2,,
凯恩·血蹄,6,中立,传说,133,1,,
凯雷塞斯王子,2,中立,传说,85,6,,
凶恶的鳞皮兽,2,中立,普通,82,6,,
凶猛的聒噪怪,1,中立,稀有,81,6,,
分裂腐树,8,中立,史诗,122,2,,
利齿宝箱,3,中立,普通,98,4,,
制毒师,5,中立,普通,99,4,,
剃刀猎手,3,中立,普通,99,4,,
剑齿追猎者,6,中立,普通,83,6,,
剑龙,4,中立,普通,90,5,,
加基森拍卖师,6,中立,稀有,76,6,是,
卑劣的窃蛋者,3,中立,普通,134,1,,
南海船工,1,中立,普通,75,6,,
南海船长,3,中立,史诗,86,6,,
南瓜农夫,3,中立,普通,92,5,,
卡利莫斯的仆从,5,中立,稀有,110,3,,
厄运鼹鼠,1,中立,普通,81,6,,
发条机器人,5,中立,普通,79,6,,
受损的机械剑龙,6,中立,普通,96,4,,
变形卷轴,0,法师,普通,113,3,,
变形术,4,法师,普通,164,1,,
古拉巴什狂暴者,5,中立,普通,88,5,,
古董收藏家,5,法师,稀有,80,6,,
叫嚣的中士,1,中立,普通,76,6,,
可升级机器人,2,中立,普通,94,5,,
可靠的灯泡,1,中立,普通,70,6,,
吉尔尼斯皇家卫兵,8,中立,稀有,107,3,,
吸血蚊,4,中立,稀有,88,5,,
哀泣女妖,4,中立,稀有,131,2,,
哈里森·琼斯,5,中立,传说,86,6,,
唤尸者,5,中立,稀有,110,3,,
唤鸦者,3,中立,普通,114,2,,
喧哗的诗人,3,中立,普通,95,5,,
团队领袖,3,中立,普通,83,6,,
圣光护卫者,1,中立,稀有,71,6,,
地精炸弹,1,中立,普通,17,7,,
坩埚元素,8,中立,普通,75,6,,
堕落残阳祭司,2,中立,普通,95,5,,
塔达拉姆王子,3,中立,传说,86,6,,
墓地蹒跚者,4,中立,普通,98,4,,
