名称,费用,职业,稀有度,评分,评级,建议不选多张,
“丛林猎人”赫米特,6,中立,传说,112,3,,
“开拓者”伊莉斯,5,中立,传说,131,2,,
“老狐狸”马林,8,中立,传说,87,5,,
下水道爬行者,3,中立,普通,101,4,,
不稳定的元素,2,中立,普通,107,3,,
丛林猎豹,3,中立,普通,99,4,,
亡斧惩罚者,4,中立,史诗,57,7,,
亡语者,3,中立,普通,129,2,,
亮石技师,6,圣骑士,史诗,141,1,,
人偶大师多里安,5,中立,传说,66,7,,
以眼还眼,1,圣骑士,普通,62,7,,
任务达人,3,中立,稀有,92,5,,
伊利丹·怒风,6,中立,传说,119,2,,
伊瑟拉,9,中立,传说,101,4,,
伪装机器人,4,中立,普通,106,3,,
作战傀儡,7,中立,普通,87,5,,
侏儒发明家,4,中立,普通,102,4,,
保护之手,1,圣骑士,普通,99,4,,
倔强的蜗牛,2,中立,普通,158,1,,
傲慢的十字军,4,圣骑士,稀有,119,2,,
光之悲恸,4,圣骑士,史诗,24,7,,
光铸剑龙,4,圣骑士,稀有,100,4,,
全息术士,5,中立,史诗,62,7,,
公会招募员,5,中立,普通,113,3,,
公正之剑,3,圣骑士,史诗,143,1,,
冰冻粉碎者,6,中立,稀有,98,4,,
冰川裂片,1,中立,普通,112,3,,
冰霜元素,6,中立,普通,81,6,,
冰风雪人,4,中立,普通,114,2,,
冷酷的死灵法师,4,中立,普通,115,2,,
凯恩·血蹄,6,中立,传说,132,1,,
凯雷塞斯王子,2,中立,传说,86,6,,
凶恶的鳞皮兽,2,中立,普通,92,5,,
凶猛的聒噪怪,1,中立,稀有,86,6,,
分裂腐树,8,中立,史诗,121,2,,
列王守卫,7,圣骑士,普通,85,6,,
利亚姆王子,5,圣骑士,传说,101,4,,
利齿宝箱,3,中立,普通,98,4,,
制毒师,5,中立,普通,99,4,,
剃刀猎手,3,中立,普通,100,4,,
剑齿追猎者,6,中立,普通,81,6,,
剑龙,4,中立,普通,91,5,,
剑龙骑术,6,圣骑士,稀有,155,1,,
力量祝福,1,圣骑士,普通,96,4,,
加基森拍卖师,6,中立,稀有,74,6,是,
卑劣的窃蛋者,3,中立,普通,134,1,,
南海船工,1,中立,普通,100,4,,
南海船长,3,中立,史诗,86,6,,
南瓜农夫,3,中立,普通,97,4,,
卡利莫斯的仆从,5,中立,稀有,93,5,,
厄运鼹鼠,1,中立,普通,88,5,,
发条机器人,5,中立,普通,70,6,,
受损的机械剑龙,6,中立,普通,98,4,,
受祝福的勇士,5,圣骑士,稀有,23,7,,
古拉巴什狂暴者,5,中立,普通,89,5,,
叫嚣的中士,1,中立,普通,83,6,,
可升级机器人,2,中立,普通,99,4,,
可靠的灯泡,1,中立,普通,82,6,,
吉尔尼斯皇家卫兵,8,中立,稀有,106,3,,
吵吵模组,4,圣骑士,稀有,154,1,,
吸血蚊,4,中立,稀有,87,5,,
咆哮的指挥官,3,圣骑士,稀有,84,6,,
和蔼的灯神,3,圣骑士,普通,111,3,,
哀泣女妖,4,中立,稀有,131,2,,
