名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道软泥怪,7,中立,稀有,55,7,,
不眠之魂,4,牧师,普通,83,6,,
丛林猎豹,3,中立,普通,93,5,,
丧钟机器人,2,牧师,普通,116,2,,
书卷之龙,6,中立,稀有,64,7,,
亡者卡特琳娜,8,牧师,传说,118,2,,
人气选手,4,中立,史诗,104,4,,
任务达人,3,中立,稀有,98,4,,
伊利丹·怒风,6,中立,传说,123,2,,
伊瑟拉,9,中立,传说,98,4,,
传送门大恶魔,6,中立,史诗,105,3,,
传送门守护者,4,中立,稀有,109,3,,
伪装机器人,4,中立,普通,99,4,,
低阶侍从,1,中立,普通,69,6,,
作战傀儡,7,中立,普通,90,5,,
侏儒发明家,4,中立,普通,97,4,,
侏儒变形师,2,中立,史诗,130,2,,
侏儒实验技师,3,中立,稀有,83,6,,
俘获的冰虫,7,中立,普通,84,6,,
先知维伦,7,牧师,传说,98,4,,
光明之泉,2,牧师,稀有,46,7,,
光明邪使菲奥拉,3,中立,传说,111,3,,
光耀之子,4,牧师,普通,105,3,,
克瓦迪尔劫掠者,5,中立,普通,93,5,,
克隆大师泽里克,6,牧师,传说,90,5,,
克隆装置,1,牧师,普通,106,3,,
全息术士,5,中立,史诗,68,7,,
冰吼,9,中立,传说,119,2,,
冰喉,7,中立,传说,86,6,,
冰霜元素,6,中立,普通,89,5,,
冰霜巨人,10,中立,史诗,80,6,,
冰霜暴怒者,3,中立,普通,91,5,,
冰风雪人,4,中立,普通,110,3,,
净化,2,牧师,普通,66,7,,
凯恩·血蹄,6,中立,传说,126,2,,
击剑教头,3,中立,稀有,107,3,,
剃刀猎手,3,中立,普通,95,5,,
加兹鲁维,6,中立,传说,66,7,,
加基森拍卖师,6,中立,稀有,77,6,是,
加基森枪骑士,1,中立,普通,93,5,,
北海海怪,9,中立,普通,108,3,,
北郡牧师,1,牧师,普通,148,1,,
十字军统领,6,中立,史诗,99,4,,
南海船工,1,中立,普通,79,6,,
南海船长,3,中立,史诗,83,6,,
博尔夫·碎盾,6,中立,传说,52,7,,
发条侏儒,1,中立,普通,97,4,,
发条巨人,12,中立,史诗,47,7,,
发条骑士,5,中立,普通,103,4,,
受伤的克瓦迪尔,1,中立,稀有,81,6,,
受损的机械剑龙,6,中立,普通,92,5,,
古怪的铭文师,6,中立,普通,144,1,,
古拉巴什狂暴者,5,中立,普通,89,5,,
叫嚣的中士,1,中立,普通,74,6,,
可升级机器人,2,中立,普通,90,5,,
可靠的灯泡,1,中立,普通,76,6,,
吵吵机器人,2,中立,普通,107,3,,
咖啡师林彻,5,中立,传说,126,2,,
哈里森·琼斯,5,中立,传说,84,6,,
回收机器人,5,中立,史诗,82,6,,
团队领袖,3,中立,普通,86,6,,
圣光勇士,3,中立,稀有,108,3,,
圣光护卫者,1,中立,稀有,82,6,,
圣光炸弹,6,牧师,史诗,141,1,,
圣殿执行者,6,牧师,普通,112,3,,
地精工兵,3,中立,稀有,75,6,,
地精炸弹,1,中立,普通,28,7,,
坑道爆破师,7,中立,稀有,68,7,,
基维斯,4,中立,稀有,78,6,,
增生手臂,2,牧师,稀有,154,1,,
复生大盗,5,中立,稀有,89,5,,
夜刃刺客,5,中立,普通,78,6,,
大厨诺米,7,中立,传说,72,6,,
大地之环先知,3,中立,普通,108,3,,
大师级枪骑士,6,中立,稀有,81,6,,
大法师,6,中立,普通,86,6,,
大法师瓦格斯,4,中立,传说,101,4,,
大胖,3,中立,史诗,81,6,,
大铡蟹,3,中立,传说,177,1,,
天空上尉库拉格,7,中立,传说,108,3,,
夺日者战斗法师,5,中立,稀有,78,6,,
夺日者间谍,2,中立,普通,93,5,,
奇利亚斯,5,中立,传说,152,1,,
奥妮克希亚,9,中立,传说,120,2,,
奥术仆从,2,中立,普通,93,5,,
奥术傀儡,3,中立,稀有,69,6,,
奥术巨人,12,中立,史诗,66,7,,
奥术畸体,1,中立,普通,90,5,,
奥秘守护者,1,中立,稀有,58,7,,
奥能水母,6,中立,稀有,108,3,,
奥能铁匠,4,中立,普通,87,5,,
奥金尼灵魂祭司,4,牧师,稀有,140,1,,
实验体,1,牧师,稀有,60,7,,
实验体9号,5,中立,传说,67,7,,
宴会牧师,4,牧师,普通,109,3,,
寒光先知,3,中立,稀有,60,7,,
小个子召唤师,2,中立,稀有,88,5,,
小个子法师,4,中立,史诗,62,7,,
小个子驱魔者,3,中立,稀有,68,7,,
小精灵,0,中立,普通,58,7,,
小鬼召唤师,3,中立,稀有,89,5,,
展览馆法师,5,中立,普通,80,6,,
山岭巨人,12,中立,史诗,52,7,,
岩浆暴怒者,3,中立,普通,72,6,,
工匠大师欧沃斯巴克,3,中立,传说,105,3,,
工匠镇技师,3,中立,普通,105,3,,
工程师学徒,2,中立,普通,97,4,,
巫医,1,中立,普通,97,4,,
巴内斯,4,中立,传说,113,3,,
布林顿3000型,5,中立,传说,55,7,,
帝王眼镜蛇,3,中立,稀有,114,2,,
年轻的女祭司,1,中立,稀有,96,4,,
年轻的酒仙,2,中立,普通,93,5,,
年迈的法师,4,中立,稀有,69,6,,
年迈的酒仙,4,中立,普通,99,4,,
幼龙鹰,1,中立,普通,49,7,,
庆典司仪,3,中立,史诗,83,6,,
引力翻转,0,牧师,普通,67,7,,
弹簧火箭犬,3,中立,普通,114,2,,
强化机器人,4,中立,史诗,98,4,,
强能雷象,3,中立,史诗,108,3,,
强袭坦克,8,中立,普通,115,2,,
征募官,5,中立,史诗,92,5,,
微型战斗机甲,2,中立,普通,105,3,,
微机操控者,3,中立,普通,125,2,,
心灵之火,1,牧师,普通,58,7,,
心灵视界,1,牧师,普通,86,6,,
心灵震爆,2,牧师,普通,34,7,,
快速治疗,1,牧师,普通,57,7,,
思维窃取,3,牧师,普通,107,3,,
怪盗布缆鼠,2,中立,普通,108,3,,
怪盗征募员,2,牧师,普通,144,1,,
恐怖海盗,4,中立,普通,64,7,,
恐狼前锋,2,中立,普通,104,4,,
恶毒铁匠,5,中立,普通,90,5,,
恶狼大法师,10,中立,史诗,94,5,,
愤怒的小鸡,1,中立,稀有,48,7,,
憎恶,5,中立,稀有,83,6,,
战争机兵,5,中立,普通,111,3,,
战利品贮藏者,2,中立,普通,114,2,,
托什雷,6,中立,传说,123,2,,
投弹机器人,4,中立,普通,76,6,,
报警机器人,3,中立,稀有,43,7,,
拉文霍德刺客,7,中立,稀有,85,6,,
拉祖尔女士,3,牧师,传说,151,1,,
拉祖尔的阴谋,0,牧师,史诗,87,5,,
持枪侍从,2,中立,普通,81,6,,
持盾卫士,1,中立,普通,60,7,,
控心术,4,牧师,史诗,70,6,,
推土壮汉,9,中立,普通,122,2,,
攻城车,3,中立,稀有,85,6,,
散财军士,4,中立,普通,114,2,,
斯尼德的伐木机,8,中立,传说,89,5,,
施法者克星X-21,4,中立,稀有,80,6,,
旅行医者,4,中立,普通,103,4,,
旋翼滑翔者,2,中立,普通,70,6,,
无面操纵者,5,中立,史诗,112,3,,
无面暴怒者,3,中立,普通,108,3,,
无面渗透者,5,牧师,稀有,121,2,,
日怒保卫者,2,中立,稀有,105,3,,
明光祭司,3,中立,稀有,74,6,,
星界使者塞雷西亚,4,中立,传说,67,7,,
晶化师,1,中立,史诗,81,6,,
暗影子嗣,4,牧师,稀有,111,3,,
暗影形态,3,牧师,史诗,74,6,,
暗影打击装甲,2,牧师,稀有,104,4,,
暗影投弹手,1,牧师,史诗,91,5,,
暗影狂乱,4,牧师,稀有,97,4,,
暗影魔,3,牧师,史诗,106,3,,
暗言术：灭,3,牧师,普通,152,1,,
暗言术：痛,2,牧师,普通,133,1,,
暗鳞先知,1,中立,普通,48,7,,
暗鳞治愈者,5,中立,普通,95,5,,
暮光守护者,4,中立,史诗,74,6,,
暮光幼龙,4,中立,稀有,108,3,,
暴怒的狼人,3,中立,普通,86,6,,
暴走旋风,8,中立,史诗,65,7,,
暴风城勇士,7,中立,普通,106,3,,
暴风城骑士,4,中立,普通,101,4,,
末日预言者,2,中立,史诗,89,5,,
机械保险箱,6,中立,普通,96,4,,
机械克苏恩,10,中立,传说,69,6,,
机械动物管理员,3,中立,普通,97,4,,
机械幼龙技工,4,中立,普通,95,5,,
机械拷问者,4,中立,稀有,21,7,,
机械推土牛,9,中立,普通,97,4,,
机械袋鼠,1,中立,普通,118,2,,
机械跃迁者,2,中立,普通,115,2,,
机械雏龙,6,中立,稀有,139,1,,
机械雪人,4,中立,普通,114,2,,
杂耍吞法者,6,中立,史诗,75,6,,
