名称,费用,职业,稀有度,评分,评级,建议不选多张,
“丛林猎人”赫米特,6,中立,史诗,111,3,,
“尸魔花”瑟拉金,4,盗贼,史诗,88,5,,
“开拓者”伊莉斯,5,中立,史诗,137,1,,
“老狐狸”马林,8,中立,史诗,91,5,,
下水道爬行者,3,中立,史诗,101,4,,
不稳定的元素,2,中立,史诗,101,4,,
丛林猎豹,3,中立,史诗,100,4,,
亡斧惩罚者,4,中立,史诗,56,7,,
亡语者,3,中立,史诗,126,2,,
人偶大师多里安,5,中立,史诗,66,7,,
任务达人,3,中立,稀有,90,5,,
伊利丹·怒风,6,中立,史诗,117,2,,
伊瑟拉,9,中立,史诗,103,4,,
伪装大师,4,盗贼,稀有,103,4,,
伪装机器人,4,中立,史诗,104,4,,
伺机待发,0,盗贼,史诗,67,7,,
作战傀儡,7,中立,史诗,87,5,,
侏儒发明家,4,中立,史诗,109,3,,
倔强的蜗牛,2,中立,史诗,151,1,,
偷袭,2,盗贼,史诗,133,1,,
全息术士,5,中立,史诗,61,7,,
公会招募员,5,中立,史诗,114,2,,
军情七处特工,3,盗贼,稀有,144,1,,
冰冻粉碎者,6,中立,稀有,96,4,,
冰川裂片,1,中立,史诗,118,2,,
冰霜元素,6,中立,史诗,83,6,,
冰风雪人,4,中立,史诗,114,2,,
冷血,1,盗贼,史诗,102,4,,
冷酷的死灵法师,4,中立,史诗,114,2,,
凯恩·血蹄,6,中立,史诗,131,2,,
凯雷塞斯王子,2,中立,史诗,80,6,,
凶恶的鳞皮兽,2,中立,史诗,97,4,,
凶猛的聒噪怪,1,中立,稀有,92,5,,
刀扇,3,盗贼,史诗,162,1,,
刀瓣鞭笞者,2,盗贼,史诗,88,5,,
刀瓣齐射,2,盗贼,史诗,34,7,,
分裂腐树,8,中立,史诗,119,2,,
利齿宝箱,3,中立,史诗,98,4,,
制毒师,5,中立,史诗,98,4,,
刺喉海盗,3,盗贼,史诗,105,3,,
刺客之刃,5,盗贼,史诗,65,7,是,
刺杀,5,盗贼,史诗,161,1,,
刺骨,2,盗贼,史诗,155,1,,
剃刀猎手,3,中立,史诗,99,4,,
剑刃乱舞,4,盗贼,稀有,102,4,是,
剑齿追猎者,6,中立,史诗,81,6,,
剑龙,4,中立,史诗,98,4,,
加基森拍卖师,6,中立,稀有,76,6,是,
劫持者,6,盗贼,史诗,128,2,,
卑劣的窃蛋者,3,中立,史诗,133,1,,
南海船工,1,中立,史诗,115,2,,
南海船长,3,中立,史诗,86,6,,
南瓜农夫,3,中立,史诗,114,2,,
卡利莫斯的仆从,5,中立,稀有,93,5,,
厄运鼹鼠,1,中立,史诗,92,5,,
发条机器人,5,中立,史诗,68,7,,
受损的机械剑龙,6,中立,史诗,101,4,,
叛变,2,盗贼,史诗,60,7,,
古拉巴什狂暴者,5,中立,史诗,88,5,,
叫嚣的中士,1,中立,史诗,76,6,,
可升级机器人,2,中立,史诗,88,5,,
可靠的灯泡,1,中立,史诗,81,6,,
吉尔尼斯皇家卫兵,8,中立,稀有,104,4,,
吸血药膏,2,盗贼,史诗,36,7,,
吸血蚊,4,中立,稀有,99,4,,
命运骨骰,2,盗贼,稀有,77,6,,
哀泣女妖,4,中立,稀有,130,2,,
哈里森·琼斯,5,中立,史诗,85,6,,
唤尸者,5,中立,稀有,109,3,,
唤鸦者,3,中立,史诗,119,2,,
喧哗的诗人,3,中立,史诗,94,5,,
团队领袖,3,中立,史诗,82,6,,
圣光护卫者,1,中立,稀有,80,6,,
地精炸弹,1,中立,史诗,23,7,,
坩埚元素,8,中立,史诗,71,6,,
堕落残阳祭司,2,中立,史诗,86,6,,
塔达拉姆王子,3,中立,史诗,86,6,,
墓地蹒跚者,4,中立,史诗,103,4,,
墓穴潜伏者,5,中立,史诗,112,3,,
夜刃刺客,5,中立,史诗,81,6,,
大地之环先知,3,中立,史诗,118,2,,
大法师,6,中立,史诗,88,5,,
失心农夫,1,中立,史诗,64,7,,
夺尸者,4,中立,史诗,96,4,,
奇利亚斯,5,中立,史诗,191,1,,
奥妮克希亚,9,中立,史诗,122,2,,
奥术傀儡,3,中立,稀有,62,7,,
奥术统御者,5,中立,史诗,77,6,,
奥秘守护者,1,中立,稀有,73,6,,
奥能水母,6,中立,稀有,118,2,,
女伯爵阿莎摩尔,7,中立,史诗,90,5,,
女巫森林吹笛人,4,中立,稀有,94,5,,
女巫森林灰熊,5,中立,稀有,131,2,,
女巫的坩埚,3,中立,史诗,89,5,,
始生幼龙,8,中立,史诗,151,1,,
始祖龟预言者,8,中立,史诗,88,5,,
孤胆英雄,3,中立,稀有,135,1,,
学术剽窃,4,盗贼,史诗,59,7,,
孱弱的掘墓者,3,中立,稀有,106,3,,
实验体9号,5,中立,史诗,68,7,,
实验室招募员,2,盗贼,史诗,98,4,,
寒光先知,3,中立,稀有,56,7,,
小个子召唤师,2,中立,稀有,98,4,,
小型法术黑曜石,5,盗贼,稀有,139,1,,
小精灵,0,中立,史诗,62,7,,
小鬼召唤师,3,中立,稀有,97,4,,
屠龙者,3,中立,史诗,133,1,,
山岭巨人,12,中立,史诗,51,7,,
岩浆暴怒者,3,中立,史诗,79,6,,
工匠大师欧沃斯巴克,3,中立,史诗,115,2,,
工程师学徒,2,中立,史诗,113,3,,
巨型乳齿象,9,中立,史诗,100,4,,
巨型黄蜂,3,中立,史诗,138,1,,
巨鳞沙虫,4,中立,稀有,100,4,,
巫医,1,中立,史诗,112,3,,
巫妖王,8,中立,史诗,155,1,,
巫毒娃娃,3,中立,史诗,121,2,,
帝王眼镜蛇,3,中立,稀有,137,1,,
年轻的女祭司,1,中立,稀有,103,4,,
年轻的酒仙,2,中立,史诗,94,5,,
年迈的法师,4,中立,稀有,83,6,,
年迈的酒仙,4,中立,史诗,104,4,,
幻影海盗,4,中立,稀有,91,5,,
幻术士,2,中立,史诗,87,5,,
幻觉,1,盗贼,史诗,123,2,,
幼龙鹰,1,中立,史诗,59,7,,
幽灵弯刀,4,盗贼,史诗,34,7,,
开心的食尸鬼,3,中立,稀有,94,5,,
弑君,1,盗贼,史诗,0,7,,
弹簧火箭犬,3,中立,史诗,111,3,,
强能雷象,3,中立,史诗,112,3,,
影舞者索尼娅,3,盗贼,史诗,94,5,,
影袭,1,盗贼,史诗,23,7,,
微机操控者,3,中立,史诗,129,2,,
总督察,5,中立,稀有,97,4,,
恐怖海盗,4,中立,史诗,90,5,,
恐狼前锋,2,中立,史诗,97,4,,
恶毒的召唤师,7,中立,史诗,96,4,,
恶毒的银行家,2,中立,史诗,74,6,,
恶毒铁匠,5,中立,史诗,135,1,,
愤怒的小鸡,1,中立,稀有,53,7,,
憎恶,5,中立,稀有,96,4,,
战争机兵,5,中立,史诗,104,4,,
战利品贮藏者,2,中立,史诗,125,2,,
托瓦格尔国王,8,中立,史诗,49,7,,
托维尔塑石师,4,中立,稀有,99,4,,
投弹机器人,4,中立,史诗,78,6,,
报警机器人,3,中立,稀有,50,7,,
拉文霍德刺客,7,中立,稀有,88,5,,
拟态豆荚,3,盗贼,稀有,130,2,,
持盾卫士,1,中立,史诗,78,6,,
搜索,2,盗贼,稀有,125,2,,
摧心者,3,中立,稀有,104,4,,
摩天龙,10,中立,史诗,68,7,,
攻城车,3,中立,稀有,80,6,,
旋翼滑翔者,2,中立,史诗,66,7,,
无面操纵者,5,中立,史诗,114,2,,
日怒保卫者,2,中立,稀有,124,2,,
星界使者塞雷西亚,4,中立,史诗,83,6,,
晶化师,1,中立,史诗,92,5,,
暗夜嗥狼,4,中立,史诗,74,6,,
暗夜徘徊者,4,中立,稀有,76,6,,
暗影之刃,3,盗贼,稀有,151,1,,
暗影步,0,盗贼,史诗,70,6,,
暗鳞先知,1,中立,史诗,54,7,,
暗鳞治愈者,5,中立,史诗,104,4,,
暮光幼龙,4,中立,稀有,105,3,,
暴怒的双头巨人,7,中立,史诗,126,2,,
暴怒的狼人,3,中立,史诗,91,5,,
暴掠龙幼崽,2,中立,史诗,90,5,,
暴风城勇士,7,中立,史诗,103,4,,
暴风城骑士,4,中立,史诗,97,4,,
末日回旋镖,1,盗贼,史诗,119,2,是,
末日预言者,2,中立,史诗,107,3,,
机械克苏恩,10,中立,史诗,64,7,,
机械幼龙技工,4,中立,史诗,99,4,,
机械异种蝎,2,中立,稀有,88,5,,
机械推土牛,9,中立,史诗,95,5,,
机械袋鼠,1,中立,史诗,128,2,,
机械雏龙,6,中立,稀有,131,2,,
杂毛秘术师,3,中立,史诗,108,3,,
格鲁尔,8,中立,史诗,87,5,,
梦魇融合怪,3,中立,史诗,120,2,,
森金持盾卫士,4,中立,史诗,109,3,,
欢乐的发明家,5,中立,稀有,196,1,,
欧克哈特大师,9,中立,史诗,142,1,,
欧泽鲁克,9,中立,史诗,49,7,,
欧米茄防御者,4,中立,史诗,118,2,,
武装皮纳塔,4,中立,史诗,137,1,,
死亡之翼,10,中立,史诗,149,1,,
死灵恶鬼,6,中立,史诗,79,6,,
死金匕首,3,盗贼,稀有,136,1,,
死金药剂,5,盗贼,史诗,59,7,,
死鳞骑士,1,中立,史诗,72,6,,
毁灭之刃,3,盗贼,稀有,112,3,,
毒刃,2,盗贼,史诗,120,2,,
毒物学家,2,中立,史诗,97,4,,
比斯巨兽,6,中立,史诗,72,6,,
沃拉斯,4,中立,史诗,58,7,,
没电的铁皮人,2,中立,稀有,86,6,,
沼泽水蛭,1,中立,史诗,126,2,,
沼泽爬行者,5,中立,史诗,96,4,,
沼泽飞龙,3,中立,史诗,107,3,,
沼泽龙蛋,1,中立,史诗,66,7,,
法力怨魂,2,中立,稀有,93,5,,
法多雷突袭者,4,盗贼,史诗,142,1,,
泥沼狩猎者,5,中立,史诗,136,1,,
洞穴探宝者,2,盗贼,史诗,118,2,,
海巨人,10,中立,史诗,140,1,,
海德尼尔冰霜骑士,3,中立,史诗,127,2,,
