名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道渔人,2,萨满,稀有,121,2,,
下水道软泥怪,7,中立,稀有,53,7,,
丛林猎豹,3,中立,普通,90,5,,
书卷之龙,6,中立,稀有,61,7,,
人气选手,4,中立,史诗,101,4,,
任务达人,3,中立,稀有,95,5,,
伊利丹·怒风,6,中立,传说,119,2,,
伊瑟拉,9,中立,传说,95,5,,
伊莱克特拉·风潮,3,萨满,传说,100,4,,
传送门大恶魔,6,中立,史诗,102,4,,
传送门守护者,4,中立,稀有,106,3,,
伪装机器人,4,中立,普通,97,4,,
低阶侍从,1,中立,普通,66,7,,
作战傀儡,7,中立,普通,87,5,,
侏儒发明家,4,中立,普通,97,4,,
侏儒变形师,2,中立,史诗,128,2,,
侏儒实验技师,3,中立,稀有,82,6,,
俘获的冰虫,7,中立,普通,82,6,,
元素反应,2,萨满,普通,103,4,,
元素毁灭,3,萨满,史诗,135,1,,
先祖之魂,2,萨满,稀有,124,2,,
先祖召唤,4,萨满,史诗,0,7,,
先祖治疗,0,萨满,普通,94,5,,
先祖知识,2,萨满,普通,89,5,,
光明邪使菲奥拉,3,中立,传说,109,3,,
克瓦迪尔劫掠者,5,中立,普通,87,5,,
全息术士,5,中立,史诗,66,7,,
冰吼,9,中立,传说,115,2,,
冰喉,7,中立,传说,84,6,,
冰霜元素,6,中立,普通,87,5,,
冰霜巨人,10,中立,史诗,78,6,,
冰霜暴怒者,3,中立,普通,89,5,,
冰霜震击,1,萨满,普通,77,6,,
冰风雪人,4,中立,普通,107,3,,
凯恩·血蹄,6,中立,传说,122,2,,
凶恶的雨云,2,萨满,普通,124,2,,
击剑教头,3,中立,稀有,104,4,,
剃刀猎手,3,中立,普通,92,5,,
加兹鲁维,6,中立,传说,63,7,,
加基森拍卖师,6,中立,稀有,74,6,是,
加基森枪骑士,1,中立,普通,83,6,,
动力战锤,3,萨满,稀有,156,1,,
北海海怪,9,中立,普通,104,4,,
十字军统领,6,中立,史诗,97,4,,
南海船工,1,中立,普通,82,6,,
南海船长,3,中立,史诗,83,6,,
博尔夫·碎盾,6,中立,传说,49,7,,
叉状闪电,1,萨满,普通,106,3,,
发条侏儒,1,中立,普通,96,4,,
发条巨人,12,中立,史诗,46,7,,
发条骑士,5,中立,普通,103,4,,
受伤的克瓦迪尔,1,中立,稀有,73,6,,
受损的机械剑龙,6,中立,普通,90,5,,
古怪的铭文师,6,中立,普通,139,1,,
古拉巴什狂暴者,5,中立,普通,86,6,,
叫嚣的中士,1,中立,普通,82,6,,
可升级机器人,2,中立,普通,88,5,,
可靠的灯泡,1,中立,普通,83,6,,
吵吵机器人,2,中立,普通,106,3,,
咖啡师林彻,5,中立,传说,125,2,,
哈加莎的阴谋,5,萨满,稀有,124,2,,
哈里森·琼斯,5,中立,传说,80,6,,
唤雾者伊戈瓦尔,6,萨满,传说,120,2,,
嗜血,5,萨满,普通,117,2,是,
回收机器人,5,中立,史诗,89,5,,
团队领袖,3,中立,普通,121,2,,
图腾之力,0,萨满,普通,4,7,,
图腾魔像,2,萨满,普通,138,1,,
土元素,5,萨满,史诗,138,1,,
圣光勇士,3,中立,稀有,105,3,,
圣光护卫者,1,中立,稀有,67,7,,
地精工兵,3,中立,稀有,73,6,,
地精炸弹,1,中立,普通,30,7,,
坑道爆破师,7,中立,稀有,68,7,,
基维斯,4,中立,稀有,78,6,,
复生大盗,5,中立,稀有,87,5,,
夜刃刺客,5,中立,普通,76,6,,
大厨诺米,7,中立,传说,70,6,,
大地之环先知,3,中立,普通,103,4,,
大地震击,1,萨满,普通,103,4,,
大师级枪骑士,6,中立,稀有,75,6,,
大法师,6,中立,普通,85,6,,
大法师瓦格斯,4,中立,传说,96,4,,
大漩涡传送门,2,萨满,稀有,155,1,,
大胖,3,中立,史诗,83,6,,
大铡蟹,3,中立,传说,173,1,,
天空上尉库拉格,7,中立,传说,106,3,,
夺日者战斗法师,5,中立,稀有,71,6,,
夺日者间谍,2,中立,普通,90,5,,
奇利亚斯,5,中立,传说,153,1,,
奥妮克希亚,9,中立,传说,115,2,,
奥术仆从,2,中立,普通,92,5,,
奥术傀儡,3,中立,稀有,65,7,,
奥术巨人,12,中立,史诗,52,7,,
奥术畸体,1,中立,普通,83,6,,
奥秘守护者,1,中立,稀有,55,7,,
奥能水母,6,中立,稀有,114,2,,
奥能铁匠,4,中立,普通,86,6,,
女巫杂酿,2,萨满,史诗,69,6,,
妖术,4,萨满,普通,160,1,,
