名称,费用,职业,稀有度,评分,评级,建议不选多张,
“丛林猎人”赫米特,6,中立,传说,112,3,,
“开拓者”伊莉斯,5,中立,传说,126,2,,
“老狐狸”马林,8,中立,传说,86,6,,
下水道爬行者,3,中立,普通,107,3,,
不稳定的元素,2,中立,普通,111,3,,
丛林猎豹,3,中立,普通,104,4,,
中场拾荒者,4,中立,普通,113,3,,
乌达斯塔,9,中立,传说,101,4,,
亡斧惩罚者,4,中立,史诗,65,7,,
亡语者,3,中立,普通,126,2,,
亵渎,2,术士,稀有,203,1,,
人偶大师多里安,5,中立,传说,77,6,,
任务达人,3,中立,稀有,94,5,,
伊利丹·怒风,6,中立,传说,120,2,,
伊瑟拉,9,中立,传说,97,4,,
伪装机器人,4,中立,普通,106,3,,
作战傀儡,7,中立,普通,92,5,,
侏儒发明家,4,中立,普通,103,4,,
侏儒吸血鬼,2,术士,史诗,104,4,,
倔强的蜗牛,2,中立,普通,144,1,,
全息术士,5,中立,史诗,67,7,,
公会招募员,5,中立,普通,105,3,,
再生暴徒,4,中立,普通,97,4,,
冰冻粉碎者,6,中立,稀有,110,3,,
冰川裂片,1,中立,普通,108,3,,
冰淇淋小贩,4,中立,史诗,95,5,,
冰霜元素,6,中立,普通,85,6,,
冰风雪人,4,中立,普通,119,2,,
冷酷的死灵法师,4,中立,普通,120,2,,
凯恩·血蹄,6,中立,传说,132,1,,
凯雷塞斯王子,2,中立,传说,91,5,,
凶恶的鳞皮兽,2,中立,普通,108,3,,
凶猛的聒噪怪,1,中立,稀有,77,6,,
分裂腐树,8,中立,史诗,116,2,,
利齿宝箱,3,中立,普通,103,4,,
制毒师,5,中立,普通,100,4,,
剃刀猎手,3,中立,普通,106,3,,
剑齿追猎者,6,中立,普通,83,6,,
剑龙,4,中立,普通,101,4,,
加基森拍卖师,6,中立,稀有,76,6,是,
加拉克苏斯大王,9,术士,传说,144,1,,
卑劣的窃蛋者,3,中立,普通,140,1,,
卑鄙的恐惧魔王,5,术士,稀有,166,1,,
南海船工,1,中立,普通,84,6,,
南海船长,3,中立,史诗,94,5,,
南瓜农夫,3,中立,普通,116,2,,
卡利莫斯的仆从,5,中立,稀有,97,4,,
厄运鼹鼠,1,中立,普通,86,6,,
双生小鬼,3,术士,普通,130,2,,
发条机器人,5,中立,普通,71,6,,
受损的机械剑龙,6,中立,普通,102,4,,
变节,3,术士,史诗,0,7,,
古拉巴什供品,1,中立,史诗,66,7,,
古拉巴什小鸡,1,中立,普通,52,7,,
古拉巴什狂暴者,5,中立,普通,92,5,,
叫嚣的中士,1,中立,普通,81,6,,
召唤传送门,4,术士,普通,77,6,,
可升级机器人,2,中立,普通,96,4,,
可靠的灯泡,1,中立,普通,66,7,,
吉尔尼斯皇家卫兵,8,中立,稀有,102,4,,
吸取灵魂,2,术士,普通,104,4,,
吸取生命,3,术士,普通,84,6,,
吸血蚊,4,中立,稀有,99,4,,
咆哮魔,3,术士,普通,50,7,,
哀泣女妖,4,中立,稀有,136,1,,
哈里森·琼斯,5,中立,传说,89,5,,
