名称,费用,职业,稀有度,评分,评级,建议不选多张,
“丛林猎人”赫米特,6,中立,传说,115,2,,
“开拓者”伊莉斯,5,中立,传说,127,2,,
“老狐狸”马林,8,中立,传说,85,6,,
下水道爬行者,3,中立,普通,106,3,,
不稳定的元素,2,中立,普通,107,3,,
丛林猎豹,3,中立,普通,104,4,,
严酷的监工,2,战士,普通,123,2,,
中场拾荒者,4,中立,普通,102,4,,
乌达斯塔,9,中立,传说,99,4,,
亡斧惩罚者,4,中立,史诗,63,7,,
亡者之牌,2,战士,史诗,0,7,,
亡语者,3,中立,普通,126,2,,
人偶大师多里安,5,中立,传说,78,6,,
任务达人,3,中立,稀有,93,5,,
伊利丹·怒风,6,中立,传说,119,2,,
伊瑟拉,9,中立,传说,96,4,,
伪装机器人,4,中立,普通,106,3,,
作战傀儡,7,中立,普通,92,5,,
侏儒发明家,4,中立,普通,102,4,,
倔强的蜗牛,2,中立,普通,135,1,,
全息术士,5,中立,史诗,66,7,,
公会招募员,5,中立,普通,104,4,,
再生暴徒,4,中立,普通,97,4,,
冰冻粉碎者,6,中立,稀有,111,3,,
冰川裂片,1,中立,普通,101,4,,
冰淇淋小贩,4,中立,史诗,95,5,,
冰霜元素,6,中立,普通,82,6,,
冰风雪人,4,中立,普通,119,2,,
冷酷的死灵法师,4,中立,普通,119,2,,
凯恩·血蹄,6,中立,传说,133,1,,
凯雷塞斯王子,2,中立,传说,91,5,,
凶恶的鳞皮兽,2,中立,普通,93,5,,
凶猛的聒噪怪,1,中立,稀有,78,6,,
分裂腐树,8,中立,史诗,116,2,,
利齿宝箱,3,中立,普通,103,4,,
制毒师,5,中立,普通,100,4,,
剃刀猎手,3,中立,普通,105,3,,
剑齿追猎者,6,中立,普通,83,6,,
剑龙,4,中立,普通,88,5,,
加基森拍卖师,6,中立,稀有,76,6,是,
升级！,1,战士,稀有,137,1,是,
卑劣的窃蛋者,3,中立,普通,138,1,,
南海船工,1,中立,普通,99,4,,
南海船长,3,中立,史诗,94,5,,
南瓜农夫,3,中立,普通,94,5,,
卡利莫斯的仆从,5,中立,稀有,96,4,,
厄运鼹鼠,1,中立,普通,85,6,,
发条机器人,5,中立,普通,71,6,,
受损的机械剑龙,6,中立,普通,93,5,,
古拉巴什供品,1,中立,史诗,34,7,,
古拉巴什小鸡,1,中立,普通,51,7,,
古拉巴什狂暴者,5,中立,普通,105,3,,
叫嚣的中士,1,中立,普通,79,6,,
可升级机器人,2,中立,普通,95,5,,
可靠的灯泡,1,中立,普通,67,7,,
吉尔尼斯皇家卫兵,8,中立,稀有,103,4,,
吸血蚊,4,中立,稀有,83,6,,
命令怒吼,2,战士,稀有,166,1,,
哀泣女妖,4,中立,稀有,135,1,,
哈里森·琼斯,5,中立,传说,89,5,,
唤尸者,5,中立,稀有,104,4,,
唤鸦者,3,中立,普通,95,5,,
喧哗的诗人,3,中立,普通,98,4,,
嗜睡的神枪手,2,中立,普通,43,7,,
团队领袖,3,中立,普通,87,5,,
圣光护卫者,1,中立,稀有,70,6,,
地塑师伊普,8,战士,传说,79,6,,
地精炸弹,1,中立,普通,25,7,,
场馆保镖,7,中立,普通,94,5,,
坩埚元素,8,中立,普通,74,6,,
城镇公告员,1,战士,史诗,111,3,,
基因转接,5,战士,史诗,94,5,,
堕落残阳祭司,2,中立,普通,98,4,,
塔达拉姆王子,3,中立,传说,92,5,,
墓地蹒跚者,4,中立,普通,106,3,,
墓穴潜伏者,5,中立,史诗,103,4,,
夜刃刺客,5,中立,普通,83,6,,
大地之环先知,3,中立,普通,111,3,,
大法师,6,中立,普通,89,5,,
失心农夫,1,中立,普通,55,7,,
夺尸者,4,中立,史诗,88,5,,
夺灵者哈卡,10,中立,传说,49,7,,
奇利亚斯,5,中立,传说,145,1,,
奥妮克希亚,9,中立,传说,124,2,,
奥术傀儡,3,中立,稀有,71,6,,
奥术统御者,5,中立,史诗,80,6,,
奥秘守护者,1,中立,稀有,62,7,,
奥能水母,6,中立,稀有,112,3,,
奥金斧,5,战士,普通,171,1,,
女伯爵阿莎摩尔,7,中立,传说,88,5,,
女巫森林吹笛人,4,中立,稀有,86,6,,
女巫森林灰熊,5,中立,稀有,120,2,,
女巫的坩埚,3,中立,史诗,107,3,,
好斗的侏儒,2,中立,稀有,101,4,,
始生幼龙,8,中立,史诗,134,1,,
始祖龟预言者,8,中立,史诗,73,6,,
孤胆英雄,3,中立,稀有,125,2,,
孱弱的掘墓者,3,中立,稀有,93,5,,
安保巡游者,6,战士,稀有,104,4,,
宝石魔像,6,战士,普通,82,6,,
实验体9号,5,中立,传说,70,6,,
寒光先知,3,中立,稀有,63,7,,
寻求组队,6,战士,稀有,60,7,,
小个子召唤师,2,中立,稀有,107,3,,
小型法术秘银石,7,战士,稀有,139,1,,
小精灵,0,中立,普通,58,7,,
小鬼召唤师,3,中立,稀有,101,4,,
屠龙者,3,中立,普通,129,2,,
山岭巨人,12,中立,史诗,53,7,,
岩浆暴怒者,3,中立,普通,85,6,,
工匠大师欧沃斯巴克,3,中立,传说,111,3,,
工程师学徒,2,中立,普通,100,4,,
巨型乳齿象,9,中立,普通,80,6,,
巨型黄蜂,3,中立,普通,131,2,,
巨鳞沙虫,4,中立,稀有,104,4,,
巨龙怒吼,2,战士,普通,142,1,,
巫医,1,中立,普通,91,5,,
巫妖王,8,中立,传说,141,1,,
巫毒娃娃,3,中立,史诗,102,4,,
帝王眼镜蛇,3,中立,稀有,127,2,,
年轻的女祭司,1,中立,稀有,96,4,,
年轻的酒仙,2,中立,普通,103,4,,
年迈的法师,4,中立,稀有,71,6,,
年迈的酒仙,4,中立,普通,107,3,,
幻影海盗,4,中立,稀有,89,5,,
幻术士,2,中立,普通,85,6,,
幼龙鹰,1,中立,普通,52,7,,
库卡隆精英卫士,4,战士,普通,134,1,,
开心的食尸鬼,3,中立,稀有,97,4,,
弹簧火箭犬,3,中立,普通,110,3,,
强能雷象,3,中立,史诗,117,2,,
微机操控者,3,中立,普通,129,2,,
怒火中烧,0,战士,普通,60,7,,
总督察,5,中立,稀有,102,4,,
恐怖海盗,4,中立,普通,97,4,,
恐狼前锋,2,中立,普通,108,3,,
恐角龙宝宝,5,战士,稀有,97,4,,
恒金巡游者,1,战士,普通,93,5,,
恶毒的召唤师,7,中立,史诗,77,6,,
恶毒的银行家,2,中立,史诗,85,6,,
恶毒铁匠,5,中立,普通,127,2,,
愤怒的小鸡,1,中立,稀有,51,7,,
憎恶,5,中立,稀有,99,4,,
战争机兵,5,中立,普通,106,3,,
战利品贮藏者,2,中立,普通,120,2,,
战斗怒火,2,战士,普通,141,1,,
战路,2,战士,普通,127,2,,
托瓦格尔国王,8,中立,传说,53,7,,
托维尔塑石师,4,中立,稀有,99,4,,
投弹机器人,4,中立,普通,77,6,,
报警机器人,3,中立,稀有,55,7,,
拉文霍德刺客,7,中立,稀有,89,5,,
持盾卫士,1,中立,普通,64,7,,
指挥官沃恩,4,战士,传说,89,5,,
探索安戈洛,2,战士,史诗,23,7,,
掷弹机器人,5,战士,稀有,134,1,,
摧心者,3,中立,稀有,109,3,,
摩天龙,10,中立,普通,72,6,,
攻城车,3,中立,稀有,81,6,,
放马过来,2,战士,史诗,6,7,,
斩杀,2,战士,普通,138,1,,
旋翼滑翔者,2,中立,普通,75,6,,
旋风斩,1,战士,普通,126,2,,
无助的幼雏,1,中立,普通,56,7,,
无面操纵者,5,中立,史诗,115,2,,
日怒保卫者,2,中立,稀有,114,2,,
星界使者塞雷西亚,4,中立,传说,91,5,,
晶化师,1,中立,史诗,87,5,,
暗夜嗥狼,4,中立,普通,83,6,,
暗夜徘徊者,4,中立,稀有,82,6,,
暗鳞先知,1,中立,普通,48,7,,
暗鳞治愈者,5,中立,普通,100,4,,
暮光幼龙,4,中立,稀有,114,2,,
暴乱狂战士,3,战士,稀有,141,1,,
暴怒的双头巨人,7,中立,普通,104,4,,
暴怒的狼人,3,中立,普通,95,5,,
暴掠龙幼崽,2,中立,普通,100,4,,
暴牙震颤者,4,中立,普通,118,2,,
暴躁的巨龟,3,中立,普通,115,2,,
暴躁的恐角龙,6,战士,普通,106,3,,
暴风城勇士,7,中立,普通,105,3,,
暴风城骑士,4,中立,普通,98,4,,
暴龙之王摩什,9,战士,传说,117,2,,
未鉴定的盾牌,6,战士,普通,85,6,,
末日预言者,2,中立,史诗,94,5,,
机械克苏恩,10,中立,传说,67,7,,
机械幼龙技工,4,中立,普通,102,4,,
机械异种蝎,2,中立,稀有,87,5,,
机械推土牛,9,中立,普通,94,5,,
机械袋鼠,1,中立,普通,111,3,,
机械雏龙,6,中立,稀有,135,1,,
杂毛秘术师,3,中立,普通,116,2,,
枯须铸甲师,2,战士,普通,98,4,,
格罗玛什·地狱咆哮,8,战士,传说,121,2,,
格里伏塔,4,中立,传说,121,2,,
格鲁尔,8,中立,传说,89,5,,
梦魇融合怪,3,中立,史诗,123,2,,
森金持盾卫士,4,中立,普通,102,4,,
樵夫之斧,2,战士,普通,162,1,,
欢乐的发明家,7,中立,稀有,100,4,,
欧克哈特大师,9,中立,传说,124,2,,
欧泽鲁克,9,中立,传说,47,7,,
欧米茄装配,1,战士,稀有,144,1,,
欧米茄防御者,4,中立,史诗,108,3,,
武器计划,2,战士,普通,31,7,,
武装皮纳塔,4,中立,史诗,120,2,,
死亡之翼,10,中立,传说,129,2,,
死亡幽魂,5,战士,稀有,67,7,,
死灵恶鬼,6,中立,普通,85,6,,
死鳞骑士,1,中立,普通,53,7,,
毁灭打击,1,战士,普通,99,4,,
毒物学家,2,中立,普通,104,4,,
毒蛇守卫,2,中立,稀有,40,7,,
比斯巨兽,6,中立,传说,81,6,,
民兵指挥官,4,战士,稀有,152,1,,
汤水商贩,2,中立,稀有,82,6,,
沃拉斯,4,中立,传说,64,7,,
没电的铁皮人,2,中立,稀有,77,6,,
沼泽水蛭,1,中立,普通,91,5,,
沼泽爬行者,5,中立,普通,88,5,,
沼泽飞龙,3,中立,普通,61,7,,
沼泽龙蛋,1,中立,普通,69,6,,
法力怨魂,2,中立,稀有,103,4,,
泥沼狩猎者,5,中立,史诗,134,1,,
活化狂战士,1,战士,普通,67,7,,
海巨人,10,中立,史诗,139,1,,
海德尼尔冰霜骑士,3,中立,普通,134,1,,
海象人渔夫,2,中立,普通,107,3,,
淡水鳄,2,中立,普通,103,4,,
深蓝刃鳞龙人,5,中立,普通,113,3,,
温顺的巨壳龙,4,中立,史诗,121,2,,
游学者周卓,2,中立,传说,41,7,,
游荡恶鬼,6,中立,史诗,75,6,,
滑板机器人,1,中立,普通,88,5,,
火山龙,7,中立,稀有,115,2,,
火岩元素,3,中立,普通,90,5,,
火树巫医,2,中立,稀有,101,4,,
火焰使者,7,中立,史诗,89,5,,
火箭靴,2,战士,普通,106,3,,
火羽凤凰,4,中立,普通,119,2,,
火羽精灵,1,中立,普通,121,2,,
火花引擎,2,中立,稀有,67,7,,
火花钻机,6,中立,稀有,93,5,,
火车王里诺艾,5,中立,传说,100,4,,
灵魂歌者安布拉,4,中立,传说,95,5,,
灵魂洪炉,2,战士,普通,74,6,,
灾厄斩杀者,8,战士,传说,126,2,,
炽炎战斧,3,战士,普通,152,1,,
烈日行者,6,中立,稀有,113,3,,
烬鳞幼龙,5,战士,稀有,103,4,,
热情的探险家,4,中立,史诗,108,3,,
焦油兽王,7,战士,普通,92,5,,
焦油爬行者,3,中立,普通,109,3,,
熔岩之刃,1,战士,稀有,100,4,,
熔火巨像,6,中立,史诗,90,5,,
熔火恶犬,7,中立,普通,86,6,,
熔甲卫士,3,战士,稀有,128,2,,
燃棘枪兵,3,战士,史诗,88,5,,
爆爆机器人,3,中立,普通,108,3,,
爆盐投弹手,5,中立,史诗,108,3,,
牛头人战士,3,中立,普通,83,6,,
犀牛之灵,1,战士,稀有,63,7,,
狂奔的魔暴龙,8,中立,史诗,115,2,,
狂奔科多兽,5,中立,稀有,125,2,,
狂暴咒术师,2,中立,普通,113,3,,
狂暴的狼人,3,战士,普通,138,1,,
狂野兽王,3,中立,史诗,122,2,,
狂野炎术师,2,中立,稀有,115,2,,
狗头人地卜师,2,中立,普通,88,5,,
狗头人学徒,3,中立,普通,110,3,,
狗头人拾荒者,3,中立,史诗,66,7,,
狗头人武僧,4,中立,稀有,114,2,,
狗头人蛮兵,3,战士,稀有,117,2,,
狼人憎恶,7,中立,史诗,98,4,,
狼人渗透者,1,中立,普通,89,5,,
狼骑兵,3,中立,普通,96,4,,
猛击,2,战士,普通,135,1,,
王牌猎人,5,中立,史诗,78,6,,
玛里苟斯,9,中立,传说,98,4,,
瓦拉纳王子,4,中立,传说,99,4,,
瓦格里摄魂者,3,战士,稀有,97,4,,
生锈的回收机器人,5,中立,普通,80,6,,
甲虫卵,2,中立,普通,77,6,,
电磁脉冲特工,5,中立,史诗,70,6,,
电能工匠,3,中立,普通,95,5,,
疯帽客,4,中立,稀有,90,5,,
疯狂投弹者,2,中立,普通,126,2,,
