名称,抓取率,评分,
“丛林猎人”赫米特,0.2%,119,
“开拓者”伊莉斯,1.5%,133,
“老狐狸”马林,0.9%,88,
“鲨鱼”加佐,0.5%,116,
上古之神先驱,0.2%,77,
上古之神的小精灵,6.2%,93,
下水道爬行者,6.8%,104,
下水道软泥怪,0.4%,57,
不稳定的元素,7.8%,104,
世界之树的嫩枝,1.6%,58,
丛林之魂,20.1%,82,
丛林守护者,8.5%,104,
丛林猎豹,4.5%,100,
中场拾荒者,14.7%,112,
二流打手,6.9%,112,
亚煞极,0.8%,98,
亚煞极印记,45.1%,128,
亡斧惩罚者,0.1%,63,
亡灵药剂师,16.3%,125,
亡语者,25.5%,124,
人偶大师多里安,0.2%,79,
任务达人,2.2%,95,
伊克斯里德，真菌之王,2.3%,133,
伊利丹·怒风,0.5%,127,
伊瑟拉,0.5%,101,
传播瘟疫,20.3%,127,
传送门大恶魔,4.7%,108,
传送门守护者,8.5%,112,
伪装机器人,6.1%,104,
作战傀儡,1.3%,94,
侏儒发明家,4.9%,104,
倔强的蜗牛,27%,138,
克尔苏加德,2.2%,123,
兔妖教头,5.7%,92,
全息术士,0.3%,67,
公会招募员,5.8%,105,
冰冻粉碎者,1.1%,102,
冰川裂片,11%,107,
冰霜元素,5.3%,94,
冰风雪人,10.9%,116,
冷酷的死灵法师,21.1%,117,
凯恩·血蹄,1.1%,131,
凯雷塞斯王子,0.3%,91,
凶恶的鳞皮兽,7.1%,97,
凶猛咆哮,14.4%,83,
凶猛的聒噪怪,0.9%,84,
分岔路口,22.3%,114,
分裂腐树,1.4%,111,
分裂软泥怪,3%,100,
利爪德鲁伊,43%,148,
利齿宝箱,2.8%,101,
制毒师,5.5%,96,
剃刀猎手,5%,101,
剑齿追猎者,1.2%,85,
剑龙,7.9%,95,
剧毒之种,18.5%,68,
功夫大师,3.6%,78,
加基森名媛,6%,92,
加基森拍卖师,0.4%,81,
勇敢的记者,17.8%,104,
化学怪人,16.1%,123,
午夜噩龙,2.1%,107,
卑劣的窃蛋者,18.7%,139,
卑劣的脏鼠,0.4%,62,
南海船工,1%,81,
南海船长,0.2%,87,
南瓜农夫,6.4%,101,
卡利莫斯的仆从,1.2%,95,
卢森巴克,1.1%,86,
厄运鼹鼠,8.1%,90,
发条强盗机器人,1%,83,
发条机器人,0.4%,68,
