名称,抓取率,评分,
“丛林猎人”赫米特,0.4%,110,
“开拓者”伊莉斯,2%,129,
“老狐狸”马林,1%,85,
下水道爬行者,9.8%,106,
不稳定的元素,9.2%,97,
丛林猎豹,5.9%,108,
亡斧惩罚者,0.1%,52,
亡语者,18.6%,126,
人偶大师多里安,0.3%,61,
任务达人,1%,84,
伊利丹·怒风,1.1%,112,
伊瑟拉,0.6%,95,
传播瘟疫,39.2%,129,
伦鲁迪洛尔,0.3%,72,
作战傀儡,0.7%,85,
侏儒发明家,5.8%,101,
侧翼打击,24.9%,149,
公会招募员,6.9%,108,
关门放狗,30.5%,128,
冰冻粉碎者,2.6%,99,
冰冻陷阱,20.7%,190,
冰川裂片,17.1%,93,
冰霜元素,7.3%,75,
冰风雪人,11.4%,109,
冷酷的死灵法师,19.5%,108,
凯恩·血蹄,0.7%,127,
凯雷塞斯王子,0.5%,79,
凶恶的鳞皮兽,4.8%,96,
凶残撕咬,30.9%,112,
凶猛狂暴,30.2%,86,
凶猛的聒噪怪,1.3%,72,
分裂腐树,0.5%,114,
利爪德鲁伊,38.9%,148,
利齿宝箱,3.5%,94,
制毒师,4.5%,95,
剃刀猎手,4.5%,104,
剑齿追猎者,1.8%,94,
剑龙,10.2%,92,
剧毒箭矢,0.8%,69,
加基森拍卖师,0.1%,72,
卑劣的窃蛋者,14%,134,
南海船工,2.1%,80,
南海船长,0.1%,81,
南瓜农夫,2.2%,91,
卡利莫斯的仆从,0.6%,87,
卡瑟娜·冬灵,1.7%,124,
厄运鼹鼠,7.9%,91,
发条机器人,3.4%,73,
古拉巴什狂暴者,1.8%,84,
叫嚣的中士,4.1%,72,
吉尔尼斯皇家卫兵,6.8%,99,
吸血蚊,2.9%,101,
哀泣女妖,1.1%,126,
哈里森·琼斯,0.7%,79,
唤尸者,2.6%,102,
唤鸦者,15.3%,110,
喧哗的诗人,6.3%,88,
团队领袖,1.2%,79,
圣光护卫者,0.2%,62,
坩埚元素,0.4%,68,
