名称,抓取率,评分,
“丛林猎人”赫米特,0.3%,119,
“开拓者”伊莉斯,1.9%,128,
“老狐狸”马林,1%,91,
“鲨鱼”加佐,0.4%,113,
三眼乌鸦,13%,93,
上古之神先驱,0.2%,76,
下水道爬行者,7%,104,
下水道软泥怪,0.5%,58,
不稳定的元素,9.7%,111,
丛林猎豹,4.1%,95,
中场拾荒者,15.7%,108,
乌达斯塔,3.3%,101,
乌鸦魔仆,16.6%,97,
亚煞极,0.6%,98,
亚煞极印记,45.1%,128,
亡斧惩罚者,0.1%,59,
亡灵药剂师,20.3%,116,
亡语者,23.7%,124,
人偶大师多里安,0.2%,80,
任务达人,1.8%,94,
伊利丹·怒风,0.4%,125,
伊瑟拉,0.4%,100,
伪装机器人,6.7%,104,
作战傀儡,1.4%,92,
侏儒发明家,5.3%,102,
倔强的蜗牛,25.6%,135,
元素唤醒,2.2%,43,
全息术士,0.3%,67,
公会招募员,7.9%,105,
冰冷鬼魂,19%,129,
冰冻粉碎者,1.6%,120,
冰冻药水,3.8%,56,
冰川裂片,11.8%,115,
冰爆,1.3%,52,
冰锥术,19.3%,116,
冰霜元素,8%,94,
冰霜新星,11.2%,107,
冰风雪人,10.2%,113,
冰龙吐息,16.7%,86,
冷酷的死灵法师,18%,115,
凛风巫师,12.1%,97,
凯恩·血蹄,1%,133,
凯雷塞斯王子,0.6%,91,
凶恶的鳞皮兽,5.3%,81,
凶猛的聒噪怪,0.8%,84,
分裂腐树,0.9%,110,
分裂软泥怪,1.1%,98,
创世之力,20.9%,137,
利爪德鲁伊,43%,148,
利齿宝箱,2.6%,98,
制毒师,6.1%,96,
剃刀猎手,3.9%,96,
剑齿追猎者,1.3%,85,
剑龙,7.5%,92,
加亚莱，龙鹰之神,5.7%,55,
加基森拍卖师,0.4%,80,
勇敢的记者,20.1%,101,
卑劣的窃蛋者,13.8%,138,
南海船工,0.8%,80,
南海船长,0.3%,85,
南瓜农夫,6.3%,90,
卡利莫斯的仆从,2.6%,111,
卡德加,2.5%,120,
卡扎库斯,2.4%,170,
卡雷苟斯,6.4%,112,
厄运鼹鼠,7.6%,90,
发条强盗机器人,0.9%,82,
发条机器人,3.5%,78,
受损的机械剑龙,7.8%,96,
变形卷轴,7.6%,101,
变形术,17%,155,
变形药水,6%,81,
古怪的铭文师,44.5%,149,
古拉巴什供品,0.2%,43,
古拉巴什小鸡,0.2%,55,
古拉巴什狂暴者,4.2%,87,
古董收藏家,4.3%,79,
叫嚣的中士,3.1%,75,
可升级机器人,2.2%,95,
可靠的灯泡,0.6%,68,
吉尔尼斯皇家卫兵,10.8%,110,
后院保镖,3.1%,97,
吸血蚊,3.6%,87,
吹箭鱼人,7.2%,104,
咖啡师林彻,1.4%,134,
哀泣女妖,0.8%,138,
哈里森·琼斯,0.4%,85,
唤尸者,1.6%,106,
唤鸦者,9.5%,98,
喧哗的诗人,5.6%,100,
嗜睡的神枪手,2.7%,41,
团队领袖,1%,88,
圣光护卫者,0.4%,73,
地精炸弹,0.2%,22,
坑道爆破师,9.1%,73,
坩埚元素,1.2%,73,
堕落残阳祭司,9.1%,95,
塔达拉姆王子,0.1%,86,
墓地蹒跚者,4%,102,
墓穴潜伏者,0.4%,107,
墨水大师索莉娅,0.3%,82,
复制,23%,119,
复生大盗,2%,84,
夜刃刺客,0.9%,82,
大厨诺米,0.1%,74,
大地之环先知,9.3%,107,
大富翁比尔杜,0.4%,110,
大法师,3.6%,93,
大法师安东尼达斯,0.7%,156,
大法师瓦格斯,1.5%,104,
大法师阿鲁高,1.5%,121,
大胆的吞火者,21.7%,123,
失心农夫,0.8%,62,
夺尸者,0.9%,92,
夺日者战斗法师,7.3%,78,
夺日者间谍,16.4%,101,
夺灵者哈卡,0.2%,50,
奇利亚斯,2.8%,154,
奥妮克希亚,0.9%,121,
奥术仆从,17%,97,
奥术傀儡,0.1%,69,
奥术工匠,4.2%,92,
奥术智慧,34.1%,115,
奥术暴龙,6.3%,96,
奥术统御者,1.4%,87,
奥术锁匠,8%,118,
奥术飞弹,17.7%,103,
奥秘守护者,0.9%,74,
奥能水母,11.3%,128,
女伯爵阿莎摩尔,1%,80,
女巫森林吹笛人,3.8%,86,
女巫森林灰熊,10.1%,123,
好斗的侏儒,3.2%,99,
妖术领主玛拉卡斯,5.3%,138,
始生幼龙,15.2%,143,
始祖龟预言者,0.7%,105,
孤胆英雄,13.9%,129,
孱弱的掘墓者,2%,95,
宇宙异象,14.6%,116,
实验体9号,0.1%,93,
寒光先知,0.1%,64,
寒冰护体,3.2%,83,
寒冰箭,32%,146,
寒冰行者,3%,83,
小个子召唤师,1.6%,91,
小型法术红宝石,1.6%,74,
小精灵,0.1%,65,
小鬼召唤师,1.9%,101,
尤格-萨隆,0.8%,83,
尤格萨隆的仆从,8.7%,86,
尼鲁巴蛛网领主,2.7%,74,
屠龙者,23.3%,127,
山岭巨人,0.3%,54,
山谷之王穆克拉,0.8%,97,
岩浆暴怒者,0.2%,85,
工匠大师欧沃斯巴克,0.2%,108,
工程师学徒,4.3%,103,
巨型乳齿象,8.7%,88,
巨型黄蜂,7.6%,126,
巨鳞蠕虫,2.6%,93,
巨龙之怒,15.5%,120,
巨龙召唤者奥兰纳,0.6%,38,
巫医,2.8%,96,
巫妖王,4.3%,151,
巫师学徒,19.6%,128,
巫毒娃娃,7.1%,149,
帝王眼镜蛇,2.6%,115,
年轻的女祭司,1.8%,95,
年轻的酒仙,5.8%,102,
年迈的法师,0.5%,85,
年迈的酒仙,4.4%,101,
幻术士,6.2%,95,
幼龙鹰,0.1%,53,
开心的食尸鬼,0.9%,95,
异变的狗头人,1.6%,74,
弹簧火箭犬,14.9%,111,
强能奥术飞弹,3.2%,90,
强能雷象,2.7%,116,
微机操控者,9.4%,128,
急速冷冻,5.7%,59,
怨影狂怒者,0.5%,52,
怨灵之书,14.7%,164,
怪盗布缆鼠,37.9%,111,
总督察,7.1%,100,
恐怖海盗,0.4%,66,
恐狼前锋,7.4%,105,
恩佐斯,1%,86,
恩佐斯的子嗣,2.7%,79,
恩佐斯的触须,3.5%,72,
恶毒的召唤师,2.5%,106,
恶毒的银行家,0.5%,76,
恶毒铁匠,2.9%,92,
恶狼大法师,8.6%,95,
惊奇套牌,2.1%,28,
惊骇恐魔,2.5%,116,
愤怒,57.1%,136,
憎恶,1.6%,102,
战争机兵,9%,104,
战利品贮藏者,9.4%,120,
托维尔塑石师,2.8%,105,
扰咒术,3.1%,94,
投弹机器人,2.7%,77,
报警机器人,0.1%,36,
拉文霍德刺客,1.3%,87,
持盾卫士,0.1%,64,
推土壮汉,42.6%,115,
摧心者,1.3%,105,
摩天龙,1.7%,74,
攻城车,1.1%,77,
旅行医者,28.7%,102,
旋翼滑翔者,1.2%,77,
无助的幼雏,1.5%,60,
无面巨兽,2.3%,69,
无面操纵者,2.1%,117,
无面暴怒者,26.6%,109,
无面蹒跚者,1.3%,127,
日怒保卫者,3.3%,111,
时光修补匠托奇,2.1%,104,
星术师,13.9%,113,
星界使者塞雷西亚,0.1%,71,
星界密使,2.2%,105,
星界裂隙,11.7%,118,
晶化师,1.2%,90,
智慧秘典,0.2%,74,
暗夜嗥狼,2%,75,
暗夜徘徊者,1.5%,74,
暗金教侍从,6.7%,96,
暗金教信使,21.2%,123,
暗金教水晶侍女,3.9%,81,
暗金教炼金师,27.5%,103,
暗鳞先知,0.1%,52,
