名称,抓取率,评分,
“丛林猎人”赫米特,0.2%,115,
“开拓者”伊莉斯,2.1%,129,
“老狐狸”马林,1.6%,87,
三教九流,0.4%,58,
下水道爬行者,10.6%,102,
不稳定的元素,10.2%,105,
丛林猎豹,4.2%,95,
中场拾荒者,15.5%,108,
乌达斯塔,3.6%,97,
亚煞极印记,45.1%,128,
亡斧惩罚者,0.2%,63,
亡灵药剂师,16%,132,
亡语者,20.9%,128,
亮石技师,1.8%,130,
人偶大师多里安,0.1%,78,
以眼还眼,1%,59,
任务达人,2%,93,
伊利丹·怒风,0.5%,123,
伊瑟拉,0.4%,99,
伪装机器人,7.4%,103,
作战傀儡,1.1%,93,
侏儒发明家,5.3%,105,
保护之手,8.9%,80,
倔强的蜗牛,28.5%,136,
傲慢的十字军,1.5%,111,
光之悲恸,0.2%,22,
光耀之主拉格纳罗斯,2.7%,90,
光铸剑龙,11.1%,99,
光铸祝福,10.4%,55,
克尔苏加德,2.8%,135,
全息术士,0.2%,66,
公会招募员,4.7%,103,
公正之剑,17.9%,131,
再生暴徒,13.9%,98,
冒险号角,4.1%,98,
冰冻粉碎者,1.2%,116,
冰川裂片,7.5%,119,
冰淇淋小贩,0.8%,92,
冰霜元素,6.2%,83,
冰风雪人,9.5%,117,
冷酷的死灵法师,15.3%,117,
凯恩·血蹄,1.2%,134,
凯雷塞斯王子,0.6%,91,
凶恶的鳞皮兽,6.6%,90,
凶猛的聒噪怪,1.3%,88,
分裂腐树,0.9%,115,
分裂软泥怪,2.8%,99,
列王守卫,11.6%,84,
利亚姆王子,1%,101,
利爪德鲁伊,43%,148,
利齿宝箱,4.3%,99,
制毒师,6.9%,97,
剃刀猎手,4.3%,101,
剑齿追猎者,1.5%,83,
剑龙,9.7%,92,
剑龙骑术,24.8%,153,
力量祝福,16.3%,97,
加基森名媛,5.7%,90,
加基森拍卖师,0.3%,78,
勇敢的记者,19.4%,103,
化学怪人,18.3%,123,
午夜噩龙,2.4%,106,
卑劣的窃蛋者,12.9%,137,
卑劣的脏鼠,0.5%,61,
南海船工,2.7%,108,
南海船长,0.3%,90,
南瓜农夫,6.8%,96,
卡利莫斯的仆从,1.6%,94,
厄运鼹鼠,6.5%,96,
发条机器人,0.4%,67,
受损的机械剑龙,7%,97,
受祝福的勇士,2.9%,31,
古怪的铭文师,44.5%,149,
古拉巴什供品,0.2%,44,
古拉巴什小鸡,0.4%,60,
古拉巴什狂暴者,3%,88,
叫嚣的中士,4.3%,80,
可升级机器人,3%,94,
可靠的灯泡,1.1%,76,
吉尔尼斯皇家卫兵,8.6%,113,
后街男巫,0.8%,58,
后院保镖,4.3%,99,
吵吵模组,11%,137,
吸血蚊,3.5%,85,
吹箭鱼人,8.4%,104,
咆哮的指挥官,1.9%,87,
和蔼的灯神,10.8%,110,
咖啡师林彻,1.4%,132,
哀泣女妖,0.8%,137,
哈里森·琼斯,0.5%,88,
唐·汉古,1.7%,115,
唤尸者,1.7%,104,
唤鸦者,12%,100,
喧哗的诗人,10%,101,
嗜睡的神枪手,0.8%,44,
团队领袖,2%,96,
圣光护卫者,0.7%,81,
圣光术,3.3%,54,
圣光楷模,12.4%,106,
圣光的正义,21.5%,115,
圣光闪现,21.6%,93,
圣疗术,6.2%,100,
地精炸弹,0.3%,26,
场馆保镖,5.2%,91,
坎格尔的无尽大军,0.3%,46,
坑道爆破师,6.1%,72,
坩埚元素,0.8%,74,
堕落残阳祭司,13.3%,100,
塔达拉姆王子,0.2%,88,
墓地蹒跚者,4.1%,100,
墓穴潜伏者,0.7%,104,
复仇之怒,6.1%,109,
复生大盗,6.7%,102,
夜刃刺客,0.8%,80,
夜色镇执法官,17.9%,120,
大地之环先知,8.4%,113,
大法师,2.6%,87,
失心农夫,1.2%,66,
夺尸者,2.4%,91,
夺日者战斗法师,1.6%,75,
夺日者间谍,17%,103,
夺灵者哈卡,0.1%,48,
奇利亚斯,3.5%,158,
奉献,34.2%,158,
奥妮克希亚,1.3%,124,
奥尔多卫士,31.3%,158,
奥术仆从,14.6%,99,
奥术傀儡,0.1%,64,
奥术统御者,0.5%,80,
奥秘守护者,1.3%,78,
奥能水母,7.1%,115,
女伯爵阿莎摩尔,1.1%,83,
女巫森林吹笛人,3.7%,88,
女巫森林灰熊,8.6%,124,
女警萨莉,0.1%,72,
好斗的侏儒,2.7%,101,
始生幼龙,9.1%,141,
始祖龟预言者,0.6%,88,
孤胆英雄,9.9%,127,
孱弱的掘墓者,3%,94,
守日者塔林姆,3.8%,225,
寒光先知,0.1%,60,
寒刃勇士,8.9%,114,
小个子召唤师,1.6%,93,
小型法术珍珠,2.4%,103,
小精灵,0.1%,62,
小鬼召唤师,2.5%,94,
尤格-萨隆,0.6%,76,
尼鲁巴蛛网领主,2.8%,75,
屠龙者,14.5%,126,
山岭巨人,0.2%,51,
山谷之王穆克拉,1%,95,
岩浆暴怒者,0.2%,79,
崇高牺牲,18.9%,110,
工匠大师欧沃斯巴克,0.3%,108,
工程师学徒,3.7%,105,
巨化术,18%,105,
巨型乳齿象,9.5%,86,
巨型黄蜂,8.3%,124,
巨鳞蠕虫,3.7%,98,
巫医,2.8%,110,
巫妖王,2.3%,149,
巫毒娃娃,1.2%,106,
帝王眼镜蛇,2.8%,116,
年轻的女祭司,2%,109,
年轻的酒仙,4.8%,99,
年迈的法师,0.2%,74,
年迈的酒仙,3.8%,104,
幻影海盗,0.9%,80,
幻术士,3.5%,81,
幼龙鹰,0.3%,58,
开心的食尸鬼,2.1%,108,
异变的狗头人,0.5%,54,
异种群居蝎,0.1%,28,
弹簧火箭犬,15%,108,
强能雷象,2.4%,115,
微机操控者,11%,128,
忏悔,8.7%,84,
怒鳍猎潮者,15.3%,123,
怨影狂怒者,0.9%,52,
总督察,5.7%,100,
恐怖海盗,2.6%,91,
恐狼前锋,12.7%,111,
恩佐斯,1.5%,92,
恩佐斯的子嗣,5.6%,84,
恩佐斯的触须,2%,86,
恶毒的召唤师,0.9%,104,
恶毒的银行家,0.5%,76,
恶毒铁匠,5.2%,114,
惊骇恐魔,2.3%,116,
惩黑除恶,14.2%,101,
愤怒,57.1%,136,
愤怒的小鸡,0.1%,57,
憎恶,1.2%,85,
战争机兵,13%,104,
战利品贮藏者,8.8%,121,
战斗号角,5.3%,123,
战术撤离,6.6%,85,
托瓦格尔国王,0.1%,52,
托维尔塑石师,1.2%,97,
扭曲的狼人,6.6%,90,
投弹机器人,5%,77,
报警机器人,0.1%,40,
拉文霍德刺客,1.1%,85,
持盾卫士,0.3%,68,
指挥官蕾撒,0.6%,122,
推土壮汉,42.6%,115,
提里奥·弗丁,2.4%,158,
摧心者,2.3%,105,
摩天龙,1.5%,72,
攻城车,1.2%,77,
救赎,15.9%,72,
教堂石像兽,1.8%,89,
散财军士,15.4%,117,
斩棘刀,7.9%,182,
斯塔拉格,0.2%,97,
旋翼滑翔者,1.5%,73,
无助的幼雏,1.8%,64,
无私的英雄,14.7%,133,
无面操纵者,1.9%,116,
无面暴怒者,24.5%,109,
日怒保卫者,3.3%,115,
旱谷狱卒,23.2%,69,
星界使者塞雷西亚,0.1%,87,
晶化师,1.6%,96,
