名称,抓取率,评分,
“丛林猎人”赫米特,0.5%,111,
“尸魔花”瑟拉金,0.9%,88,
“开拓者”伊莉斯,2.8%,137,
“老狐狸”马林,1%,91,
下水道爬行者,7.3%,101,
不稳定的元素,10.9%,101,
丛林猎豹,4.4%,100,
亡斧惩罚者,0.1%,51,
亡语者,20.7%,126,
人偶大师多里安,0.3%,68,
任务达人,0.9%,90,
伊利丹·怒风,1.1%,117,
伊瑟拉,1.2%,103,
传播瘟疫,39.2%,129,
伪装大师,3.6%,103,
伺机待发,1.2%,67,
作战傀儡,1.3%,87,
侏儒发明家,5.3%,109,
倔强的蜗牛,25%,151,
公会招募员,6.4%,114,
军情七处特工,8.7%,144,
冰冻粉碎者,3%,96,
冰川裂片,17%,118,
冰霜元素,7%,83,
冰风雪人,8.5%,114,
冷酷的死灵法师,19.2%,114,
凯恩·血蹄,1.6%,131,
凯雷塞斯王子,0.6%,80,
凶恶的鳞皮兽,4.8%,97,
凶猛的聒噪怪,1.2%,92,
刀瓣鞭笞者,12%,88,
刀瓣齐射,6.1%,34,
分裂腐树,0.7%,119,
利爪德鲁伊,38.9%,148,
利齿宝箱,3.4%,98,
制毒师,6.4%,98,
刺喉海盗,11.5%,105,
刺客之刃,13.3%,65,
刺杀,24.3%,161,
刺骨,6.8%,155,
剃刀猎手,3.8%,99,
剑刃乱舞,1.5%,102,
剑齿追猎者,1.7%,81,
剑龙,8.9%,98,
加基森拍卖师,0.2%,76,
劫持者,9.7%,128,
卑劣的窃蛋者,14%,133,
南海船工,5%,115,
南海船长,0.4%,86,
南瓜农夫,6.7%,114,
卡利莫斯的仆从,1.7%,93,
厄运鼹鼠,9%,92,
发条机器人,0.4%,68,
叛变,8.6%,60,
古拉巴什狂暴者,2.6%,88,
叫嚣的中士,4.2%,76,
吉尔尼斯皇家卫兵,10.7%,104,
吸血药膏,1%,36,
吸血蚊,2.4%,99,
命运骨骰,1.7%,77,
哀泣女妖,1.8%,130,
哈里森·琼斯,0.6%,83,
唤尸者,3.7%,109,
唤鸦者,15.7%,119,
喧哗的诗人,6.5%,94,
团队领袖,1.3%,82,
圣光护卫者,0.2%,80,
坩埚元素,0.9%,71,
堕落残阳祭司,11.8%,86,
塔达拉姆王子,0.2%,86,
墓地蹒跚者,12.4%,103,
墓穴潜伏者,0.8%,112,
夜刃刺客,1%,81,
大地之环先知,10.1%,118,
大法师,3.2%,88,
失心农夫,1.2%,64,
夺尸者,1.2%,96,
奥妮克希亚,2.3%,122,
奥术统御者,0.3%,77,
奥秘守护者,0.2%,73,
女伯爵阿莎摩尔,1.4%,90,
女巫森林吹笛人,2.4%,94,
女巫森林灰熊,9.3%,131,
始生幼龙,15.8%,151,
始祖龟劫掠者,42.1%,151,
始祖龟预言者,0.5%,88,
孤胆英雄,19.3%,135,
孱弱的掘墓者,2.7%,106,
小个子召唤师,0.6%,98,
小型法术黑曜石,7.5%,139,
小精灵,0.2%,62,
小鬼召唤师,1.1%,97,
屠龙者,21.9%,133,
山岭巨人,0.1%,51,
岩浆暴怒者,0.2%,79,
工匠大师欧沃斯巴克,0.4%,115,
工程师学徒,4.3%,113,
巨型乳齿象,10.4%,100,
巨型黄蜂,20.8%,138,
巨鳞蠕虫,1.1%,100,
巫医,2.9%,112,
巫妖王,3.3%,155,
巫毒娃娃,1.1%,121,
帝王眼镜蛇,1.6%,137,
年轻的女祭司,0.8%,103,
年轻的酒仙,5.8%,94,
年迈的法师,0.2%,83,
年迈的酒仙,4.8%,96,
幻影海盗,2.5%,91,
幻术士,4.4%,87,
幼龙鹰,0.2%,59,
幽灵弯刀,0.6%,34,
开心的食尸鬼,1.3%,94,
影舞者索尼娅,4.2%,94,
影袭,1.1%,23,
总督察,3.6%,97,
恐怖海盗,3.6%,90,
恐狼前锋,9.6%,97,
恶毒的召唤师,0.8%,96,
恶毒的银行家,0.5%,74,
恶毒铁匠,9.3%,135,
愤怒,38.5%,131,
憎恶,0.6%,90,
战利品贮藏者,8.9%,125,
托维尔塑石师,2.1%,99,
拉文霍德刺客,0.6%,88,
拟态豆荚,5.5%,130,
持盾卫士,0.3%,78,
搜索,7.5%,125,
摧心者,2.5%,104,
摩天龙,1.4%,68,
攻城车,0.6%,71,
无面操纵者,1.4%,114,
日怒保卫者,1.5%,124,
星火术,49.2%,132,
星辰坠落,42.4%,135,
暗夜嗥狼,2.2%,65,
暗夜徘徊者,0.7%,76,
暗影之刃,27.7%,151,
暗影步,13.6%,70,
暗鳞先知,0.1%,54,
暗鳞治愈者,4.3%,104,
暮光幼龙,5.7%,105,
暴怒的双头巨人,13.3%,126,
暴怒的狼人,3.6%,91,
暴掠龙幼崽,9.9%,90,
暴风城勇士,12.1%,103,
暴风城骑士,4.5%,89,
末日回旋镖,1.7%,119,
末日预言者,0.6%,107,
机械幼龙技工,3.9%,99,
机械异种蝎,1.8%,88,
杂毛秘术师,12.2%,108,
格鲁尔,0.9%,99,
梦魇融合怪,5%,120,
森金持盾卫士,7.9%,109,
欧克哈特大师,1.2%,169,
欧泽鲁克,0.1%,49,
死亡之翼,1.3%,149,
死灵恶鬼,12.9%,79,
死鳞骑士,0.5%,72,
毒刃,26.2%,120,
比斯巨兽,0.3%,72,
沼泽水蛭,5.4%,126,
沼泽爬行者,5.1%,96,
沼泽飞龙,14.1%,107,
沼泽龙蛋,1.9%,66,
法力怨魂,0.4%,93,
法多雷突袭者,8.6%,142,
泥沼狩猎者,5.8%,136,
洞穴探宝者,8.2%,118,
海巨人,7.5%,140,
海德尼尔冰霜骑士,11.8%,127,
海象人渔夫,10.7%,101,
浸毒武器,25.2%,147,
消失,10.9%,72,
淡水鳄,3.8%,93,
深蓝刃鳞龙人,13%,111,
温顺的巨壳龙,1.1%,117,
游荡恶鬼,0.3%,65,
火山龙,7.5%,111,
火岩元素,10.4%,92,
火焰使者,1.4%,90,
火羽凤凰,17.2%,118,
火羽精灵,19.3%,120,
火车王里诺艾,1.2%,113,
灵魂歌者安布拉,0.8%,101,
烈日行者,9.7%,121,
热情的探险家,1.8%,114,
焦油爬行者,22.7%,120,
熔火巨像,0.7%,86,
熔火恶犬,0.4%,83,
牛头人战士,0.8%,79,
狂奔的魔暴龙,11.5%,122,
狂奔科多兽,3%,110,
狂野炎术师,4.3%,106,
狗头人地卜师,2.3%,92,
狗头人学徒,9.8%,104,
狗头人幻术师,2.1%,105,
狗头人拾荒者,0.3%,56,
狗头人武僧,3.4%,120,
狼人憎恶,10.6%,100,
狼人渗透者,4.4%,99,
狼骑兵,4%,84,
王牌猎人,1.2%,71,
玛里苟斯,0.5%,106,
瓦拉纳王子,0.4%,90,
疯帽客,1.1%,88,
疯狂投弹者,7.4%,116,
疯狂的炼金师,1.4%,109,
疾跑,22.4%,124,
瘟疫科学家,25.8%,118,
癫狂的医生,13.9%,108,
白银之手骑士,6.9%,111,
白银先锋,0.7%,87,
白骨大亨,12.9%,107,
白骨幼龙,18.4%,121,
石丘防御者,18%,156,
石塘猎人,7.1%,96,
石拳食人魔,6.8%,98,
石牙野猪,0.8%,70,
石皮蜥蜴,11.9%,168,
砂齿骑兵,0.4%,38,
破法者,7.2%,116,
破碎残阳祭司,7.4%,109,
破铜烂铁机器人,0.7%,87,
硬壳甲虫,12.1%,129,
穆克拉,0.2%,87,
穴居人食菌者,9.4%,110,
窃魂者阿扎莉娜,0.3%,54,
竞技场主宰,1.5%,94,
符文熔铸游魂,3.2%,76,
筑巢双头鹏,20.4%,113,
精灵弓箭手,3.5%,108,
精灵龙,8%,107,
精神控制技师,6.9%,121,
紫罗兰教师,2%,103,
紫色岩虫,33.4%,130,
紫色岩虫,28.7%,127,
纳特·帕格,0.1%,74,
织法者,0.6%,70,
绞肉车,0.1%,46,
维库食尸鬼,5.7%,85,
绿洲钳嘴龟,2.3%,88,
绿皮船长,0.6%,105,
绿色凝胶怪,16%,108,
缚沙者,0.6%,82,
缚雾熊怪,0.5%,43,
翡翠掠夺者,4%,91,
翡翠蜂后,0.5%,62,
翼手龙宝宝,6%,107,
耐心的刺客,6.4%,126,
背刺,25.7%,114,
胡桃精,8.2%,91,
腐烂的苹果树,26.5%,127,
腐肉食尸鬼,3.2%,85,
腐蚀淤泥,11.8%,95,
臃肿的蛇颈龙,13.3%,113,
自爆憎恶,0.1%,61,
致命药膏,19.1%,95,
艾德温·范克里夫,4.4%,134,
艾露恩的女祭司,1.1%,87,
苔丝·格雷迈恩,0.5%,68,
苔藓恐魔,19.4%,153,
苦潮多头蛇,3.7%,116,
苦痛侍僧,5.8%,121,
荆棘帮暴徒,22.8%,115,
荆棘谷猛虎,5.9%,109,
莉莉安·沃斯,1.6%,115,
菌菇术士,39.6%,126,
菌菇附魔师,14.3%,122,
萨尔玛先知,0.4%,66,
萨隆苦囚,20.4%,138,
葛拉卡爬行蟹,2.9%,95,
蓝腮战士,3.2%,79,
藏宝巨龙,8.6%,106,
藏宝海湾保镖,0.9%,91,
虚空撕裂者,4.2%,125,
蛇发女妖佐拉,1%,90,
蛛魔拆解者,0.7%,65,
蛮鱼斥候,0.7%,68,
蜡油元素,1.5%,67,
血帆海盗,0.2%,73,
血帆袭击者,9.9%,109,
血沼迅猛龙,3.9%,101,
血法师萨尔诺斯,0.5%,134,
血色十字军战士,5.8%,115,
血虫,4.1%,108,
血骑士,6.7%,120,
被污染的狂热者,6.1%,99,
被诅咒的海盗,7.8%,135,
被诅咒的门徒,19.3%,120,
裂颅之击,0.3%,35,
诅咒教派领袖,8.4%,115,
诈死,11.6%,54,
诺兹多姆,0.2%,76,
负伤剑圣,0.6%,114,
贪睡巨龙,10.6%,105,
贪食软泥怪,2.5%,92,
资深档案管理员,0.3%,79,
达卡莱附魔师,0.1%,52,
达拉然法师,0.2%,64,
迅捷的信使,22%,121,
迦顿男爵,1.8%,135,
迪菲亚头目,8.3%,106,
迷失的幽魂,0.9%,51,
迷雾幽灵,2.7%,99,
通缉令,1.8%,92,
通道爬行者,4.6%,80,
邪脊吞噬者,16.7%,190,
邪骨骷髅,0.3%,45,
邪魂审判官,3.5%,94,
酸性沼泽软泥怪,11.3%,107,
野性之力,44.9%,149,
野蛮咆哮,46.6%,140,
铁喙猫头鹰,3.6%,77,
铁炉堡火枪手,2.1%,81,
铁鬃灰熊,3%,102,
银月城卫兵,3.7%,119,
银背族长,0.2%,60,
银色侍从,7%,116,
