名称,抓取率,评分,
“丛林猎人”赫米特,0.3%,115,
“开拓者”伊莉斯,2.2%,134,
“老狐狸”马林,0.9%,88,
下水道爬行者,7.9%,96,
不稳定的元素,9.1%,110,
丛林猎豹,3.5%,101,
亡语者,26.6%,130,
人偶大师多里安,0.3%,67,
任务达人,0.8%,97,
伊利丹·怒风,0.6%,120,
伊瑟拉,0.8%,102,
传播瘟疫,39.2%,129,
低温静滞,1.1%,85,
低语元素,2.7%,76,
作战傀儡,0.9%,89,
侏儒发明家,5.5%,104,
倔强的蜗牛,23.2%,159,
先祖之魂,4.6%,107,
公会招募员,6.9%,114,
冥光鱼人,17.1%,103,
冰冻粉碎者,3.2%,101,
冰川裂片,19.2%,100,
冰钓术,0.2%,8,
冰霜元素,8.4%,83,
冰霜震击,3%,54,
冰风雪人,11.6%,116,
冷冻鱼人,13.8%,91,
冷酷的死灵法师,22.3%,117,
凯恩·血蹄,1.1%,134,
凯雷塞斯王子,0.5%,87,
凶恶的鳞皮兽,4.1%,91,
凶猛的聒噪怪,0.9%,79,
分裂腐树,0.8%,121,
利爪德鲁伊,38.9%,148,
利齿宝箱,2.8%,100,
制毒师,5%,101,
剃刀猎手,3.4%,93,
剑齿追猎者,1.2%,82,
剑龙,7.2%,91,
加基森拍卖师,0.1%,75,
卑劣的窃蛋者,15.1%,136,
南海船工,1.3%,77,
南海船长,0.2%,88,
南瓜农夫,3.4%,96,
卡利莫斯的仆从,3.9%,108,
厄运鼹鼠,7.6%,77,
原始护身符,0.6%,27,
叉状闪电,16.4%,79,
发条机器人,0.3%,69,
古拉巴什狂暴者,2.4%,90,
叫嚣的中士,3.1%,88,
吉尔尼斯皇家卫兵,7.8%,107,
吸血蚊,2%,87,
哀泣女妖,0.7%,134,
哈里森·琼斯,0.5%,87,
唤尸者,3.6%,110,
唤鸦者,15%,113,
喧哗的诗人,6.3%,100,
团队领袖,1.6%,119,
图腾啃食者,0.5%,68,
土元素,11.3%,134,
圣光护卫者,0.5%,73,
坩埚元素,2%,73,
堕落残阳祭司,10.9%,112,
塑沼者,1.7%,90,
塔达拉姆王子,0.1%,88,
墓地蹒跚者,5.7%,100,
墓穴潜伏者,0.4%,109,
夜刃刺客,0.6%,75,
大地之力,17.5%,151,
大地之环先知,8.3%,115,
大地震击,33.5%,106,
大法师,2.6%,91,
失心农夫,0.8%,51,
夺尸者,0.8%,85,
奥妮克希亚,2.1%,125,
奥术傀儡,0.1%,64,
奥术统御者,0.5%,80,
奥秘守护者,0.1%,56,
女伯爵阿莎摩尔,1%,87,
女巫森林吹笛人,2.7%,91,
女巫森林灰熊,7.8%,127,
始生幼龙,16.7%,145,
始祖龟劫掠者,42.1%,151,
始祖龟预言者,0.5%,64,
孤胆英雄,11.7%,127,
孱弱的掘墓者,1.6%,101,
寒光先知,0.1%,59,
小个子召唤师,0.8%,105,
小型法术蓝宝石,1.1%,54,
小鬼召唤师,1.1%,99,
屠龙者,22.4%,134,
山岭巨人,0.1%,52,
岩浆暴怒者,0.2%,82,
岩石哨兵,2.6%,78,
工匠大师欧沃斯巴克,0.3%,114,
工程师学徒,3.5%,104,
