名称,抓取率,评分,
“丛林猎人”赫米特,0.2%,112,
“开拓者”伊莉斯,1.4%,130,
“老狐狸”马林,1.4%,87,
“鲨鱼”加佐,0.5%,116,
上古之神先驱,0.2%,76,
下水道爬行者,9.8%,107,
下水道软泥怪,0.3%,57,
不稳定的元素,11.1%,105,
丛林猎豹,4.9%,105,
中场拾荒者,17.9%,117,
乌达斯塔,4%,103,
二流打手,9.2%,117,
亚煞极,0.5%,97,
亚煞极印记,45.1%,128,
亡斧惩罚者,0.1%,66,
亡灵药剂师,27.9%,144,
亡语者,21.8%,124,
亵渎,36%,206,
人偶大师多里安,0.2%,77,
任务达人,2.1%,98,
伊利丹·怒风,0.6%,131,
伊瑟拉,0.2%,100,
传送门大恶魔,5%,107,
传送门守护者,9.7%,110,
伪装机器人,7.2%,105,
作战傀儡,1.2%,94,
侏儒发明家,3.5%,100,
侏儒吸血鬼,15.8%,102,
倔强的蜗牛,24.6%,141,
克尔苏加德,1.9%,115,
全息术士,0.3%,69,
公会招募员,6.5%,106,
再生暴徒,11.4%,100,
冰冻粉碎者,1.5%,122,
冰川裂片,10.5%,114,
冰淇淋小贩,1.1%,94,
冰霜元素,5.7%,96,
冰风雪人,8.6%,116,
冷酷的死灵法师,16.7%,121,
凯恩·血蹄,1%,131,
凯雷塞斯王子,0.6%,91,
凶恶的鳞皮兽,7%,102,
凶猛的聒噪怪,1.3%,80,
分裂腐树,0.6%,111,
分裂软泥怪,1.6%,101,
利爪德鲁伊,43%,148,
利齿宝箱,4%,101,
制毒师,6.4%,100,
剃刀猎手,4.7%,99,
剑齿追猎者,1.5%,84,
剑龙,8.4%,102,
功夫大师,3.1%,78,
加基森名媛,8.8%,94,
加基森拍卖师,0.2%,78,
加拉克苏斯大王,3%,140,
勇敢的记者,16.5%,104,
化学怪人,19.2%,123,
午夜噩龙,2%,108,
卑劣的窃蛋者,15.8%,142,
卑劣的脏鼠,0.4%,67,
卑鄙的恐惧魔王,16.4%,169,
南海船工,1.3%,83,
南海船长,0.4%,87,
南瓜农夫,10.5%,113,
卡利莫斯的仆从,1.6%,97,
卡扎库斯,2.5%,178,
厄运鼹鼠,7.3%,91,
双生小鬼,15.2%,132,
发条强盗机器人,0.5%,82,
发条机器人,0.2%,68,
受损的机械剑龙,9%,105,
古加尔,0.3%,105,
古怪的铭文师,44.5%,149,
古拉巴什供品,0.3%,67,
古拉巴什小鸡,0.3%,53,
古拉巴什狂暴者,2.8%,90,
叫嚣的中士,4.9%,79,
召唤传送门,1.5%,75,
可升级机器人,3%,93,
可靠的灯泡,0.8%,66,
吉尔尼斯皇家卫兵,9%,104,
吸取灵魂,19.2%,102,
吸取生命,7.7%,91,
吸血蚊,4.1%,96,
吹箭鱼人,11.1%,105,
咆哮魔,0.2%,31,
咖啡师林彻,1.6%,135,
哀嚎的灵魂,0.9%,88,
哀泣女妖,1%,141,
哈里森·琼斯,0.4%,86,
唤尸者,1.4%,108,
唤魔者克鲁尔,0.3%,72,
唤鸦者,9.4%,99,
喂食时间,14.7%,132,
喧哗的诗人,7.8%,97,
嗜睡的神枪手,0.8%,42,
团队领袖,1.7%,89,
圣光护卫者,0.7%,76,
地狱烈焰,36%,155,
地精炸弹,0.3%,25,
场馆保镖,5.8%,102,
坑道爆破师,5.1%,84,
坩埚元素,0.7%,73,
堕落残阳祭司,9.3%,100,
塔达拉姆王子,0.2%,90,
墓地蹒跚者,3.7%,99,
墓穴潜伏者,0.6%,105,
复生大盗,2.1%,94,
夜刃刺客,1%,84,
夜色镇图书管理员,2.3%,97,
夜行蝙蝠,16.3%,96,
大厨诺米,0.2%,74,
大地之环先知,12%,114,
大富翁比尔杜,0.6%,112,
大法师,2.7%,91,
大法师瓦格斯,0.6%,101,
大灾变,0.2%,78,
失心农夫,1.4%,58,
夺尸者,1.6%,100,
夺日者战斗法师,3%,79,
夺灵者哈卡,0.2%,48,
奇利亚斯,3%,189,
奥妮克希亚,1.1%,123,
奥术仆从,16.6%,98,
奥术傀儡,0.1%,68,
奥术统御者,0.5%,82,
奥秘吞噬者,1%,59,
奥秘守护者,0.3%,62,
奥能水母,5.2%,121,
女伯爵阿莎摩尔,1%,75,
女巫森林吹笛人,2.3%,90,
女巫森林小鬼,8.8%,103,
女巫森林灰熊,9.5%,138,
女警萨莉,0.1%,74,
好斗的侏儒,4%,99,
始生幼龙,10.2%,153,
始祖龟预言者,0.4%,85,
孤胆英雄,11.8%,139,
孱弱的掘墓者,2.3%,95,
寒光先知,0.1%,61,
小个子召唤师,1.4%,93,
小型法术紫水晶,19.6%,92,
小精灵,0.3%,62,
小鬼召唤师,2.6%,96,
小鬼狱火,7.3%,98,
尖啸,27.1%,168,
尤格-萨隆,0.4%,74,
尼鲁巴蛛网领主,2.9%,75,
屠龙者,21.5%,130,
山岭巨人,0.3%,83,
山谷之王穆克拉,0.8%,97,
岩浆暴怒者,0.2%,76,
岩肤石像鬼,1%,50,
工匠大师欧沃斯巴克,0.3%,113,
工程师学徒,3%,99,
巨型乳齿象,10.4%,96,
巨型小鬼,2.5%,63,
巨型黄蜂,8.6%,128,
巨鳞蠕虫,1.8%,94,
巫医,4.5%,104,
巫妖王,2.3%,148,
巫毒娃娃,1.8%,118,
希里克，蝙蝠之神,0.3%,88,
帝王眼镜蛇,3%,119,
年轻的女祭司,2.4%,99,
年轻的酒仙,5.1%,100,
年迈的法师,0.3%,76,
年迈的酒仙,4.2%,105,
幻影海盗,0.1%,64,
幻术士,4.9%,87,
幼龙鹰,0.2%,51,
开心的食尸鬼,1.7%,101,
异变的狗头人,0.6%,64,
弃暗投明,0.4%,6,
弹簧火箭犬,19.2%,110,
强制牺牲,6.2%,109,
强能雷象,2.6%,119,
微机操控者,10.5%,131,
怒鳍猎潮者,17.5%,125,
性急的杂兵,2%,80,
怨影狂怒者,0.6%,53,
怪盗布缆鼠,33%,108,
总督察,4.4%,95,
恐怖海盗,0.5%,71,
恐狼前锋,11%,106,
恩佐斯,1.4%,100,
恩佐斯的子嗣,4.6%,76,
恩佐斯的触须,2.3%,75,
恶毒的召唤师,1.4%,108,
恶毒的银行家,0.5%,77,
恶毒铁匠,2.7%,94,
恶狼大法师,6.7%,95,
恶魔之火,22.5%,97,
恶魔卫士,1.8%,85,
恶魔法阵,11.9%,104,
情势反转,3.4%,10,
惊骇恐魔,2.6%,139,
感知恶魔,4.9%,75,
愤怒,57.1%,136,
憎恶,1.3%,88,
战争机兵,7.9%,105,
战利品贮藏者,6%,117,
托瓦格尔国王,0.1%,54,
托维尔塑石师,1.9%,102,
扭曲的狼人,7.7%,89,
扭曲虚空,10%,143,
投弹机器人,3.8%,77,
护魂者,2.9%,111,
报警机器人,0.1%,40,
拉卡利地狱犬,2%,87,
拉希奥,0.5%,113,
拉文霍德刺客,1.1%,87,
拉法姆的阴谋,15.7%,93,
持盾卫士,0.3%,77,
捕鼠人,3.2%,107,
推土壮汉,42.6%,115,
摧心者,2.3%,107,
摩天龙,1.5%,73,
攻城车,1.2%,83,
散财军士,18.1%,119,
斯塔拉格,0.2%,100,
旅行医者,31.8%,107,
旋翼滑翔者,1.9%,75,
无助的幼雏,2%,59,
无证药剂师,1.2%,79,
无面巨兽,1.5%,68,
无面操纵者,1.6%,119,
无面暴怒者,27.8%,110,
无面蹒跚者,1.6%,140,
日怒保卫者,4.3%,120,
星界使者塞雷西亚,0.1%,72,
晶化师,1.7%,95,
暗夜嗥狼,2.5%,79,
暗夜徘徊者,1.3%,75,
暗影烈焰,29.4%,144,
暗影箭,38.4%,126,
暗金教信使,16.8%,121,
暗金教恶魔商贩,10.6%,136,
暗金教炼金师,15.3%,102,
暗鳞先知,0.2%,48,
暗鳞治愈者,5.5%,103,
暮光召唤师,2.1%,126,
暮光幼龙,4.3%,110,
暴怒的双头巨人,20.6%,122,
暴怒的狼人,4.9%,90,
暴掠龙幼崽,9.4%,99,
暴牙震颤者,10.9%,118,
暴走旋风,0.1%,69,
暴躁的巨龟,2.4%,84,
暴风城勇士,9.1%,106,
暴风城骑士,4.3%,97,
末日守卫,16.4%,115,
末日灾祸,6.2%,70,
末日践行者,0.9%,104,
末日降临,12.1%,193,
末日预言者,0.9%,106,
机械保险箱,16.5%,117,
机械克苏恩,0.2%,68,
机械幼龙技工,3.6%,96,
机械异种蝎,1.7%,88,
机械拷问者,3.1%,39,
机械推土牛,4.2%,93,
机械袋鼠,15.9%,120,
机械雏龙,2.6%,146,
杂毛秘术师,16.8%,112,
杂耍小鬼,0.3%,62,
格林达·鸦羽,1%,94,
格里伏塔,1.5%,123,
格鲁尔,0.4%,90,
档案员艾丽西娜,1.2%,99,
梦魇之龙,1.2%,77,
梦魇融合怪,5.1%,121,
森金持盾卫士,8.3%,108,
横扫,48%,148,
橡果人,46.3%,117,
欢乐的发明家,1%,124,
欧克哈特大师,1%,129,
欧泽鲁克,0.1%,53,
欧米茄探员,24.2%,135,
欧米茄防御者,8.2%,123,
武装皮纳塔,9.3%,122,
死亡之翼,0.4%,157,
死亡领主,1.8%,85,
死灵恶鬼,11.3%,87,
死鳞骑士,0.8%,65,
残暴的恐龙术士,0.7%,83,
残酷集结,4.1%,97,
毒性污水软泥怪,15.4%,114,
毒沼爬行者,17.6%,122,
毒物学家,0.3%,75,
毒蛇守卫,0.3%,42,
比斯巨兽,0.1%,81,
汤水商贩,0.9%,87,
没电的铁皮人,0.1%,79,
沼泽水蛭,6.7%,116,
沼泽爬行者,5.4%,96,
沼泽飞龙,3.1%,61,
沼泽龙蛋,2.1%,71,
法力之池,0.5%,66,
法力怨魂,1.2%,102,
波戈蒙斯塔,0.5%,73,
泥沼狩猎者,1.5%,133,
洛欧塞布,1.2%,116,
海巨人,4.2%,137,
海德尼尔冰霜骑士,13.4%,136,
海象人渔夫,14.7%,109,
海魔钉刺者,0.3%,62,
淡水鳄,5.3%,102,
淤泥喷射者,15.9%,131,
深渊滑行者索苟斯,1.1%,86,
深渊领主,2%,110,
深蓝刃鳞龙人,5.7%,112,
温顺的巨壳龙,0.9%,122,
游荡恶鬼,0.4%,76,
滑板机器人,4%,86,
火山龙,10.2%,120,
火岩元素,5.9%,90,
火树巫医,2%,96,
火焰使者,1%,90,
火羽凤凰,13.5%,121,
火羽精灵,16.5%,136,
火花引擎,2%,68,
火花钻机,2.4%,93,
火车王里诺艾,0.6%,102,
灵魂之火,22.2%,118,
灵魂歌者安布拉,0.5%,101,
灵魂灌注,4.5%,58,
灵魂炸弹,12.3%,103,
灵魂虹吸,21.7%,157,
炼魂术,0.2%,53,
烈日行者,4.7%,123,
烈焰小鬼,33.7%,140,
热心的酒保,22.5%,118,
热情的探险家,1.3%,109,
焦油潜伏者,28.8%,114,
焦油爬行者,21.3%,128,
熔火巨像,0.4%,99,
熔火恶犬,0.4%,88,
爆晶药水,39.7%,157,
爆爆机器人,8.2%,106,
爆盐投弹手,1.4%,108,
爆破小队,3%,104,
牛头人战士,1.1%,80,
特殊坐骑商人,3.9%,101,
牺牲契约,2.6%,29,
犯罪高手,15.9%,124,
狂乱传染,1.5%,17,
狂奔的魔暴龙,11.6%,116,
狂奔科多兽,5.2%,109,
狂暴咒术师,13.1%,110,
狂热的新兵,5.5%,78,
狂野兽王,10.6%,122,
狂野炎术师,2.5%,124,
狗头人图书管理员,20.9%,151,
狗头人地卜师,2.7%,93,
狗头人学徒,11.1%,111,
狗头人武僧,1.6%,124,
狼人憎恶,5.1%,116,
狼人欺诈者,4.3%,98,
狼人渗透者,5.3%,92,
狼骑兵,4.3%,94,
猩红法力浮龙,2.6%,68,
王牌猎人,1.8%,70,
玛里苟斯,0.2%,95,
瑞文戴尔男爵,0.1%,88,
瓦拉纳王子,0.2%,101,
生锈的回收机器人,7.9%,108,
甲虫卵,3.3%,83,
电磁脉冲特工,0.4%,70,
电能工匠,2.5%,93,
畸变狂战士,9.5%,96,
疯帽客,2.1%,87,
疯狂召唤师,0.6%,78,
疯狂投弹者,9.7%,114,
疯狂的炼金师,3%,112,
疯狂的科学家,1.2%,71,
癫狂的医生,15.1%,106,
白银之手骑士,7.7%,112,
白银先锋,1%,85,
白骨幼龙,16.5%,115,
盲眼游侠,20%,111,
看台喷火龙,1%,78,
着魔村民,29.2%,111,
着魔男仆,1.2%,57,
石丘防御者,14.9%,181,
石塘猎人,10.3%,109,
石拳食人魔,5.8%,110,
石牙野猪,1%,61,
石皮蜥蜴,16.5%,159,
砂齿骑兵,0.5%,51,
破咒珠宝师,10.9%,114,
破法者,9.2%,101,
破盾者,1.6%,75,
破碎残阳祭司,9.8%,110,
破铜烂铁机器人,0.4%,76,
硬壳甲虫,13.1%,137,
禁忌仪式,8.5%,116,
穆克拉,0.1%,99,
穴居人强盗,2.1%,94,
穴居人食菌者,10.4%,108,
窃魂者阿扎莉娜,0.2%,55,
竞技场主宰,1.6%,96,
竞技场奴隶主,0.3%,46,
竞技场财宝箱,0.5%,74,
筑巢双头鹏,18.6%,121,
粗俗的矮劣魔,17.4%,129,
粗暴的恐怖巨魔,7.7%,83,
精灵弓箭手,4.9%,104,
精灵龙,7.3%,113,
精神控制技师,0.4%,119,
紫罗兰典狱官,19.6%,112,
紫罗兰教师,1.9%,104,
紫色岩虫,26.3%,130,
纳克萨玛斯之影,3.7%,126,
纳迦海盗,3.7%,112,
织法者,0.8%,70,
维库食尸鬼,5.7%,87,
绿洲钳嘴龟,2.3%,88,
绿色凝胶怪,7.6%,114,
缚沙者,0.5%,70,
缚雾熊怪,0.6%,45,
群星罗列者,0.3%,99,
翡翠掠夺者,5.2%,92,
翡翠蜂后,0.6%,54,
翼手龙宝宝,7.6%,113,
耶比托·乔巴斯,0.3%,105,
聒噪的挖掘者,9.3%,128,
肉用僵尸,4.8%,134,
胡桃精,10.5%,96,
脑力激荡者,0.8%,51,
脱逃的样本,0.6%,102,
腐化先知,4.4%,110,
腐化治疗机器人,4.4%,94,
腐化迷雾,1.5%,98,
腐烂的苹果树,27.7%,126,
腐肉食尸鬼,4.4%,95,
腐蚀术,5.4%,119,
腐蚀淤泥,7.8%,102,
臃肿的蛇颈龙,6.8%,126,
自爆憎恶,0.1%,60,
至尊盗王拉法姆,1.4%,133,
至暗时刻,0.5%,20,
舞动之剑,3.3%,59,
艾尔文灾星霍格,1.5%,91,
艾泽里特元素,0.7%,70,
艾露恩的女祭司,1.2%,87,
苔藓恐魔,4.7%,133,
苦潮多头蛇,3%,114,
苦痛侍僧,2.9%,107,
茶水小弟,2.7%,109,
荆棘帮小偷,12.9%,95,
荆棘帮巫婆,6.5%,131,
荆棘帮暴徒,0.7%,86,
荆棘谷猛虎,7%,108,
药水商人,13.2%,89,
莫什奥格执行者,6.2%,121,
莫什奥格播报员,14.5%,144,
莫瑞甘博士,0.5%,77,
莫瑞甘的灵界,3.3%,96,
莽头食人魔,6%,125,
菌菇术士,30.6%,127,
菌菇附魔师,8.1%,123,
萨尔玛先知,0.6%,68,
萨瓦丝女王,0.3%,83,
萨隆苦囚,15.8%,138,
萨隆铁矿监工,7.4%,114,
葛拉卡爬行蟹,4.4%,115,
蒙面选手,0.2%,85,
蓝腮战士,3.9%,88,
藏宝巨龙,7.3%,117,
藏宝海湾保镖,1.1%,92,
藏宝海湾荷官,0.7%,70,
蘑菇酿酒师,26.6%,131,
虚弱诅咒,7%,115,
虚空分析师,1.3%,83,
虚空召唤,0.1%,62,
虚空恐魔,2.2%,91,
虚空撕裂者,3.7%,130,
虚空行者,27%,115,
虚空领主,22.4%,139,
虚魂破坏者,1.8%,103,
蛇发女妖佐拉,0.9%,89,
蛛魔之卵,4.4%,97,
蛛魔先知,19.7%,120,
蛛魔拆解者,0.7%,76,
蛮鱼斥候,1.1%,80,
蜡油元素,1.5%,71,
蝙蝠之灵,2.6%,51,
血帆海盗,0.5%,66,
血帆袭击者,3.8%,97,
血怒药水,7.3%,94,
血沼迅猛龙,4.8%,111,
血法师萨尔诺斯,0.3%,116,
血色十字军战士,6%,115,
血色狂欢者,2.6%,18,
血虫,4.4%,112,
血骑士,1.3%,102,
街头调查员,5.7%,95,
被感染的牛头人,10.8%,101,
被感染的贮藏者,5.7%,108,
被污染的狂热者,6.6%,101,
被诅咒的门徒,20%,127,
裂地触须,8.7%,98,
诅咒教派领袖,4.7%,114,
诺兹多姆,0.1%,68,
调皮的噬踝者,23.8%,134,
负伤剑圣,2.2%,116,
贪睡巨龙,10.7%,99,
贪食软泥怪,2.6%,97,
费尔根,0.7%,108,
资深档案管理员,0.1%,72,
赛场狂热者,19%,106,
蹒跚的食尸鬼,5.9%,94,
蹩脚海盗,0.1%,47,
载人毁灭机,2.2%,114,
达卡莱幻术师,6.5%,117,
达卡莱附魔师,0.1%,58,
达拉然图书管理员,12.5%,100,
达拉然圣剑士,39.8%,139,
达拉然法师,0.3%,64,
迅捷的信使,18.8%,121,
迈克斯纳,0.6%,113,
远古之树,8.4%,109,
远古祝福,47.9%,127,
远古造物之血,0.3%,77,
迦顿男爵,0.9%,124,
迪菲亚清道夫,2.6%,102,
迷失的幽魂,1.4%,54,
退役冠军,15.5%,131,
送葬者,3.5%,75,
送葬者安德提卡,1.2%,91,
通电机器人,0.2%,53,
通道爬行者,2.7%,88,
逝网蜘蛛,4.1%,102,
邪兽人噬魂魔,0.9%,94,
邪教药剂师,8.5%,81,
邪火药水,31.4%,151,
邪能领主贝图格,3.3%,107,
邪骨骷髅,0.6%,56,
邪魂审判官,4.3%,98,
郭雅夫人,0.1%,54,
酸性沼泽软泥怪,10.1%,111,
重装佣兵,13.6%,128,
野猪骑士塔纳利,2.7%,97,
野猪骑士斯派克,7.8%,119,
野猪骑士蕾瑟兰,1.5%,98,
野蛮咆哮,42.8%,131,
量产型恐吓机,4.5%,133,
钢铁暴怒者,10.1%,109,
钳嘴龟盾卫,1.8%,131,
铁喙猫头鹰,3.5%,69,
