名称,抓取率,评分,
“丛林猎人”赫米特,0.4%,117,
“开拓者”伊莉斯,2%,121,
“老狐狸”马林,0.9%,86,
下水道爬行者,5%,95,
不稳定的元素,5%,106,
丛林猎豹,2.8%,101,
亡语者,26.2%,127,
人偶大师多里安,0.1%,65,
任务达人,0.5%,93,
伊利丹·怒风,0.4%,122,
伊瑟拉,0.7%,100,
传播瘟疫,39.2%,129,
作战傀儡,0.8%,91,
侏儒发明家,5.9%,99,
倔强的蜗牛,27.6%,157,
公会招募员,6.6%,100,
冰冻粉碎者,3.1%,109,
冰川裂片,15.9%,99,
冰霜元素,8.3%,80,
冰风雪人,11.4%,118,
冷酷的死灵法师,13.4%,118,
凯恩·血蹄,0.9%,137,
凯雷塞斯王子,0.3%,86,
凶恶的鳞皮兽,2.2%,87,
凶猛的聒噪怪,0.5%,78,
分裂腐树,0.4%,121,
利爪德鲁伊,38.9%,148,
利齿宝箱,2.2%,100,
制毒师,4.2%,104,
剃刀猎手,2.5%,94,
剑齿追猎者,1%,90,
剑龙,6%,86,
加基森拍卖师,0.1%,72,
升级！,5.3%,152,
卑劣的窃蛋者,14.2%,138,
南海船工,1.9%,100,
南海船长,0.4%,88,
南瓜农夫,3%,91,
卡利莫斯的仆从,1.1%,96,
厄运鼹鼠,4.8%,82,
发条机器人,0.4%,69,
古拉巴什狂暴者,2.6%,106,
叫嚣的中士,1.3%,77,
吉尔尼斯皇家卫兵,12.1%,107,
吸血蚊,0.9%,81,
命令怒吼,2.8%,172,
哀泣女妖,0.9%,136,
哈里森·琼斯,0.5%,86,
唤尸者,3.9%,107,
唤鸦者,11.7%,106,
喧哗的诗人,3.2%,85,
团队领袖,0.6%,82,
圣光护卫者,0.1%,69,
地塑师伊普,2.3%,84,
坩埚元素,0.5%,73,
城镇公告员,12.3%,115,
基因转接,0.6%,89,
堕落残阳祭司,4.3%,92,
塔达拉姆王子,0.2%,88,
墓地蹒跚者,10.1%,107,
墓穴潜伏者,0.4%,105,
夜刃刺客,0.5%,80,
大地之环先知,11%,109,
大法师,2.2%,87,
失心农夫,0.5%,49,
夺尸者,0.6%,86,
奥妮克希亚,1.6%,126,
奥术统御者,0.2%,81,
奥秘守护者,0.1%,57,
女伯爵阿莎摩尔,1.6%,92,
女巫森林吹笛人,2%,87,
女巫森林灰熊,6.3%,121,
始生幼龙,22%,135,
始祖龟劫掠者,42.1%,151,
始祖龟预言者,0.3%,64,
孤胆英雄,19.2%,125,
孱弱的掘墓者,1.3%,95,
宝石魔像,18.9%,89,
寻求组队,0.1%,70,
小个子召唤师,0.6%,104,
小型法术秘银石,17.4%,131,
小鬼召唤师,0.9%,90,
屠龙者,26.9%,134,
山岭巨人,0.1%,52,
岩浆暴怒者,0.1%,72,
工匠大师欧沃斯巴克,0.3%,112,
工程师学徒,2.3%,97,
巨型乳齿象,13.3%,82,
巨型黄蜂,13.6%,144,
巨鳞蠕虫,1.2%,103,
巫医,1.2%,89,
巫妖王,4.8%,140,
巫毒娃娃,0.8%,104,
帝王眼镜蛇,1.4%,143,
年轻的女祭司,0.5%,90,
年轻的酒仙,4.1%,99,
年迈的法师,0.1%,66,
年迈的酒仙,4.3%,105,
幻影海盗,0.9%,92,
幻术士,1.4%,78,
幼龙鹰,0.1%,45,
库卡隆精英卫士,24.3%,141,
开心的食尸鬼,0.8%,96,
怒火中烧,5.1%,57,
总督察,3.1%,100,
恐怖海盗,3.2%,100,
恐狼前锋,3.8%,105,
恐角龙宝宝,16%,96,
恶毒的召唤师,0.7%,80,
恶毒的银行家,0.3%,83,
恶毒铁匠,8.3%,144,
愤怒,38.5%,131,
憎恶,0.5%,97,
战利品贮藏者,10.3%,118,
战斗怒火,29.3%,133,
托维尔塑石师,1.7%,100,
拉文霍德刺客,0.3%,90,
持盾卫士,0.1%,64,
探索安戈洛,0.3%,24,
摧心者,3%,107,
摩天龙,1.1%,71,
攻城车,0.3%,77,
放马过来,0.2%,6,
旋风斩,9.2%,115,
无面操纵者,1.2%,112,
日怒保卫者,1.4%,115,
星火术,49.2%,132,
星辰坠落,42.4%,135,
暗夜嗥狼,1.7%,79,
暗夜徘徊者,0.3%,71,
暗鳞治愈者,3%,99,
暮光幼龙,6.5%,110,
暴乱狂战士,10.5%,147,
暴怒的双头巨人,15%,107,
暴怒的狼人,3.4%,93,
暴掠龙幼崽,4.2%,96,
暴风城勇士,12.9%,104,
暴风城骑士,4.2%,98,
暴龙之王摩什,5.9%,117,
未鉴定的盾牌,19.3%,84,
末日预言者,0.5%,99,
机械幼龙技工,2.3%,102,
机械异种蝎,1.1%,81,
杂毛秘术师,10.9%,111,
枯须铸甲师,9.4%,97,
格罗玛什·地狱咆哮,1.6%,127,
格鲁尔,0.4%,89,
梦魇融合怪,4%,123,
森金持盾卫士,8.8%,101,
欧克哈特大师,1.8%,141,
欧泽鲁克,0.1%,45,
死亡之翼,1.3%,119,
死亡幽魂,0.3%,62,
死灵恶鬼,4.2%,80,
死鳞骑士,0.2%,47,
比斯巨兽,0.2%,77,
民兵指挥官,12.4%,155,
沼泽水蛭,1%,90,
沼泽爬行者,2.8%,86,
沼泽飞龙,1.4%,44,
沼泽龙蛋,0.9%,53,
法力怨魂,0.4%,102,
泥沼狩猎者,4.3%,145,
活化狂战士,0.6%,57,
海巨人,6.5%,142,
海德尼尔冰霜骑士,15%,132,
海象人渔夫,10.9%,104,
淡水鳄,4.3%,99,
深蓝刃鳞龙人,13.8%,106,
温顺的巨壳龙,1.6%,113,
游荡恶鬼,0.2%,71,
火山龙,8.7%,115,
火岩元素,8.4%,90,
火焰使者,1.9%,96,
火羽凤凰,23.3%,111,
火羽精灵,9.9%,126,
火车王里诺艾,0.3%,111,
灵魂歌者安布拉,0.3%,95,
灵魂洪炉,13.3%,87,
灾厄斩杀者,8.3%,141,
炽炎战斧,22.9%,148,
烈日行者,10.7%,114,
热情的探险家,3.3%,104,
熔岩之刃,8.5%,92,
熔火巨像,0.4%,88,
熔火恶犬,0.4%,75,
熔甲卫士,15.4%,128,
牛头人战士,0.6%,80,
狂奔的魔暴龙,18.7%,125,
狂奔科多兽,4.2%,107,
狂暴的狼人,29.1%,140,
狂野炎术师,4.6%,112,
狗头人地卜师,0.8%,82,
狗头人学徒,6.6%,101,
狗头人拾荒者,0.6%,63,
狗头人武僧,3.5%,114,
狗头人蛮兵,2.3%,114,
