名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
,中立,普通,49,5,,,
上古之神先驱,中立,史诗,37,6,,是,
上古虚空恶犬,恶魔猎手,史诗,96,1,,,
丛林猎豹,中立,普通,53,4,,,
乌祖尔恐魔,恶魔猎手,普通,76,2,,,
乐观的食人魔,中立,普通,64,3,,,
二段跳,恶魔猎手,普通,48,5,,,
亚煞极,中立,传说,72,2,,,
亚煞极，污染之源,中立,传说,65,3,,,
仇恨之轮,恶魔猎手,稀有,121,1,,,
任务达人,中立,稀有,54,4,,,
伊利达雷邪刃武士,恶魔猎手,稀有,95,1,,,
伊格诺斯,恶魔猎手,传说,53,4,,,
伊瑟拉,中立,传说,79,2,,,
伞降教官,中立,普通,46,5,适合,,
传染孢子,中立,稀有,52,4,,是,
低调的游客,中立,普通,21,7,适合,,
作战傀儡,中立,普通,49,5,,,
侏儒发明家,中立,普通,59,4,,,
光明之翼,中立,传说,71,2,,,
克熙尔祭师,中立,稀有,52,4,适合,,
克苏恩，破碎之劫,中立,传说,74,2,,,
军情七处渗透者,中立,稀有,61,3,,,
冰雹使者,中立,普通,73,2,,,
冰霜元素,中立,普通,60,3,,,
冰霜织影者,中立,普通,73,2,,,
冰风雪人,中立,普通,66,3,,,
冷酷追杀,恶魔猎手,普通,74,2,,,
凯尔萨斯·逐日者,中立,传说,30,6,适合,,
凯恩·日怒,恶魔猎手,传说,73,2,,,
凯恩·血蹄,中立,传说,77,2,适合,,
刀锋舞娘,恶魔猎手,稀有,83,1,,,
刃缚精锐,恶魔猎手,普通,102,1,,,
刃舞,恶魔猎手,稀有,42,5,,,
切髓之刃,恶魔猎手,普通,93,1,,,
剃刀猎手,中立,普通,53,4,,,
加基森拍卖师,中立,稀有,35,6,,,
午夜噩龙,中立,稀有,53,4,,,
协同打击,恶魔猎手,普通,66,3,,,
南海船工,中立,普通,47,5,适合,,
南海船长,中立,史诗,50,4,,,
博学者普克尔特,中立,传说,76,2,适合,,
卷轴管理者,中立,普通,79,2,适合,,
双刃斩击,恶魔猎手,普通,72,2,,,
变装游荡者,中立,普通,69,3,,,
古尔丹之颅,恶魔猎手,稀有,81,1,,是,
古拉巴什狂暴者,中立,普通,46,5,,,
叫嚣的中士,中立,普通,55,4,适合,,
吞噬魔法,恶魔猎手,普通,62,3,,是,
哈里森·琼斯,中立,传说,58,4,,,
嗜血传令官,中立,普通,44,5,不适合,,
噬骨先锋,中立,普通,81,1,,,
噬骨殴斗者,中立,普通,72,2,适合,,
团队领袖,中立,普通,41,5,,,
圣光护卫者,中立,稀有,31,6,,,
埃辛诺斯战刃,恶魔猎手,史诗,83,1,,是,
塔隆·血魔,中立,传说,69,3,,,
复制机器人,中立,史诗,40,5,适合,,
夜刃刺客,中立,普通,44,5,适合,,
大力士,中立,普通,61,3,,,
大地之环先知,中立,普通,68,3,适合,,
大检察官怀特迈恩,中立,传说,74,2,,,
大法师,中立,普通,53,4,,,
天空上将库拉格,中立,传说,17,7,,,
失心辅导员,中立,普通,56,4,不适合,,
奈瑟兰达姆斯,恶魔猎手,传说,99,1,,,
奔逃的魔刃豹,中立,史诗,69,3,,,
奖品商贩,中立,普通,61,3,适合,,
奥,中立,传说,53,4,,,
奥妮克希亚,中立,传说,90,1,,,
奥术傀儡,中立,稀有,17,7,,,
奥术吞噬者,中立,稀有,19,7,,,
奥秘吞噬者,中立,稀有,31,6,,,
奥秘守护者,中立,稀有,29,7,,,
奥达奇战刃,恶魔猎手,普通,62,3,,,
娃娃机,中立,普通,90,1,,,
安全检查员,中立,稀有,53,4,不适合,,
寒光先知,中立,稀有,13,7,,,
小个子召唤师,中立,稀有,51,4,,,
小刀商贩,中立,普通,34,6,适合,,
小精灵,中立,普通,23,7,不适合,,
小鬼召唤师,中立,稀有,64,3,,,
少年惯偷,中立,普通,75,2,,,
尤格-萨隆,中立,传说,50,4,,,
