名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
,中立,普通,49,5,,,
下水道软泥怪,中立,稀有,20,7,,,
不虚此行,德鲁伊,普通,67,3,,,
丛林之魂,德鲁伊,普通,58,4,,是,
丛林守护者,德鲁伊,稀有,54,4,,,
丛林猎豹,中立,普通,53,4,,,
中暑的匪徒,中立,稀有,50,4,,,
乌特加德鱼叉射手,中立,稀有,44,5,,,
乘风而起,德鲁伊,普通,79,2,,,
乱喷的骆驼,中立,普通,27,7,不适合,,
了不起的杰弗里斯,中立,传说,94,1,,,
人多势众,德鲁伊,普通,59,4,,,
任务达人,中立,稀有,54,4,,,
伊瑟拉,中立,传说,80,1,,,
伊谢尔·风歌,德鲁伊,传说,19,7,,,
优胜劣汰,德鲁伊,史诗,81,1,,,
伞降教官,中立,普通,45,5,,,
传染孢子,中立,稀有,52,4,,是,
传送门大恶魔,中立,史诗,57,4,,,
传送门守护者,中立,稀有,54,4,,,
作战傀儡,中立,普通,49,5,,,
侏儒发明家,中立,普通,60,3,,,
保护甲板,德鲁伊,史诗,43,5,,,
光明之翼,中立,传说,71,2,,,
八爪巨怪,中立,传说,91,1,适合,,
再生大盗,中立,稀有,54,4,适合,,
军情七处渗透者,中立,稀有,61,3,,,
冰雹使者,中立,普通,74,2,适合,,
冰霜元素,中立,普通,65,3,,,
冰霜织影者,中立,普通,73,2,,,
冰风雪人,中立,普通,66,3,,,
凯尔萨斯·逐日者,中立,传说,28,7,,,
凯恩·血蹄,中立,传说,76,2,,,
分配组员,德鲁伊,稀有,77,2,,,
利爪德鲁伊,德鲁伊,普通,86,1,,,
剃刀猎手,中立,普通,55,4,适合,,
加基森拍卖师,中立,稀有,34,6,不适合,,
动物保镖,中立,史诗,33,6,适合,是,
南海船工,中立,普通,42,5,,,
南海船长,中立,史诗,50,4,,,
博学者普克尔特,中立,传说,73,2,,,
卡塔图防御者,中立,稀有,57,4,,,
卢森巴克,德鲁伊,传说,50,4,,,
卷轴管理者,中立,普通,79,2,适合,,
厄运信天翁,中立,稀有,47,5,适合,,
历史爱好者,中立,史诗,77,2,适合,,
双头暴虐龙,中立,普通,111,1,,,
受伤的托维尔人,中立,普通,61,3,不适合,,
变装游荡者,中立,普通,69,3,,,
古怪的铭文师,中立,普通,89,1,适合,,
古拉巴什狂暴者,中立,普通,46,5,,,
叫嚣的中士,中立,普通,54,4,,,
启迪者伊莉斯,德鲁伊,传说,61,3,,是,
咖啡师林彻,中立,传说,66,3,,,
哈里森·琼斯,中立,传说,58,4,,,
喷灯破坏者,中立,史诗,71,2,,,
噬骨先锋,中立,普通,82,1,,,
噬骨殴斗者,中立,普通,71,2,,,
团队领袖,中立,普通,41,5,,,
园地管理员,中立,稀有,78,2,不适合,,
园艺侏儒,德鲁伊,稀有,41,5,,是,
圣光护卫者,中立,稀有,31,6,,,
地精滑翔技师,中立,普通,54,4,,,
坑道爆破师,中立,稀有,44,5,,,
埃隆巴克保护者,德鲁伊,普通,71,2,,,
塔隆·血魔,中立,传说,70,2,适合,,
塞纳留斯,德鲁伊,传说,83,1,,,
复制机器人,中立,史诗,40,5,适合,,
多彩龙卵,中立,史诗,30,6,适合,,
夜刃刺客,中立,普通,43,5,,,
夜行虎,德鲁伊,稀有,99,1,,,
大厨诺米,中立,传说,33,6,,,
大地之环先知,中立,普通,65,3,,,
大导师野爪,中立,传说,64,3,不适合,,
大检察官怀特迈恩,中立,传说,75,2,适合,,
大法师,中立,普通,54,4,适合,,
大法师瓦格斯,中立,传说,48,5,适合,,
天空上将库拉格,中立,传说,19,7,适合,,
失心辅导员,中立,普通,59,4,适合,,
夺日者战斗法师,中立,稀有,52,4,适合,,
夺日者间谍,中立,普通,56,4,,,
夺烛木乃伊,中立,普通,73,2,,,
奔逃的魔刃豹,中立,史诗,69,3,,,
奥,中立,传说,53,4,,,
奥妮克希亚,中立,传说,93,1,适合,,
奥术仆从,中立,普通,57,4,,,
奥术傀儡,中立,稀有,17,7,,,
奥术吞噬者,中立,稀有,20,7,适合,,
奥秘守护者,中立,稀有,29,7,,,
孢子首领姆希菲,德鲁伊,传说,92,1,,,
守卫梦境之路,德鲁伊,稀有,65,3,,,
守护者斯塔拉蒂斯,德鲁伊,传说,65,3,,,
寒光先知,中立,稀有,13,7,,,
小个子召唤师,中立,稀有,51,4,,,
小精灵,中立,普通,25,7,,,
小鬼召唤师,中立,稀有,64,3,,,
少年惯偷,中立,普通,75,2,,,
尼斐塞特仪祭师,中立,稀有,73,2,,,
岩浆暴怒者,中立,普通,16,7,,,
巡游向导,中立,普通,60,3,适合,,
工匠大师欧沃斯巴克,中立,传说,55,4,,,
