名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
,猎人,普通,53,4,,,
,中立,普通,49,5,,,
上古之神先驱,中立,史诗,37,6,,是,
丛林猎豹,中立,普通,58,4,适合,,
乐观的食人魔,中立,普通,64,3,,,
亚煞极,中立,传说,67,3,不适合,,
亚煞极，污染之源,中立,传说,59,4,不适合,,
任务达人,中立,稀有,55,4,适合,,
伊瑟拉,中立,传说,70,2,不适合,,
伞降教官,中立,普通,46,5,适合,,
传染孢子,中立,稀有,51,4,不适合,是,
低调的游客,中立,普通,54,4,适合,,
作战傀儡,中立,普通,48,5,不适合,,
侏儒发明家,中立,普通,59,4,,,
光明之翼,中立,传说,71,2,,,
克熙尔祭师,中立,稀有,54,4,适合,,
克苏恩，破碎之劫,中立,传说,69,3,不适合,,
关门放狗,猎人,普通,83,1,,,
兽王莱欧洛克斯,猎人,传说,38,6,,,
兽群呼唤,猎人,史诗,120,1,,,
军情七处渗透者,中立,稀有,60,3,不适合,,
冰冻陷阱,猎人,普通,81,1,,,
冰雹使者,中立,普通,73,2,,,
冰霜元素,中立,普通,60,3,,,
冰霜织影者,中立,普通,74,2,适合,,
冰风雪人,中立,普通,66,3,,,
凯尔萨斯·逐日者,中立,传说,28,7,,,
凯恩·血蹄,中立,传说,76,2,,,
剃刀猎手,中立,普通,55,4,适合,,
加基森拍卖师,中立,稀有,33,6,不适合,,
动物伙伴,猎人,普通,81,1,,,
动物保镖,中立,史诗,30,6,适合,是,
午夜噩龙,中立,稀有,51,4,不适合,,
南海船工,中立,普通,48,5,适合,,
南海船长,中立,史诗,50,4,,,
博学者普克尔特,中立,传说,75,2,,,
卷轴管理者,中立,普通,77,2,不适合,,
变装游荡者,中立,普通,71,2,适合,,
古拉巴什狂暴者,中立,普通,44,5,不适合,,
叫嚣的中士,中立,普通,56,4,适合,,
哈里森·琼斯,中立,传说,58,4,,,
哈霍兰公主,猎人,传说,66,3,,,
嗜血传令官,中立,普通,39,6,不适合,,
噬骨先锋,中立,普通,76,2,不适合,,
噬骨殴斗者,中立,普通,71,2,,,
团队领袖,中立,普通,41,5,,,
圣光护卫者,中立,稀有,31,6,,,
地狱野猪,猎人,普通,58,4,,,
塔隆·血魔,中立,传说,69,3,,,
复制机器人,中立,史诗,40,5,适合,,
多重射击,猎人,普通,58,4,,,
夜刃刺客,中立,普通,54,4,适合,,
大力士,中立,普通,51,4,不适合,,
大地之环先知,中立,普通,64,3,不适合,,
大导师野爪,中立,传说,66,3,,,
大检察官怀特迈恩,中立,传说,74,2,,,
大法师,中立,普通,51,4,不适合,,
天空上将库拉格,中立,传说,18,7,适合,,
失心辅导员,中立,普通,45,5,不适合,,
奔逃的魔刃豹,中立,史诗,70,2,适合,,
奖品商贩,中立,普通,61,3,适合,,
奥,中立,传说,54,4,适合,,
奥妮克希亚,中立,传说,90,1,,,
奥术傀儡,中立,稀有,17,7,,,
奥术吞噬者,中立,稀有,17,7,不适合,,
奥术射击,猎人,普通,61,3,,,
奥秘吞噬者,中立,稀有,31,6,,,
奥秘守护者,中立,稀有,33,6,适合,,
