名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
下水道软泥怪,中立,稀有,29,7,适合,,
丛林猎豹,中立,普通,53,4,,,
中暑的匪徒,中立,稀有,50,4,,,
乌特加德鱼叉射手,中立,稀有,45,5,适合,,
乘龙法师,法师,稀有,35,6,,,
乱喷的骆驼,中立,普通,28,7,,,
了不起的杰弗里斯,中立,传说,94,1,,,
云雾王子,法师,普通,46,5,,,
任务达人,中立,稀有,54,4,,,
伊瑟拉,中立,传说,81,1,适合,,
伞降教官,中立,普通,45,5,,,
传染孢子,中立,稀有,52,4,,是,
传送门大恶魔,中立,史诗,57,4,,,
传送门守护者,中立,稀有,55,4,适合,,
作战傀儡,中立,普通,49,5,,,
侏儒发明家,中立,普通,60,3,,,
元素盟军,法师,稀有,4,7,,,
光明之翼,中立,传说,71,2,,,
八爪巨怪,中立,传说,86,1,不适合,,
再生大盗,中立,稀有,50,4,,,
军情七处渗透者,中立,稀有,61,3,,,
冰刺,法师,史诗,51,4,,,
冰锥术,法师,普通,47,5,,,
冰雹使者,中立,普通,74,2,,,
冰霜,法师,普通,40,5,,,
冰霜元素,中立,普通,68,3,适合,,
冰霜织影者,中立,普通,72,2,,,
冰风雪人,中立,普通,67,3,,,
凯尔萨斯·逐日者,中立,传说,31,6,,,
凯恩·血蹄,中立,传说,78,2,,,
创世之力,法师,史诗,94,1,,,
剃刀猎手,中立,普通,54,4,,,
加基森拍卖师,中立,稀有,35,6,,,
南海船工,中立,普通,42,5,,,
南海船长,中立,史诗,50,4,,,
卡塔图防御者,中立,稀有,57,4,,,
卡德加,法师,传说,74,2,,,
卡雷苟斯,法师,传说,91,1,,,
厄运信天翁,中立,稀有,47,5,适合,,
历史爱好者,中立,史诗,76,2,,,
双头暴虐龙,中立,普通,114,1,适合,,
受伤的托维尔人,中立,普通,61,3,不适合,,
变形术,法师,普通,91,1,,,
变装游荡者,中立,普通,71,2,,,
古怪的铭文师,中立,普通,85,1,,,
古拉巴什狂暴者,中立,普通,51,4,适合,,
叫嚣的中士,中立,普通,50,4,不适合,,
咒术师的召唤,法师,稀有,94,1,,,
咒术洪流,法师,普通,7,7,,是,
咖啡师林彻,中立,传说,66,3,,,
哈里森·琼斯,中立,传说,58,4,,,
唤醒,法师,传说,87,1,,,
喷灯破坏者,中立,史诗,71,2,,,
噬骨先锋,中立,普通,83,1,适合,,
噬骨殴斗者,中立,普通,72,2,适合,,
团队领袖,中立,普通,41,5,,,
圣光护卫者,中立,稀有,31,6,,,
地精滑翔技师,中立,普通,54,4,,,
坑道爆破师,中立,稀有,44,5,,,
埃匹希斯冲击,法师,史诗,56,4,,,
埃匹希斯走私犯,法师,史诗,60,3,,,
塔隆·血魔,中立,传说,69,3,,,
复制机器人,中立,史诗,39,6,,,
多彩龙卵,中立,史诗,29,7,,,
夜刃刺客,中立,普通,43,5,,,
大厨诺米,中立,传说,33,6,,,
大地之环先知,中立,普通,65,3,,,
大检察官怀特迈恩,中立,传说,74,2,,,
大法师,中立,普通,54,4,适合,,
大法师安东尼达斯,法师,传说,81,1,,,
大法师瓦格斯,中立,传说,48,5,适合,,
天空上将库拉格,中立,传说,20,7,适合,,
夺日者战斗法师,中立,稀有,54,4,适合,,
夺日者间谍,中立,普通,61,3,适合,,
夺烛木乃伊,中立,普通,73,2,,,
奔逃的魔刃豹,中立,史诗,69,3,,,
奥,中立,传说,52,4,不适合,,
奥妮克希亚,中立,传说,91,1,,,
奥术仆从,中立,普通,58,4,适合,,
奥术傀儡,中立,稀有,17,7,,,
奥术吐息,法师,稀有,80,1,,,
奥术吞噬者,中立,稀有,20,7,适合,,
奥术增幅体,法师,普通,90,1,,,
奥术智慧,法师,普通,62,3,,,
奥术飞弹,法师,普通,51,4,,,
