名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
,圣骑士,普通,85,1,,,
,中立,普通,49,5,,,
下水道软泥怪,中立,稀有,20,7,,,
丛林猎豹,中立,普通,53,4,,,
中暑的匪徒,中立,稀有,50,4,,,
乌特加德鱼叉射手,中立,稀有,45,5,适合,,
乱喷的骆驼,中立,普通,25,7,不适合,,
了不起的杰弗里斯,中立,传说,93,1,不适合,,
以眼还眼,圣骑士,普通,4,7,,,
仪式重槌,中立,史诗,57,4,适合,,
任务达人,中立,稀有,54,4,,,
伊瑟拉,中立,传说,80,1,,,
伞降教官,中立,普通,46,5,适合,,
传染孢子,中立,稀有,52,4,,是,
传送门大恶魔,中立,史诗,57,4,,,
传送门守护者,中立,稀有,54,4,,,
作战傀儡,中立,普通,49,5,,,
侏儒发明家,中立,普通,60,3,,,
保护之手,圣骑士,普通,42,5,,,
倦怠光波,中立,普通,53,4,,,
先祖守护者,圣骑士,普通,68,3,,,
光明之翼,中立,传说,71,2,,,
光铸祝福,圣骑士,普通,15,7,,,
光铸远征军,圣骑士,史诗,50,4,,,
八爪巨怪,中立,传说,91,1,适合,,
公正之剑,圣骑士,史诗,66,3,,,
再生大盗,中立,稀有,52,4,适合,,
冒险号角,圣骑士,稀有,38,6,,,
军情七处渗透者,中立,稀有,61,3,,,
冰雹使者,中立,普通,74,2,适合,,
冰霜元素,中立,普通,65,3,,,
冰霜织影者,中立,普通,73,2,,,
冰风雪人,中立,普通,66,3,,,
决斗,圣骑士,史诗,1,7,,,
凯尔萨斯·逐日者,中立,传说,28,7,,,
凯恩·血蹄,中立,传说,77,2,适合,,
列王守卫,圣骑士,普通,52,4,,,
制伏,圣骑士,普通,78,2,,,
剃刀猎手,中立,普通,54,4,,,
力量祝福,圣骑士,普通,53,4,,,
加基森拍卖师,中立,稀有,34,6,不适合,,
南海船工,中立,普通,49,5,适合,,
南海船长,中立,史诗,50,4,,,
博学者普克尔特,中立,传说,73,2,,,
卡塔图防御者,中立,稀有,57,4,,,
卷轴管理者,中立,普通,77,2,不适合,,
厄运信天翁,中立,稀有,46,5,,,
历史爱好者,中立,史诗,77,2,适合,,
双头暴虐龙,中立,普通,111,1,,,
双盾优等生,圣骑士,稀有,92,1,,,
受伤的托维尔人,中立,普通,61,3,不适合,,
受祝福的勇士,圣骑士,稀有,26,7,,,
变装游荡者,中立,普通,69,3,,,
古怪的铭文师,中立,普通,87,1,适合,,
古拉巴什狂暴者,中立,普通,46,5,,,
叫嚣的中士,中立,普通,59,4,适合,,
咖啡师林彻,中立,传说,66,3,,,
哈里森·琼斯,中立,传说,58,4,,,
喷灯破坏者,中立,史诗,71,2,,,
噬骨先锋,中立,普通,82,1,,,
噬骨殴斗者,中立,普通,71,2,,,
团队领袖,中立,普通,47,5,适合,,
圣光护卫者,中立,稀有,31,6,,,
圣光术,圣骑士,普通,20,7,,,
圣光的正义,圣骑士,普通,68,3,,,
圣疗术,圣骑士,史诗,58,4,,是,
地精滑翔技师,中立,普通,56,4,适合,,
坑道爆破师,中立,稀有,44,5,,,
塔隆·血魔,中立,传说,71,2,适合,,
复仇之怒,圣骑士,史诗,57,4,,,
复制机器人,中立,史诗,46,5,适合,,
多彩龙卵,中立,史诗,33,6,适合,,
夜刃刺客,中立,普通,43,5,,,
大厨诺米,中立,传说,33,6,,,
大地之环先知,中立,普通,65,3,,,
大检察官怀特迈恩,中立,传说,75,2,适合,,
大法师,中立,普通,53,4,,,
大法师瓦格斯,中立,传说,48,5,适合,,
天空上将库拉格,中立,传说,20,7,适合,,
失心辅导员,中立,普通,57,4,,,
夺日者战斗法师,中立,稀有,36,6,不适合,,
夺日者间谍,中立,普通,63,3,适合,,
夺烛木乃伊,中立,普通,73,2,,,
奉献,圣骑士,普通,86,1,,,
奔逃的魔刃豹,中立,史诗,69,3,,,
奥,中立,传说,53,4,,,
奥妮克希亚,中立,传说,93,1,适合,,
奥尔多侍从,圣骑士,普通,69,3,,,
奥尔多卫士,圣骑士,稀有,102,1,,,
