名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
,中立,普通,49,5,,,
上古之神先驱,中立,史诗,37,6,,是,
丛林猎豹,中立,普通,53,4,,,
乐观的食人魔,中立,普通,64,3,,,
亚煞极,中立,传说,76,2,适合,,
亚煞极神像,牧师,史诗,64,3,,,
亚煞极，污染之源,中立,传说,69,3,适合,,
亡者复生,中立,普通,78,2,适合,,
任务达人,中立,稀有,54,4,,,
伊瑟拉,中立,传说,82,1,适合,,
伞降教官,中立,普通,44,5,不适合,,
传令官沃拉兹,牧师,传说,49,5,,,
传染孢子,中立,稀有,52,4,,是,
低调的游客,中立,普通,19,7,,,
作战傀儡,中立,普通,52,4,适合,,
侏儒发明家,中立,普通,60,3,适合,,
倦怠光波,中立,普通,53,4,,,
光明之泉,牧师,稀有,15,7,,,
光明之翼,中立,传说,72,2,适合,,
光耀之子,牧师,普通,65,3,,,
克熙尔祭师,中立,稀有,51,4,,,
克苏恩，破碎之劫,中立,传说,74,2,,,
军情七处渗透者,中立,稀有,61,3,,,
冰雹使者,中立,普通,73,2,,,
冰霜元素,中立,普通,60,3,,,
冰霜织影者,中立,普通,73,2,,,
冰风雪人,中立,普通,66,3,,,
凯尔萨斯·逐日者,中立,传说,28,7,,,
凯恩·血蹄,中立,传说,77,2,适合,,
剃刀猎手,中立,普通,53,4,,,
加基森拍卖师,中立,稀有,35,6,,,
午夜噩龙,中立,稀有,53,4,,,
南海船工,中立,普通,42,5,,,
南海船长,中立,史诗,50,4,,,
博学者普克尔特,中立,传说,77,2,适合,,
占卜机,牧师,普通,51,4,,,
卷轴管理者,中立,普通,82,1,适合,,
变幻之影,牧师,稀有,69,3,,,
变装游荡者,中立,普通,68,3,不适合,,
古拉巴什狂暴者,中立,普通,52,4,适合,,
叫嚣的中士,中立,普通,50,4,不适合,,
吉兆,牧师,稀有,67,3,,,
哈里森·琼斯,中立,传说,58,4,,,
噬骨先锋,中立,普通,82,1,适合,,
噬骨殴斗者,中立,普通,72,2,适合,,
团队领袖,中立,普通,39,6,不适合,,
圣光护卫者,中立,稀有,54,4,适合,,
圣光闪耀,牧师,普通,3,7,,,
圣殿执行者,牧师,普通,88,1,,,
塔隆·血魔,中立,传说,69,3,,,
塞泰克织巢者,牧师,史诗,81,1,,,
复制机器人,中立,史诗,40,5,适合,,
复苏,牧师,普通,98,1,,,
夜刃刺客,中立,普通,43,5,,,
夜色镇炼金师,牧师,普通,69,3,,,
大力士,中立,普通,70,2,适合,,
大地之环先知,中立,普通,65,3,,,
大检察官怀特迈恩,中立,传说,74,2,,,
大法师,中立,普通,54,4,适合,,
天空上将库拉格,中立,传说,17,7,,,
失心辅导员,中立,普通,66,3,适合,,
奔逃的魔刃豹,中立,史诗,69,3,,,
奖品商贩,中立,普通,56,4,不适合,,
奥,中立,传说,52,4,不适合,,
奥妮克希亚,中立,传说,90,1,,,
奥术傀儡,中立,稀有,17,7,,,
奥术吞噬者,中立,稀有,19,7,,,
奥秘吞噬者,中立,稀有,31,6,,,
奥秘守护者,中立,稀有,29,7,,,
娃娃机,中立,普通,90,1,,,
娜塔莉·塞林,牧师,传说,97,1,,,
安全检查员,中立,稀有,58,4,,,
寒光先知,中立,稀有,13,7,,,
小个子召唤师,中立,稀有,51,4,,,
小刀商贩,中立,普通,30,6,不适合,,
小精灵,中立,普通,22,7,不适合,,
小鬼召唤师,中立,稀有,64,3,,,
少年惯偷,中立,普通,75,2,,,
尤格-萨隆,中立,传说,52,4,适合,,
尤格-萨隆，命运主宰,中立,传说,32,6,适合,,
山谷之王穆克拉,中立,传说,71,2,,,
岩浆暴怒者,中立,普通,13,7,不适合,,
岩石暴怒者,中立,普通,44,5,,,
巡游向导,中立,普通,50,4,不适合,,
巡游领队,中立,普通,61,3,,,
工匠大师欧沃斯巴克,中立,传说,55,4,,,
工程师学徒,中立,普通,51,4,,,
巨型独眼怪,中立,史诗,65,3,,,
