名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
,中立,普通,52,4,适合,,
“赤烟”腾武,盗贼,传说,83,1,,,
上古之神先驱,中立,史诗,37,6,,是,
丛林猎豹,中立,普通,53,4,,,
乐观的食人魔,中立,普通,64,3,,,
亚煞极,中立,传说,70,2,不适合,,
亚煞极，污染之源,中立,传说,65,3,,,
任务达人,中立,稀有,58,4,适合,,
伊瑟拉,中立,传说,79,2,,,
伏击,盗贼,稀有,81,1,,,
伞降教官,中立,普通,46,5,适合,,
传染孢子,中立,稀有,52,4,,是,
伪装大师,盗贼,稀有,51,4,,,
伺机待发,盗贼,史诗,25,7,,是,
低调的游客,中立,普通,48,5,适合,,
作战傀儡,中立,普通,49,5,,,
侏儒发明家,中立,普通,59,4,,,
偷天换日,盗贼,史诗,56,4,,,
光明之翼,中立,传说,71,2,,,
克熙尔祭师,中立,稀有,52,4,适合,,
克苏恩，破碎之劫,中立,传说,74,2,,,
军情七处渗透者,中立,稀有,61,3,,,
军情七处特工,盗贼,稀有,93,1,,,
冰冷智慧,中立,稀有,78,2,,,
冰雹使者,中立,普通,73,2,,,
冰霜元素,中立,普通,60,3,,,
冰霜织影者,中立,普通,73,2,,,
冰风雪人,中立,普通,66,3,,,
冷血,盗贼,普通,48,5,,,
凯尔萨斯·逐日者,中立,传说,28,7,,,
凯恩·血蹄,中立,传说,76,2,,,
刀扇,盗贼,普通,74,2,,,
刺客之刃,盗贼,普通,47,5,,是,
刺杀,盗贼,普通,74,2,,,
刺骨,盗贼,普通,84,1,,,
剃刀猎手,中立,普通,53,4,,,
剑刃乱舞,盗贼,稀有,28,7,,,
劈砍课程,中立,普通,46,5,不适合,,
加基森拍卖师,中立,稀有,36,6,适合,,
劫持者,盗贼,史诗,89,1,,,
午夜噩龙,中立,稀有,51,4,不适合,,
南海畸变船长,盗贼,普通,65,3,,,
南海船工,中立,普通,63,3,适合,,
南海船长,中立,史诗,52,4,适合,,
博学者普克尔特,中立,传说,75,2,,,
卡斯迪诺夫教授,中立,传说,73,2,适合,,
卷轴管理者,中立,普通,78,2,,,
变装游荡者,中立,普通,70,2,适合,,
