名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
,中立,普通,49,5,,,
上古之神先驱,中立,史诗,37,6,,是,
丛林猎豹,中立,普通,53,4,,,
乐观的食人魔,中立,普通,64,3,,,
亚煞极,中立,传说,72,2,,,
亚煞极，污染之源,中立,传说,65,3,,,
任务达人,中立,稀有,54,4,,,
伊瑟拉,中立,传说,79,2,,,
伊纳拉·碎雷,萨满,传说,89,1,,,
伞降教官,中立,普通,45,5,,,
传染孢子,中立,稀有,52,4,,是,
低调的游客,中立,普通,19,7,,,
作战傀儡,中立,普通,48,5,不适合,,
侏儒发明家,中立,普通,59,4,,,
先祖之魂,萨满,稀有,55,4,,,
先祖治疗,萨满,普通,34,6,,,
光明之翼,中立,传说,71,2,,,
克熙尔祭师,中立,稀有,51,4,,,
克苏恩，破碎之劫,中立,传说,74,2,,,
军情七处渗透者,中立,稀有,61,3,,,
冰雹使者,中立,普通,73,2,,,
冰霜元素,中立,普通,60,3,,,
冰霜织影者,中立,普通,73,2,,,
冰霜震击,萨满,普通,42,5,,是,
冰风雪人,中立,普通,66,3,,,
凯尔萨斯·逐日者,中立,传说,28,7,,,
凯恩·血蹄,中立,传说,76,2,,,
剃刀猎手,中立,普通,53,4,,,
加基森拍卖师,中立,稀有,35,6,,,
升腾者海纳泽尔,萨满,传说,61,3,,,
午夜噩龙,中立,稀有,51,4,不适合,,
南海船工,中立,普通,44,5,适合,,
南海船长,中立,史诗,50,4,,,
博学者普克尔特,中立,传说,78,2,适合,,
卷轴管理者,中立,普通,80,1,适合,,
原始融合,萨满,普通,46,5,,,
叉状闪电,萨满,普通,60,3,,,
变装游荡者,中立,普通,69,3,,,
古拉巴什狂暴者,中立,普通,46,5,,,
叫嚣的中士,中立,普通,55,4,适合,,
哈里森·琼斯,中立,传说,58,4,,,
嗜血,萨满,普通,53,4,,是,
噬骨先锋,中立,普通,81,1,,,
噬骨殴斗者,中立,普通,71,2,,,
团队领袖,中立,普通,45,5,适合,,
园地管理员,中立,稀有,79,2,,,
图腾之力,萨满,普通,8,7,,是,
图腾巨怪,萨满,史诗,63,3,,,
图腾映像,萨满,普通,70,2,,,
土元素,萨满,史诗,81,1,,,
圣光护卫者,中立,稀有,31,6,,,
塔隆·血魔,中立,传说,71,2,适合,,
复制机器人,中立,史诗,45,5,适合,,
夜刃刺客,中立,普通,43,5,,,
大力士,中立,普通,61,3,,,
大地之环先知,中立,普通,65,3,,,
大地震击,萨满,普通,57,4,,,
大检察官怀特迈恩,中立,传说,74,2,,,
大法师,中立,普通,54,4,适合,,
天空上将库拉格,中立,传说,17,7,,,
失心辅导员,中立,普通,59,4,适合,,
奔逃的魔刃豹,中立,史诗,69,3,,,
奖品商贩,中立,普通,59,4,适合,,
奥,中立,传说,53,4,,,
奥妮克希亚,中立,传说,90,1,,,
奥术傀儡,中立,稀有,17,7,,,
奥术吞噬者,中立,稀有,22,7,适合,,
奥秘吞噬者,中立,稀有,31,6,,,
奥秘守护者,中立,稀有,29,7,,,
妖术,萨满,普通,100,1,,,
始生研习,中立,普通,68,3,,,
娃娃机,中立,普通,90,1,,,
安全检查员,中立,稀有,58,4,,,
寒光先知,中立,稀有,13,7,,,
导师火心,萨满,传说,98,1,,,
小个子召唤师,中立,稀有,51,4,,,
小刀商贩,中立,普通,32,6,,,
小精灵,中立,普通,25,7,,,
小鬼召唤师,中立,稀有,64,3,,,
少年惯偷,中立,普通,75,2,,,
尘魔,萨满,普通,11,7,,,
尤格-萨隆,中立,传说,48,5,不适合,,
尤格-萨隆，命运主宰,中立,传说,11,7,,,
山谷之王穆克拉,中立,传说,72,2,适合,,
岩浆暴怒者,中立,普通,16,7,,,
岩浆爆裂,萨满,稀有,82,1,,,
岩石暴怒者,中立,普通,44,5,,,
巡游向导,中立,普通,70,2,适合,,
巡游领队,中立,普通,61,3,,,
工匠大师欧沃斯巴克,中立,传说,56,4,适合,,
