名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
,中立,普通,49,5,,,
上古之神先驱,中立,史诗,37,6,,是,
不稳定的邪能箭,术士,普通,48,5,,,
丛林猎豹,中立,普通,53,4,,,
乐观的食人魔,中立,普通,64,3,,,
亚煞极,中立,传说,68,3,不适合,,
亚煞极，污染之源,中立,传说,65,3,,,
亡者复生,中立,普通,65,3,不适合,,
任务达人,中立,稀有,56,4,适合,,
伊瑟拉,中立,传说,72,2,不适合,,
伞降教官,中立,普通,47,5,适合,,
传染孢子,中立,稀有,52,4,,是,
低调的游客,中立,普通,19,7,,,
作战傀儡,中立,普通,46,5,不适合,,
侏儒发明家,中立,普通,50,4,不适合,,
光明之翼,中立,传说,70,2,不适合,,
克熙尔祭师,中立,稀有,51,4,,,
克苏恩，破碎之劫,中立,传说,79,2,适合,,
免票入场,术士,稀有,42,5,,,
军情七处渗透者,中立,稀有,61,3,,,
冰雹使者,中立,普通,73,2,,,
冰霜元素,中立,普通,60,3,,,
冰霜织影者,中立,普通,73,2,,,
冰风雪人,中立,普通,66,3,,,
凯尔萨斯·逐日者,中立,传说,28,7,,,
凯恩·血蹄,中立,传说,75,2,不适合,,
击碎者克里丹,术士,传说,114,1,,,
剃刀猎手,中立,普通,53,4,,,
加基森拍卖师,中立,稀有,28,7,不适合,,
加拉克苏斯大王,术士,传说,67,3,,是,
午夜噩龙,中立,稀有,53,4,,,
南海船工,中立,普通,43,5,适合,,
南海船长,中立,史诗,50,4,,,
博学者普克尔特,中立,传说,75,2,,,
卷轴管理者,中立,普通,78,2,,,
变装游荡者,中立,普通,69,3,,,
古加尔,术士,传说,53,4,,,
古尔丹之手,术士,普通,29,7,,是,
古拉巴什狂暴者,中立,普通,46,5,,,
叫嚣的中士,中立,普通,60,3,适合,,
召唤传送门,术士,普通,10,7,,是,
吐火艺人,术士,稀有,94,1,,,
吸取生命,术士,普通,44,5,,,
哈里森·琼斯,中立,传说,58,4,,,
噬骨先锋,中立,普通,82,1,适合,,
噬骨殴斗者,中立,普通,72,2,适合,,
团队领袖,中立,普通,47,5,适合,,
圣光护卫者,中立,稀有,31,6,,,
地狱烈焰,术士,普通,64,3,,,
坎雷萨德·埃伯洛克,术士,传说,65,3,,,
塔隆·血魔,中立,传说,69,3,,,
复制机器人,中立,史诗,40,5,适合,,
夜刃刺客,中立,普通,43,5,,,
夜影主母,术士,普通,68,3,,,
夜色镇图书管理员,术士,稀有,47,5,,,
夜色镇议员,术士,普通,80,1,,,
大力士,中立,普通,57,4,不适合,,
大地之环先知,中立,普通,67,3,适合,,
大检察官怀特迈恩,中立,传说,74,2,,,
大法师,中立,普通,53,4,,,
天空上将库拉格,中立,传说,17,7,,,
失心辅导员,中立,普通,61,3,适合,,
奔逃的魔刃豹,中立,史诗,69,3,,,
奖品商贩,中立,普通,55,4,不适合,,
奥,中立,传说,53,4,,,
奥妮克希亚,中立,传说,90,1,,,
奥术傀儡,中立,稀有,17,7,,,
奥术吞噬者,中立,稀有,18,7,不适合,,
奥秘吞噬者,中立,稀有,31,6,,,
奥秘守护者,中立,稀有,29,7,,,
娃娃机,中立,普通,90,1,,,
安全检查员,中立,稀有,59,4,适合,,
寒光先知,中立,稀有,13,7,,,
小个子召唤师,中立,稀有,52,4,适合,,
小刀商贩,中立,普通,25,7,不适合,,
小精灵,中立,普通,27,7,适合,,
小鬼召唤师,中立,稀有,64,3,,,
少年惯偷,中立,普通,75,2,,,
尤格-萨隆,中立,传说,49,5,不适合,,
尤格-萨隆，命运主宰,中立,传说,11,7,,,
山谷之王穆克拉,中立,传说,71,2,,,
岩浆暴怒者,中立,普通,16,7,,,
岩石暴怒者,中立,普通,44,5,,,
巡游向导,中立,普通,68,3,适合,,
巡游领队,中立,普通,61,3,,,
工匠大师欧沃斯巴克,中立,传说,55,4,,,
工程师学徒,中立,普通,46,5,不适合,,
