名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
,中立,普通,49,5,,,
上古之神先驱,中立,史诗,37,6,,是,
丛林猎豹,中立,普通,53,4,,,
严酷的监工,战士,普通,77,2,,,
乐观的食人魔,中立,普通,64,3,,,
亚煞极,中立,传说,76,2,适合,,
亚煞极，污染之源,中立,传说,66,3,适合,,
仪式重槌,中立,史诗,53,4,不适合,,
任务达人,中立,稀有,54,4,,,
伊瑟拉,中立,传说,79,2,,,
伞降教官,中立,普通,44,5,不适合,,
传染孢子,中立,稀有,52,4,,是,
低调的游客,中立,普通,19,7,,,
体能研习,战士,普通,89,1,,,
作战傀儡,中立,普通,49,5,,,
侏儒发明家,中立,普通,59,4,,,
保持阵型,战士,普通,73,2,,,
光明之翼,中立,传说,71,2,,,
克熙尔祭师,中立,稀有,51,4,,,
克苏恩，破碎之劫,中立,传说,74,2,,,
冒进的艇长,战士,稀有,58,4,,,
军情七处渗透者,中立,稀有,61,3,,,
冰雹使者,中立,普通,73,2,,,
冰霜元素,中立,普通,60,3,,,
冰霜织影者,中立,普通,73,2,,,
冰风雪人,中立,普通,66,3,,,
冲锋,战士,普通,28,7,,是,
凯尔萨斯·逐日者,中立,传说,28,7,,,
凯恩·血蹄,中立,传说,76,2,,,
剃刀猎手,中立,普通,53,4,,,
剑刃风暴,战士,史诗,61,3,,,
剑盾猛攻,战士,普通,62,3,,,
劈砍课程,中立,普通,63,3,适合,,
加基森拍卖师,中立,稀有,35,6,,,
化血为脓,战士,稀有,71,2,,,
升级,战士,稀有,65,3,,,
午夜噩龙,中立,稀有,53,4,,,
南海船工,中立,普通,52,4,适合,,
南海船长,中立,史诗,52,4,适合,,
博学者普克尔特,中立,传说,75,2,,,
卡加斯·刃拳,战士,传说,89,1,,,
卡斯迪诺夫教授,中立,传说,80,1,适合,,
卷轴管理者,中立,普通,78,2,,,
变装游荡者,中立,普通,69,3,,,
古拉巴什狂暴者,中立,普通,51,4,适合,,
叫嚣的中士,中立,普通,50,4,不适合,,
吞剑艺人,战士,普通,112,1,,,
命令怒吼,战士,稀有,55,4,,,
哈里森·琼斯,中立,传说,58,4,,,
噬骨先锋,中立,普通,82,1,适合,,
噬骨殴斗者,中立,普通,71,2,,,
噬骨骑兵,战士,普通,77,2,,,
团伙核心,战士,史诗,78,2,,,
团队领袖,中立,普通,41,5,,,
圣光护卫者,中立,稀有,31,6,,,
埃辛诺斯壁垒,战士,传说,34,6,,,
塔隆·血魔,中立,传说,69,3,,,
复制机器人,中立,史诗,39,6,,,
夜刃刺客,中立,普通,43,5,,,
大力士,中立,普通,61,3,,,
大地之环先知,中立,普通,65,3,,,
大检察官怀特迈恩,中立,传说,74,2,,,
大法师,中立,普通,53,4,,,
天空上将库拉格,中立,传说,16,7,不适合,,
失心辅导员,中立,普通,59,4,适合,,
奔逃的魔刃豹,中立,史诗,69,3,,,
奖品商贩,中立,普通,57,4,,,
奥,中立,传说,53,4,,,
奥妮克希亚,中立,传说,90,1,,,
奥术傀儡,中立,稀有,17,7,,,
奥术吞噬者,中立,稀有,18,7,不适合,,
奥秘吞噬者,中立,稀有,31,6,,,
奥秘守护者,中立,稀有,29,7,,,
奥金斧,战士,普通,78,2,,,
娃娃机,中立,普通,90,1,,,
安全检查员,中立,稀有,58,4,,,
实力担当,战士,稀有,24,7,,,
寒光先知,中立,稀有,13,7,,,
小个子召唤师,中立,稀有,51,4,,,
小刀商贩,中立,普通,32,6,,,
小精灵,中立,普通,24,7,不适合,,
小鬼召唤师,中立,稀有,64,3,,,
少年惯偷,中立,普通,75,2,,,
尤格-萨隆,中立,传说,47,5,不适合,,
尤格-萨隆，命运主宰,中立,传说,10,7,不适合,,
山谷之王穆克拉,中立,传说,71,2,,,
岩浆暴怒者,中立,普通,14,7,不适合,,
岩石暴怒者,中立,普通,44,5,,,
巡游向导,中立,普通,35,6,不适合,,
