名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道软泥怪,7,中立,稀有,43,7,,
丛林猎豹,3,中立,普通,83,6,,
中暑的匪徒,4,中立,稀有,101,4,,
乌特加德鱼叉射手,6,中立,稀有,61,7,,
乌祖尔恐魔,1,恶魔猎手,普通,89,5,,
乱喷的骆驼,2,中立,普通,36,7,,
了不起的杰弗里斯,2,中立,传说,249,1,,
任务达人,3,中立,稀有,106,3,,
伊利达雷邪刃武士,4,恶魔猎手,稀有,155,1,,
伊瑟拉,9,中立,传说,90,5,,
伞降教官,3,中立,普通,83,6,,
传染孢子,1,中立,稀有,47,7,,
传送门大恶魔,6,中立,史诗,92,5,,
传送门守护者,4,中立,稀有,93,5,,
作战傀儡,7,中立,普通,78,6,,
侏儒发明家,4,中立,普通,96,4,,
光明之翼,3,中立,传说,118,2,,
八爪巨怪,8,中立,传说,188,1,,
军情七处渗透者,4,中立,稀有,98,4,,
冰雹使者,5,中立,普通,114,2,,
冰霜元素,6,中立,普通,85,6,,
冰霜织影者,3,中立,普通,128,2,,
冰风雪人,4,中立,普通,100,4,,
凯尔萨斯·逐日者,7,中立,传说,57,7,,
凯恩·日怒,4,恶魔猎手,传说,123,2,,
凯恩·血蹄,6,中立,传说,108,3,,
刃缚精锐,5,恶魔猎手,普通,130,2,,
刃舞,2,恶魔猎手,稀有,137,1,,
剃刀猎手,3,中立,普通,83,6,,
加基森拍卖师,6,中立,稀有,70,6,,
协同打击,3,恶魔猎手,普通,109,3,,
南海船工,1,中立,普通,73,6,,
南海船长,3,中立,史诗,74,6,,
卡塔图防御者,6,中立,稀有,117,2,,
厄运信天翁,4,中立,稀有,82,6,,
历史爱好者,3,中立,史诗,126,2,,
双刃斩击,0,恶魔猎手,普通,157,1,,
双头暴虐龙,8,中立,普通,152,1,,
受伤的托维尔人,2,中立,普通,109,3,,
变装游荡者,4,中立,普通,124,2,,
古尔丹之颅,6,恶魔猎手,稀有,137,1,,
古怪的铭文师,6,中立,普通,123,2,,
古拉巴什狂暴者,5,中立,普通,76,6,,
叫嚣的中士,1,中立,普通,68,7,,
吞噬魔法,1,恶魔猎手,普通,134,1,,
咖啡师林彻,5,中立,传说,122,2,,
哈里森·琼斯,5,中立,传说,76,6,,
喷灯破坏者,3,中立,史诗,113,3,,
噬骨先锋,7,中立,普通,128,2,,
噬骨殴斗者,2,中立,普通,124,2,,
团队领袖,3,中立,普通,70,6,,
圣光护卫者,1,中立,稀有,55,7,,
地精滑翔技师,3,中立,普通,77,6,,
坑道爆破师,7,中立,稀有,88,5,,
埃辛诺斯战刃,5,恶魔猎手,史诗,163,1,,
塔隆·血魔,3,中立,传说,118,2,,
复制机器人,4,中立,史诗,55,7,,
复生大盗,5,中立,稀有,68,7,,
