名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道软泥怪,7,中立,稀有,42,7,,
不虚此行,1,德鲁伊,普通,138,1,,
丛林之魂,4,德鲁伊,普通,70,6,,
丛林守护者,4,德鲁伊,稀有,90,5,,
丛林猎豹,3,中立,普通,94,5,,
中暑的匪徒,4,中立,稀有,88,5,,
乌特加德鱼叉射手,6,中立,稀有,56,7,,
乘风而起,2,德鲁伊,普通,165,1,,
乱喷的骆驼,2,中立,普通,53,7,,
了不起的杰弗里斯,2,中立,传说,248,1,,
人多势众,1,德鲁伊,普通,68,7,,
任务达人,3,中立,稀有,105,3,,
伊瑟拉,9,中立,传说,94,5,,
伊谢尔·风歌,9,德鲁伊,传说,50,7,,
优胜劣汰,10,德鲁伊,史诗,147,1,,
伞降教官,3,中立,普通,72,6,,
传染孢子,1,中立,稀有,55,7,,
传送门大恶魔,6,中立,史诗,83,6,,
传送门守护者,4,中立,稀有,83,6,,
作战傀儡,7,中立,普通,81,6,,
侏儒发明家,4,中立,普通,86,6,,
保护甲板,1,德鲁伊,史诗,97,4,,
光明之翼,3,中立,传说,113,3,,
八爪巨怪,8,中立,传说,184,1,,
军情七处渗透者,4,中立,稀有,101,4,,
冰雹使者,5,中立,普通,113,3,,
冰霜元素,6,中立,普通,81,6,,
冰霜织影者,3,中立,普通,136,1,,
冰风雪人,4,中立,普通,106,3,,
凯尔萨斯·逐日者,7,中立,传说,54,7,,
凯恩·血蹄,6,中立,传说,100,4,,
分配组员,1,德鲁伊,稀有,97,4,,
利爪德鲁伊,5,德鲁伊,普通,113,3,,
剃刀猎手,3,中立,普通,87,5,,
加基森拍卖师,6,中立,稀有,73,6,,
动物保镖,7,德鲁伊,史诗,68,7,,
南海船工,1,中立,普通,73,6,,
南海船长,3,中立,史诗,75,6,,
博学者普克尔特,4,中立,传说,173,1,,
卡塔图防御者,6,中立,稀有,107,3,,
卢森巴克,8,德鲁伊,传说,93,5,,
卷轴管理者,5,中立,普通,119,2,,
厄运信天翁,4,中立,稀有,72,6,,
历史爱好者,3,中立,史诗,129,2,,
双头暴虐龙,8,中立,普通,145,1,,
受伤的托维尔人,2,中立,普通,108,3,,
变装游荡者,4,中立,普通,113,3,,
古怪的铭文师,6,中立,普通,128,2,,
古拉巴什狂暴者,5,中立,普通,82,6,,
叫嚣的中士,1,中立,普通,83,6,,
启迪者伊莉斯,5,德鲁伊,传说,144,1,,
咖啡师林彻,5,中立,传说,126,2,,
哈里森·琼斯,5,中立,传说,72,6,,
喷灯破坏者,3,中立,史诗,121,2,,
噬骨先锋,7,中立,普通,125,2,,
噬骨殴斗者,2,中立,普通,122,2,,
团队领袖,3,中立,普通,70,6,,
园地管理员,4,德鲁伊,稀有,129,2,,
园艺侏儒,4,德鲁伊,稀有,62,7,,
圣光护卫者,1,中立,稀有,81,6,,
地精滑翔技师,3,中立,普通,79,6,,
坑道爆破师,7,中立,稀有,52,7,,
埃隆巴克保护者,8,德鲁伊,普通,104,4,,
塔隆·血魔,3,中立,传说,121,2,,
塞纳留斯,9,德鲁伊,传说,112,3,,
复制机器人,4,中立,史诗,50,7,,
复生大盗,5,中立,稀有,78,6,,
多彩龙卵,5,中立,史诗,81,6,,
夜刃刺客,5,中立,普通,71,6,,
夜行虎,5,德鲁伊,稀有,184,1,,
大厨诺米,7,中立,传说,59,7,,
大地之环先知,3,中立,普通,98,4,,
大导师野爪,3,德鲁伊,传说,98,4,,
大检察官怀特迈恩,7,中立,传说,119,2,,
大法师,6,中立,普通,76,6,,
大法师瓦格斯,4,中立,传说,93,5,,
失心辅导员,4,中立,普通,83,6,,
夺日者战斗法师,5,中立,稀有,80,6,,
夺日者间谍,2,中立,普通,92,5,,
夺烛木乃伊,3,中立,普通,135,1,,
奔逃的魔刃豹,4,中立,史诗,125,2,,
奥,5,中立,传说,112,3,,
奥妮克希亚,9,中立,传说,116,2,,
奥术仆从,2,中立,普通,92,5,,
奥术傀儡,3,中立,稀有,62,7,,
奥术吞噬者,8,中立,稀有,60,7,,
奥秘守护者,1,中立,稀有,63,7,,
孢子首领姆希菲,3,德鲁伊,传说,184,1,,
守卫梦境之路,2,德鲁伊,稀有,125,2,,
守护者斯塔拉蒂斯,2,德鲁伊,传说,179,1,,
寒光先知,3,中立,稀有,50,7,,
小个子召唤师,2,中立,稀有,90,5,,
小精灵,0,中立,普通,68,7,,
小鬼召唤师,3,中立,稀有,86,6,,
少年惯偷,2,中立,普通,108,3,,
尼斐塞特仪祭师,2,中立,稀有,106,3,,
岩浆暴怒者,3,中立,普通,48,7,,
巡游向导,1,中立,普通,116,2,,
工匠大师欧沃斯巴克,3,中立,传说,103,4,,
工程师学徒,2,中立,普通,93,5,,
巨魔蝙蝠骑士,4,中立,普通,124,2,,
巫医,1,中立,普通,90,5,,
巫术替身,6,中立,普通,89,5,,
希亚玛特,7,中立,传说,151,1,,
帝王眼镜蛇,3,中立,稀有,110,3,,
年轻的女祭司,1,中立,稀有,87,5,,
年轻的酒仙,2,中立,普通,86,6,,
年迈的法师,4,中立,稀有,65,7,,
年迈的酒仙,4,中立,普通,89,5,,
幻化师,2,中立,史诗,110,3,,
幼龙饲养员,2,中立,稀有,110,3,,
幼龙鹰,1,中立,普通,51,7,,
废土刺客,5,中立,普通,113,3,,
废土守望者,5,中立,史诗,102,4,,
废土巨蝎,7,中立,普通,101,4,,
废料场巨像,10,中立,稀有,117,2,,
异教低阶牧师,2,中立,稀有,116,2,,
弗瑞兹·光巢,4,中立,传说,106,3,,
强力树人格鲁,7,德鲁伊,传说,127,2,,
怪盗布缆鼠,2,中立,普通,111,3,,
恐怖海盗,4,中立,普通,62,7,,
恐惧渡鸦,3,中立,史诗,106,3,,
恐狼前锋,2,中立,普通,97,4,,
恶毒铁匠,5,中立,普通,82,6,,
恶狼大法师,10,中立,史诗,108,3,,
感知宝珠,1,中立,传说,54,7,,
愤怒,2,德鲁伊,普通,126,2,,
愤怒的小鸡,1,中立,稀有,51,7,,
慷慨的木乃伊,3,中立,稀有,0,7,,
憎恶,5,中立,稀有,60,7,,
战争古树,7,德鲁伊,史诗,126,2,,
战利品贮藏者,2,中立,普通,96,4,,
报警机器人,3,中立,稀有,28,7,,
拉文霍德刺客,7,中立,稀有,73,6,,
招虫的地精,3,中立,稀有,84,6,,
持枪恶霸,5,中立,史诗,100,4,,
持盾卫士,1,中立,普通,64,7,,
捣蛋鬼,3,中立,史诗,74,6,,
推土壮汉,9,中立,普通,113,3,,
撕咬,4,德鲁伊,稀有,89,5,,
攻城车,3,中立,稀有,72,6,,
教师的爱宠,5,德鲁伊,稀有,159,1,,
散财军士,4,中立,普通,106,3,,
新生刺头,1,中立,普通,118,2,,
方阵指挥官,5,中立,普通,97,4,,
旅行医者,4,中立,普通,93,5,,
旋翼机,6,中立,普通,88,5,,
无面操纵者,5,中立,史诗,117,2,,
无面暴怒者,3,中立,普通,83,6,,
无面潜伏者,5,中立,普通,84,6,,
无面腐蚀者,5,中立,稀有,129,2,,
日怒保卫者,2,中立,稀有,107,3,,
昆虫收藏家,2,中立,普通,96,4,,
星火术,6,德鲁伊,普通,121,2,,
星辰坠落,5,德鲁伊,稀有,106,3,,
显眼的诱饵,6,中立,史诗,42,7,,
晶歌传送门,2,德鲁伊,史诗,157,1,,
晶角雄鹿,5,德鲁伊,史诗,85,6,,
暗鳞先知,1,中立,普通,48,7,,
暗鳞治愈者,5,中立,普通,87,5,,
暮光幼龙,4,中立,稀有,109,3,,
暴怒的狼人,3,中立,普通,77,6,,
暴走旋风,8,中立,史诗,52,7,,
暴风城勇士,7,中立,普通,75,6,,
暴风城骑士,4,中立,普通,77,6,,
月亮巨人守护者,10,中立,传说,84,6,,
月火术,0,德鲁伊,普通,85,6,,
末日预言者,2,中立,史诗,66,7,,
机械保险箱,6,中立,普通,102,4,,
机械幼龙技工,4,中立,普通,83,6,,
机械拷问者,4,中立,稀有,31,7,,
机械法医,5,中立,史诗,18,7,,
林地守护者欧穆,6,德鲁伊,传说,120,2,,
树木援军,1,德鲁伊,稀有,109,3,,
校长克尔苏加德,5,中立,传说,115,2,,
格鲁尔,8,中立,传说,73,6,,
档案员艾丽西娜,9,中立,传说,80,6,,
梦境吐息,2,德鲁伊,稀有,82,6,,
森林的援助,8,德鲁伊,稀有,122,2,,
森然巨化,0,德鲁伊,史诗,155,1,,
森金持盾卫士,4,中立,普通,97,4,,
横扫,4,德鲁伊,普通,128,2,,
橡果人,1,德鲁伊,普通,107,3,,
欢快的同伴,1,中立,普通,88,5,,
止水湖蛇颈龙,5,中立,普通,114,2,,
死亡之翼,10,中立,传说,89,5,,
毒鳍鱼人,1,中立,普通,66,7,,
比斯巨兽,6,中立,传说,82,6,,
水晶之力,1,德鲁伊,普通,119,2,,
水晶商人,2,德鲁伊,史诗,141,1,,
沙漠方尖碑,5,中立,史诗,22,7,,
沙漠野兔,3,中立,普通,71,6,,
治疗之触,3,德鲁伊,普通,52,7,,
沼泽多头蛇,7,德鲁伊,史诗,198,1,,
沼泽射线,3,德鲁伊,普通,128,2,,
沼泽爬行者,5,中立,普通,84,6,,
