名称,费用,职业,稀有度,评分,评级,建议不选多张,
上古之神先驱,6,中立,史诗,44,7,,
丛林猎豹,3,中立,普通,105,3,,
乐观的食人魔,5,中立,普通,102,4,,
亚煞极,10,中立,传说,204,1,,
亚煞极，污染之源,10,中立,传说,142,1,,
任务达人,3,中立,稀有,93,5,,
伊瑟拉,9,中立,传说,135,1,,
伞降教官,3,中立,普通,86,6,,
传染孢子,1,中立,稀有,62,7,,
低调的游客,3,中立,普通,80,6,,
作战傀儡,7,中立,普通,69,6,,
侏儒发明家,4,中立,普通,84,6,,
光明之翼,3,中立,传说,115,2,,
克熙尔祭师,3,中立,稀有,65,7,,
克苏恩，破碎之劫,10,中立,传说,175,1,,
关门放狗,3,猎人,普通,129,2,,
兽王莱欧洛克斯,8,猎人,传说,64,7,,
兽群呼唤,8,猎人,史诗,272,1,,
军情七处渗透者,4,中立,稀有,92,5,,
冰冻陷阱,2,猎人,普通,152,1,,
冰雹使者,5,中立,普通,132,1,,
冰霜元素,6,中立,普通,54,7,,
冰霜织影者,3,中立,普通,126,2,,
冰风雪人,4,中立,普通,96,4,,
凯尔萨斯·逐日者,7,中立,传说,27,7,,
凯恩·血蹄,6,中立,传说,97,4,,
剃刀猎手,3,中立,普通,96,4,,
加基森拍卖师,6,中立,稀有,53,7,,
动物伙伴,3,猎人,普通,134,1,,
动物保镖,8,猎人,史诗,128,2,,
午夜噩龙,4,中立,稀有,100,4,,
南海船工,1,中立,普通,86,6,,
南海船长,3,中立,史诗,64,7,,
博学者普克尔特,4,中立,传说,187,1,,
卷轴管理者,5,中立,普通,162,1,,
变装游荡者,4,中立,普通,113,3,,
古拉巴什狂暴者,5,中立,普通,64,7,,
叫嚣的中士,1,中立,普通,74,6,,
哈里森·琼斯,5,中立,传说,60,7,,
哈霍兰公主,5,猎人,传说,137,1,,
嗜血传令官,5,猎人,普通,59,7,,
噬骨先锋,7,中立,普通,125,2,,
噬骨殴斗者,2,中立,普通,114,2,,
团队领袖,3,中立,普通,50,7,,
圣光护卫者,1,中立,稀有,81,6,,
地狱野猪,1,猎人,普通,116,2,,
塔隆·血魔,3,中立,传说,121,2,,
复制机器人,4,中立,史诗,32,7,,
多重射击,4,猎人,普通,107,3,,
夜刃刺客,5,中立,普通,86,6,,
大力士,7,中立,普通,96,4,,
大地之环先知,3,中立,普通,95,5,,
大导师野爪,3,猎人,传说,105,3,,
大检察官怀特迈恩,7,中立,传说,174,1,,
大法师,6,中立,普通,58,7,,
失心辅导员,4,中立,普通,74,6,,
奔逃的魔刃豹,4,中立,史诗,124,2,,
奖品商贩,2,中立,普通,88,5,,
奥,5,中立,传说,131,2,,
奥妮克希亚,9,中立,传说,179,1,,
奥术傀儡,3,中立,稀有,58,7,,
奥术吞噬者,8,中立,稀有,29,7,,
奥术射击,1,猎人,普通,95,5,,
奥秘吞噬者,4,中立,稀有,15,7,,
奥秘守护者,1,中立,稀有,92,5,,
娃娃机,6,中立,普通,233,1,,
安全检查员,1,中立,稀有,101,4,,
宠物乐园,3,猎人,稀有,100,4,,
寄生恶狼,4,猎人,稀有,124,2,,
寄生感染,3,猎人,稀有,63,7,,
寒光先知,3,中立,稀有,32,7,,
小个子召唤师,2,中立,稀有,77,6,,
小刀商贩,4,中立,普通,68,7,,
小精灵,0,中立,普通,65,7,,
小鬼召唤师,3,中立,稀有,75,6,,
少年惯偷,2,中立,普通,120,2,,
尤格-萨隆,10,中立,传说,98,4,,
尤格-萨隆，命运主宰,10,中立,传说,0,7,,
山谷之王穆克拉,6,中立,传说,83,6,,
岩浆暴怒者,3,中立,普通,34,7,,
岩石暴怒者,2,中立,普通,77,6,,
巡游向导,1,中立,普通,105,3,,
巡游领队,2,中立,普通,100,4,,
工匠大师欧沃斯巴克,3,中立,传说,81,6,,
工程师学徒,2,中立,普通,92,5,,
巨型沙虫,8,猎人,史诗,100,4,,
巨型独眼怪,4,中立,史诗,77,6,,
巫医,1,中立,普通,95,5,,
巫术替身,6,中立,普通,79,6,,
希拉斯·暗月,7,中立,传说,89,5,,
帝王眼镜蛇,3,中立,稀有,122,2,,
年轻的女祭司,1,中立,稀有,90,5,,
年轻的酒仙,2,中立,普通,91,5,,
年迈的法师,4,中立,稀有,37,7,,
年迈的酒仙,4,中立,普通,95,5,,
幼龙鹰,1,中立,普通,70,6,,
废土守望者,5,中立,史诗,96,4,,
废料场巨像,10,中立,稀有,150,1,,
废铁射击,4,猎人,稀有,97,4,,
异教低阶牧师,2,中立,稀有,109,3,,
异种群居蝎,3,中立,稀有,9,7,,
引月长弓,1,猎人,史诗,215,1,,
强能箭猪,3,猎人,史诗,146,1,,
怒鳍猎潮者,2,中立,普通,92,5,,
怨影狂怒者,3,中立,普通,23,7,,
恐怖增生体,2,中立,史诗,74,6,,
恐怖海盗,4,中立,普通,49,7,,
恐狼前锋,2,中立,普通,98,4,,
恩佐斯,10,中立,传说,189,1,,
恩佐斯宝石,8,猎人,史诗,126,2,,
恩佐斯的子嗣,3,中立,普通,67,7,,
恩佐斯的触须,1,中立,普通,74,6,,
恩佐斯，深渊之神,10,中立,传说,303,1,,
恶毒铁匠,5,中立,普通,77,6,,
恶魔伙伴,1,猎人,稀有,119,2,,
惊骇恐魔,8,中立,普通,68,7,,
感知宝珠,1,中立,传说,29,7,,
愤怒的小鸡,1,中立,稀有,70,6,,
憎恶,5,中立,稀有,101,4,,
战利品贮藏者,2,中立,普通,97,4,,
打开兽笼,2,猎人,普通,74,6,,
扭曲的狼人,2,中立,普通,79,6,,
报警机器人,3,中立,稀有,0,7,,
拆件旋翼机,3,猎人,稀有,61,7,,
拉文霍德刺客,7,中立,稀有,52,7,,
拾荒者的智慧,2,猎人,普通,111,3,,
持枪恶霸,5,中立,史诗,89,5,,
持盾卫士,1,中立,普通,61,7,,
搜寻猎物,1,猎人,普通,102,4,,
攻城车,3,中立,稀有,60,7,,
教师的爱宠,5,猎人,稀有,208,1,,
数量压制,1,猎人,稀有,114,2,,
斯雷特教授,3,猎人,传说,149,1,,
新生刺头,1,中立,普通,129,2,,
新鲜气息,2,猎人,普通,99,4,,
旋岩虫,3,中立,普通,47,7,,
无面巨兽,10,中立,普通,70,6,,
无面操纵者,5,中立,史诗,112,3,,
无面蹒跚者,4,中立,史诗,78,6,,
日怒保卫者,2,中立,稀有,100,4,,
暗月兔子,10,中立,史诗,150,1,,
暗月坦克,7,猎人,稀有,148,1,,
暗月雕像,3,中立,普通,79,6,,
暗月飞船,3,中立,普通,171,1,,
暗鳞先知,1,中立,普通,52,7,,
暗鳞治愈者,5,中立,普通,80,6,,
暮光召唤师,4,中立,史诗,86,6,,
暮光幼龙,4,中立,稀有,97,4,,
暮色野猪,2,中立,普通,69,6,,
暴怒的狼人,3,中立,普通,67,7,,
暴风城勇士,7,中立,普通,74,6,,
暴风城骑士,4,中立,普通,66,7,,
暴龙王克鲁什,9,猎人,传说,201,1,,
末日践行者,5,中立,史诗,82,6,,
末日预言者,2,中立,史诗,18,7,,
机械幼龙技工,4,中立,普通,68,7,,
杀戮命令,3,猎人,普通,153,1,,
校长克尔苏加德,5,中立,传说,115,2,,
格鲁尔,8,中立,传说,69,6,,
梦魇之龙,6,中立,史诗,82,6,,
森林狼,1,猎人,普通,59,7,,
森金持盾卫士,4,中立,普通,86,6,,
止水湖蛇颈龙,5,中立,普通,133,1,,
死亡之翼,10,中立,传说,135,1,,
毒沼爬行者,7,中立,普通,118,2,,
毒蛇陷阱,2,猎人,史诗,94,5,,
比斯巨兽,6,中立,传说,92,5,,
