名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道软泥怪,7,中立,稀有,44,7,,
丛林猎豹,3,中立,普通,95,5,,
中暑的匪徒,4,中立,稀有,88,5,,
乌特加德鱼叉射手,6,中立,稀有,57,7,,
乘龙法师,7,法师,稀有,51,7,,
乱喷的骆驼,2,中立,普通,54,7,,
了不起的杰弗里斯,2,中立,传说,263,1,,
云雾王子,5,法师,普通,84,6,,
任务达人,3,中立,稀有,107,3,,
伊瑟拉,9,中立,传说,100,4,,
伞降教官,3,中立,普通,75,6,,
传染孢子,1,中立,稀有,56,7,,
传送门大恶魔,6,中立,史诗,85,6,,
传送门守护者,4,中立,稀有,85,6,,
作战傀儡,7,中立,普通,82,6,,
侏儒发明家,4,中立,普通,89,5,,
元素盟军,1,法师,稀有,23,7,,
光明之翼,3,中立,传说,120,2,,
八爪巨怪,8,中立,传说,195,1,,
军情七处渗透者,4,中立,稀有,103,4,,
冰冷智慧,1,法师,稀有,131,2,,
冰刺,2,法师,史诗,111,3,,
冰锥术,4,法师,普通,87,5,,
冰雹使者,5,中立,普通,121,2,,
冰霜元素,6,中立,普通,88,5,,
冰霜新星,3,法师,普通,83,6,,
冰霜织影者,3,中立,普通,140,1,,
冰风雪人,4,中立,普通,108,3,,
决斗大师莫扎奇,5,法师,传说,90,5,,
凯尔萨斯·逐日者,7,中立,传说,56,7,,
凯恩·血蹄,6,中立,传说,102,4,,
创世之力,8,法师,史诗,192,1,,
剃刀猎手,3,中立,普通,89,5,,
加基森拍卖师,6,中立,稀有,76,6,,
南海船工,1,中立,普通,75,6,,
南海船长,3,中立,史诗,76,6,,
博学者普克尔特,4,中立,传说,172,1,,
卡塔图防御者,6,中立,稀有,104,4,,
卡德加,2,法师,传说,103,4,,
卡雷苟斯,10,法师,传说,120,2,,
卷轴管理者,5,中立,普通,133,1,,
厄运信天翁,4,中立,稀有,73,6,,
历史爱好者,3,中立,史诗,134,1,,
双头暴虐龙,8,中立,普通,150,1,,
受伤的托维尔人,2,中立,普通,108,3,,
变形术,4,法师,普通,135,1,,
变装游荡者,4,中立,普通,114,2,,
古怪的铭文师,6,中立,普通,129,2,,
古拉巴什狂暴者,5,中立,普通,87,5,,
叫嚣的中士,1,中立,普通,87,5,,
咒术师的召唤,4,法师,稀有,164,1,,
咒术洪流,2,法师,普通,23,7,,
咖啡师林彻,5,中立,传说,134,1,,
哈里森·琼斯,5,中立,传说,74,6,,
唤醒,1,法师,传说,217,1,,
喷灯破坏者,3,中立,史诗,123,2,,
噬骨先锋,7,中立,普通,127,2,,
噬骨殴斗者,2,中立,普通,124,2,,
团队领袖,3,中立,普通,71,6,,
圣光护卫者,1,中立,稀有,71,6,,
地精滑翔技师,3,中立,普通,80,6,,
坑道爆破师,7,中立,稀有,52,7,,
埃匹希斯走私犯,2,法师,史诗,133,1,,
塔隆·血魔,3,中立,传说,123,2,,
复制机器人,4,中立,史诗,51,7,,
复生大盗,5,中立,稀有,65,7,,
多彩龙卵,5,中立,史诗,36,7,,
夜刃刺客,5,中立,普通,75,6,,
大厨诺米,7,中立,传说,61,7,,
大地之环先知,3,中立,普通,98,4,,
大检察官怀特迈恩,7,中立,传说,120,2,,
大法师,6,中立,普通,80,6,,
大法师安东尼达斯,7,法师,传说,154,1,,
大法师瓦格斯,4,中立,传说,98,4,,
失心辅导员,4,中立,普通,85,6,,
夺日者战斗法师,5,中立,稀有,75,6,,
夺日者间谍,2,中立,普通,98,4,,
夺烛木乃伊,3,中立,普通,136,1,,
奔逃的魔刃豹,4,中立,史诗,126,2,,
奥,5,中立,传说,117,2,,
奥妮克希亚,9,中立,传说,122,2,,
奥术仆从,2,中立,普通,100,4,,
奥术傀儡,3,中立,稀有,64,7,,
奥术吐息,1,法师,稀有,140,1,,
奥术吞噬者,8,中立,稀有,63,7,,
奥术增幅体,3,法师,普通,153,1,,
奥术智慧,3,法师,普通,117,2,,
奥术飞弹,1,法师,普通,107,3,,
奥秘守护者,1,中立,稀有,82,6,,
始生研习,1,法师,普通,133,1,,
始祖龟朝圣者,8,法师,史诗,110,3,,
学习龙语,1,法师,普通,52,7,,
寒光先知,3,中立,稀有,51,7,,
寒冰护体,3,法师,普通,96,4,,
寒冰箭,2,法师,普通,128,2,,
对空奥术法师,2,法师,稀有,134,1,,
小个子召唤师,2,中立,稀有,92,5,,
小精灵,0,中立,普通,70,6,,
小鬼召唤师,3,中立,稀有,87,5,,
少年惯偷,2,中立,普通,111,3,,
尤格-萨隆的谜之匣,10,法师,史诗,195,1,,
尼斐塞特仪祭师,2,中立,稀有,108,3,,
岩浆暴怒者,3,中立,普通,53,7,,
巡游向导,1,中立,普通,119,2,,
工匠大师欧沃斯巴克,3,中立,传说,105,3,,
工程师学徒,2,中立,普通,97,4,,
巨魔蝙蝠骑士,4,中立,普通,126,2,,
巫医,1,中立,普通,90,5,,
巫师学徒,2,法师,普通,129,2,,
巫术替身,6,中立,普通,98,4,,
希亚玛特,7,中立,传说,156,1,,
帝王眼镜蛇,3,中立,稀有,111,3,,
年轻的女祭司,1,中立,稀有,89,5,,
年轻的酒仙,2,中立,普通,88,5,,
年迈的法师,4,中立,稀有,76,6,,
年迈的酒仙,4,中立,普通,91,5,,
幻化师,2,中立,史诗,110,3,,
幻觉药水,4,法师,史诗,70,6,,
幼龙饲养员,2,中立,稀有,113,3,,
幼龙鹰,1,中立,普通,53,7,,
废土刺客,5,中立,普通,113,3,,
废土守望者,5,中立,史诗,104,4,,
废土巨蝎,7,中立,普通,100,4,,
废料场巨像,10,中立,稀有,120,2,,
异教低阶牧师,2,中立,稀有,119,2,,
弗瑞兹·光巢,4,中立,传说,107,3,,
怪盗布缆鼠,2,中立,普通,117,2,,
恐怖海盗,4,中立,普通,61,7,,
恐惧渡鸦,3,中立,史诗,107,3,,
恐狼前锋,2,中立,普通,100,4,,
恶毒铁匠,5,中立,普通,83,6,,
恶狼大法师,10,中立,史诗,112,3,,
感知宝珠,1,中立,传说,57,7,,
愤怒的小鸡,1,中立,稀有,52,7,,
慷慨的木乃伊,3,中立,稀有,0,7,,
憎恶,5,中立,稀有,60,7,,
戏法图腾,2,法师,稀有,104,4,,
战利品贮藏者,2,中立,普通,100,4,,
扰咒术,3,法师,史诗,89,5,,
报警机器人,3,中立,稀有,27,7,,
拉文霍德刺客,7,中立,稀有,75,6,,
招虫的地精,3,中立,稀有,83,6,,
持枪恶霸,5,中立,史诗,102,4,,
持盾卫士,1,中立,普通,61,7,,
捣蛋鬼,3,中立,史诗,75,6,,
推土壮汉,9,中立,普通,116,2,,
攻城车,3,中立,稀有,74,6,,
散财军士,4,中立,普通,112,3,,
新生刺头,1,中立,普通,121,2,,
方阵指挥官,5,中立,普通,85,6,,
旅行医者,4,中立,普通,93,5,,
旋翼机,6,中立,普通,91,5,,
无面操纵者,5,中立,史诗,121,2,,
无面暴怒者,3,中立,普通,85,6,,
无面潜伏者,5,中立,普通,84,6,,
无面腐蚀者,5,中立,稀有,133,1,,
日怒保卫者,2,中立,稀有,108,3,,
