名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道软泥怪,7,中立,稀有,45,7,,
丛林猎豹,3,中立,普通,85,6,,
中暑的匪徒,4,中立,稀有,103,4,,
乌特加德鱼叉射手,6,中立,稀有,65,7,,
乱喷的骆驼,2,中立,普通,30,7,,
了不起的杰弗里斯,2,中立,传说,244,1,,
以眼还眼,1,圣骑士,普通,54,7,,
任务达人,3,中立,稀有,116,2,,
伊瑟拉,9,中立,传说,95,5,,
伞降教官,3,中立,普通,82,6,,
传染孢子,1,中立,稀有,52,7,,
传送门大恶魔,6,中立,史诗,92,5,,
传送门守护者,4,中立,稀有,95,5,,
作战傀儡,7,中立,普通,82,6,,
侏儒发明家,4,中立,普通,94,5,,
保护之手,1,圣骑士,普通,108,3,,
先祖守护者,4,圣骑士,普通,146,1,,
光明之翼,3,中立,传说,116,2,,
光铸祝福,2,圣骑士,普通,104,4,,
八爪巨怪,8,中立,传说,185,1,,
公正之剑,3,圣骑士,史诗,115,2,,
冒险号角,3,圣骑士,稀有,101,4,,
军情七处渗透者,4,中立,稀有,100,4,,
冰雹使者,5,中立,普通,121,2,,
冰霜元素,6,中立,普通,90,5,,
冰霜织影者,3,中立,普通,134,1,,
冰风雪人,4,中立,普通,102,4,,
决斗,5,圣骑士,史诗,0,7,,
凯尔萨斯·逐日者,7,中立,传说,60,7,,
凯恩·血蹄,6,中立,传说,112,3,,
列王守卫,7,圣骑士,普通,78,6,,
制伏,2,圣骑士,普通,155,1,,
剃刀猎手,3,中立,普通,86,6,,
力量祝福,1,圣骑士,普通,84,6,,
加基森拍卖师,6,中立,稀有,73,6,,
南海船工,1,中立,普通,97,4,,
南海船长,3,中立,史诗,75,6,,
卡塔图防御者,6,中立,稀有,107,3,,
厄运信天翁,4,中立,稀有,80,6,,
历史爱好者,3,中立,史诗,128,2,,
双头暴虐龙,8,中立,普通,163,1,,
受伤的托维尔人,2,中立,普通,105,3,,
受祝福的勇士,5,圣骑士,稀有,37,7,,
变装游荡者,4,中立,普通,123,2,,
古怪的铭文师,6,中立,普通,129,2,,
古拉巴什狂暴者,5,中立,普通,77,6,,
叫嚣的中士,1,中立,普通,80,6,,
咖啡师林彻,5,中立,传说,127,2,,
哈里森·琼斯,5,中立,传说,78,6,,
喷灯破坏者,3,中立,史诗,115,2,,
噬骨先锋,7,中立,普通,122,2,,
噬骨殴斗者,2,中立,普通,118,2,,
团队领袖,3,中立,普通,84,6,,
圣光护卫者,1,中立,稀有,78,6,,
圣光术,2,圣骑士,普通,45,7,,
圣光的正义,1,圣骑士,普通,114,2,,
圣疗术,8,圣骑士,史诗,84,6,,
地精滑翔技师,3,中立,普通,81,6,,
坑道爆破师,7,中立,稀有,82,6,,
塔隆·血魔,3,中立,传说,128,2,,
复仇之怒,6,圣骑士,史诗,110,3,,
复制机器人,4,中立,史诗,70,6,,
复生大盗,5,中立,稀有,88,5,,
多彩龙卵,5,中立,史诗,79,6,,
夜刃刺客,5,中立,普通,75,6,,
大厨诺米,7,中立,传说,65,7,,
大地之环先知,3,中立,普通,97,4,,
大检察官怀特迈恩,7,中立,传说,129,2,,
大法师,6,中立,普通,81,6,,
大法师瓦格斯,4,中立,传说,99,4,,
夺日者战斗法师,5,中立,稀有,78,6,,
夺日者间谍,2,中立,普通,86,6,,
夺烛木乃伊,3,中立,普通,122,2,,
奉献,4,圣骑士,普通,177,1,,
奔逃的魔刃豹,4,中立,史诗,104,4,,
奥,5,中立,传说,117,2,,
奥妮克希亚,9,中立,传说,116,2,,
奥尔多侍从,2,圣骑士,普通,88,5,,
奥尔多卫士,3,圣骑士,稀有,143,1,,
奥尔多真理追寻者,5,圣骑士,稀有,111,3,,
奥术仆从,2,中立,普通,85,6,,
奥术傀儡,3,中立,稀有,64,7,,
奥术吞噬者,8,中立,稀有,55,7,,
奥秘守护者,1,中立,稀有,65,7,,
女伯爵莉亚德琳,7,圣骑士,传说,82,6,,
孤注一掷,1,圣骑士,稀有,96,4,,
寒光先知,3,中立,稀有,57,7,,
小个子召唤师,2,中立,稀有,82,6,,
小精灵,0,中立,普通,68,7,,
小鬼召唤师,3,中立,稀有,81,6,,
尼斐塞特仪祭师,2,中立,稀有,121,2,,
岩浆暴怒者,3,中立,普通,62,7,,
崇高牺牲,1,圣骑士,普通,93,5,,
工匠大师欧沃斯巴克,3,中立,传说,98,4,,
工程师学徒,2,中立,普通,97,4,,
巨魔蝙蝠骑士,4,中立,普通,129,2,,
巫医,1,中立,普通,96,4,,
希亚玛特,7,中立,传说,167,1,,
希望圣契,9,圣骑士,史诗,121,2,,
帝王眼镜蛇,3,中立,稀有,102,4,,
年轻的女祭司,1,中立,稀有,98,4,,
年轻的酒仙,2,中立,普通,84,6,,
年迈的法师,4,中立,稀有,70,6,,
年迈的酒仙,4,中立,普通,91,5,,
幻化师,2,中立,史诗,88,5,,
幼龙饲养员,2,中立,稀有,116,2,,
幼龙鹰,1,中立,普通,53,7,,
幽光鱼竿,3,圣骑士,史诗,206,1,,
庇护,2,圣骑士,史诗,123,2,,
废土刺客,5,中立,普通,105,3,,
废土守望者,5,中立,史诗,115,2,,
废土巨蝎,7,中立,普通,90,5,,
废料场巨像,10,中立,稀有,113,3,,
弗瑞兹·光巢,4,中立,传说,108,3,,
微型木乃伊,2,圣骑士,史诗,119,2,,
忏悔,1,圣骑士,普通,67,7,,
怪盗布缆鼠,2,中立,普通,106,3,,
恐怖海盗,4,中立,普通,99,4,,
恐惧渡鸦,3,中立,史诗,100,4,,
恐狼前锋,2,中立,普通,104,4,,
恶毒铁匠,5,中立,普通,99,4,,
恶狼大法师,10,中立,史诗,94,5,,
愤怒之锤,4,圣骑士,普通,129,2,,
愤怒的小鸡,1,中立,稀有,53,7,,
慷慨的木乃伊,3,中立,稀有,0,7,,
憎恶,5,中立,稀有,91,5,,
战利品贮藏者,2,中立,普通,104,4,,
报警机器人,3,中立,稀有,36,7,,
拉文霍德刺客,7,中立,稀有,74,6,,
招虫的地精,3,中立,稀有,94,5,,
持枪恶霸,5,中立,史诗,105,3,,
持盾卫士,1,中立,普通,68,7,,
指挥官蕾撒,3,圣骑士,传说,101,4,,
捣蛋鬼,3,中立,史诗,74,6,,
推土壮汉,9,中立,普通,115,2,,
提里奥·弗丁,8,圣骑士,传说,136,1,,
攻城车,3,中立,稀有,74,6,,
救赎,1,圣骑士,普通,57,7,,
散财军士,4,中立,普通,105,3,,
方阵指挥官,5,中立,普通,89,5,,
旅行医者,4,中立,普通,86,6,,
旋翼机,6,中立,普通,98,4,,
无面操纵者,5,中立,史诗,109,3,,
无面暴怒者,3,中立,普通,100,4,,
无面潜伏者,5,中立,普通,91,5,,
无面腐蚀者,5,中立,稀有,151,1,,
日怒保卫者,2,中立,稀有,107,3,,
时光巨龙诺兹多姆,4,圣骑士,传说,135,1,,
昆虫收藏家,2,中立,普通,111,3,,
显眼的诱饵,6,中立,史诗,63,7,,
智慧圣契,2,圣骑士,稀有,96,4,,
智慧祝福,1,圣骑士,普通,102,4,,
暗鳞先知,1,中立,普通,54,7,,
暗鳞治愈者,5,中立,普通,91,5,,
