名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道软泥怪,7,中立,稀有,43,7,,
下水道销赃人,2,盗贼,稀有,86,6,,
丛林猎豹,3,中立,普通,93,5,,
中暑的匪徒,4,中立,稀有,85,6,,
乌特加德鱼叉射手,6,中立,稀有,58,7,,
乱喷的骆驼,2,中立,普通,44,7,,
了不起的杰弗里斯,2,中立,传说,254,1,,
任务达人,3,中立,稀有,112,3,,
伊瑟拉,9,中立,传说,100,4,,
伏击,2,盗贼,稀有,125,2,,
伞降教官,3,中立,普通,74,6,,
传染孢子,1,中立,稀有,60,7,,
传送门大恶魔,6,中立,史诗,83,6,,
传送门守护者,4,中立,稀有,81,6,,
伪装大师,4,盗贼,稀有,84,6,,
伺机待发,0,盗贼,史诗,82,6,,
作战傀儡,7,中立,普通,80,6,,
侏儒发明家,4,中立,普通,89,5,,
偷天换日,2,盗贼,史诗,79,6,,
偷渡者,5,盗贼,稀有,55,7,,
光明之翼,3,中立,传说,120,2,,
八爪巨怪,8,中立,传说,191,1,,
军情七处渗透者,4,中立,稀有,99,4,,
军情七处特工,3,盗贼,稀有,129,2,,
冰冷智慧,1,盗贼,稀有,136,1,,
冰雹使者,5,中立,普通,113,3,,
冰霜元素,6,中立,普通,83,6,,
冰霜织影者,3,中立,普通,133,1,,
冰风雪人,4,中立,普通,103,4,,
冷血,2,盗贼,普通,112,3,,
凯尔萨斯·逐日者,7,中立,传说,56,7,,
凯恩·血蹄,6,中立,传说,99,4,,
刀扇,3,盗贼,普通,137,1,,
刺客之刃,5,盗贼,普通,73,6,,
刺杀,5,盗贼,普通,122,2,,
刺骨,2,盗贼,普通,150,1,,
剃刀猎手,3,中立,普通,84,6,,
剑刃乱舞,4,盗贼,稀有,64,7,,
劈砍课程,5,盗贼,普通,89,5,,
加基森拍卖师,6,中立,稀有,77,6,,
劫匪之王托瓦格尔,6,盗贼,传说,74,6,,
劫持者,6,盗贼,史诗,79,6,,
南海船工,1,中立,普通,72,6,,
南海船长,3,中立,史诗,82,6,,
博学者普克尔特,4,中立,传说,179,1,,
卡塔图防御者,6,中立,稀有,126,2,,
卡斯迪诺夫教授,5,盗贼,传说,99,4,,
卷轴管理者,5,中立,普通,125,2,,
厄运信天翁,4,中立,稀有,74,6,,
历史爱好者,3,中立,史诗,128,2,,
双头暴虐龙,8,中立,普通,152,1,,
受伤的托维尔人,2,中立,普通,104,4,,
变装游荡者,4,中立,普通,109,3,,
古怪的铭文师,6,中立,普通,123,2,,
古拉巴什狂暴者,5,中立,普通,82,6,,
叫嚣的中士,1,中立,普通,89,5,,
咖啡师林彻,5,中立,传说,136,1,,
哈里森·琼斯,5,中立,传说,75,6,,
喷灯破坏者,3,中立,史诗,115,2,,
噬骨先锋,7,中立,普通,141,1,,
噬骨殴斗者,2,中立,普通,116,2,,
团队领袖,3,中立,普通,71,6,,
圣光护卫者,1,中立,稀有,80,6,,
地精滑翔技师,3,中立,普通,78,6,,
坑道爆破师,7,中立,稀有,62,7,,
塔克·诺兹维克,7,盗贼,传说,62,7,,
塔隆·血魔,3,中立,传说,118,2,,
复制机器人,4,中立,史诗,50,7,,
复生大盗,5,中立,稀有,70,6,,
多彩龙卵,5,中立,史诗,61,7,,
夜刃刺客,5,中立,普通,72,6,,
大厨诺米,7,中立,传说,61,7,,
大地之环先知,3,中立,普通,100,4,,
大检察官怀特迈恩,7,中立,传说,117,2,,
大法师,6,中立,普通,76,6,,
大法师瓦格斯,4,中立,传说,87,5,,
失心辅导员,4,中立,普通,87,5,,
夺日者战斗法师,5,中立,稀有,69,6,,
夺日者间谍,2,中立,普通,86,6,,
夺烛木乃伊,3,中立,普通,127,2,,
奔逃的魔刃豹,4,中立,史诗,122,2,,
奥,5,中立,传说,117,2,,
奥妮克希亚,9,中立,传说,121,2,,
奥术仆从,2,中立,普通,83,6,,
