名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道渔人,2,萨满,稀有,121,2,,
下水道软泥怪,7,中立,稀有,44,7,,
丛林猎豹,3,中立,普通,85,6,,
中暑的匪徒,4,中立,稀有,103,4,,
乌特加德鱼叉射手,6,中立,稀有,62,7,,
乱喷的骆驼,2,中立,普通,36,7,,
了不起的杰弗里斯,2,中立,传说,240,1,,
任务达人,3,中立,稀有,106,3,,
伊瑟拉,9,中立,传说,92,5,,
伞降教官,3,中立,普通,83,6,,
传染孢子,1,中立,稀有,49,7,,
传送门大恶魔,6,中立,史诗,91,5,,
传送门守护者,4,中立,稀有,94,5,,
作战傀儡,7,中立,普通,80,6,,
侏儒发明家,4,中立,普通,93,5,,
先祖之魂,2,萨满,稀有,94,5,,
先祖治疗,0,萨满,普通,69,6,,
光明之翼,3,中立,传说,117,2,,
八爪巨怪,8,中立,传说,181,1,,
军情七处渗透者,4,中立,稀有,100,4,,
冰雹使者,5,中立,普通,118,2,,
冰霜元素,6,中立,普通,87,5,,
冰霜织影者,3,中立,普通,132,1,,
冰霜震击,1,萨满,普通,71,6,,
冰风雪人,4,中立,普通,102,4,,
凯尔萨斯·逐日者,7,中立,传说,58,7,,
凯恩·血蹄,6,中立,传说,111,3,,
分裂战斧,4,萨满,史诗,120,2,,
剃刀猎手,3,中立,普通,85,6,,
加基森拍卖师,6,中立,稀有,72,6,,
南海船工,1,中立,普通,69,6,,
南海船长,3,中立,史诗,77,6,,
卡塔图防御者,6,中立,稀有,100,4,,
厄运信天翁,4,中立,稀有,79,6,,
历史爱好者,3,中立,史诗,126,2,,
叉状闪电,1,萨满,普通,123,2,,
双头暴虐龙,8,中立,普通,155,1,,
受伤的托维尔人,2,中立,普通,103,4,,
变装游荡者,4,中立,普通,123,2,,
古怪的铭文师,6,中立,普通,127,2,,
古拉巴什狂暴者,5,中立,普通,77,6,,
叫嚣的中士,1,中立,普通,79,6,,
咖啡师林彻,5,中立,传说,122,2,,
哈加莎的阴谋,5,萨满,稀有,130,2,,
哈里森·琼斯,5,中立,传说,76,6,,
喷灯破坏者,3,中立,史诗,116,2,,
嗜血,5,萨满,普通,146,1,,
噬骨先锋,7,中立,普通,116,2,,
噬骨殴斗者,2,中立,普通,118,2,,
团队领袖,3,中立,普通,98,4,,
图腾之力,0,萨满,普通,0,7,,
图腾映像,3,萨满,普通,104,4,,
图腾潮涌,0,萨满,普通,69,6,,
土元素,5,萨满,史诗,140,1,,
圣光护卫者,1,中立,稀有,57,7,,
地精滑翔技师,3,中立,普通,78,6,,
地震术,7,萨满,稀有,125,2,,
坑道爆破师,7,中立,稀有,79,6,,
塔隆·血魔,3,中立,传说,126,2,,
复制机器人,4,中立,史诗,80,6,,
复生大盗,5,中立,稀有,82,6,,
多彩龙卵,5,中立,史诗,83,6,,
夜刃刺客,5,中立,普通,73,6,,
大厨诺米,7,中立,传说,63,7,,
大地之环先知,3,中立,普通,96,4,,
大地震击,1,萨满,普通,100,4,,
大检察官怀特迈恩,7,中立,传说,126,2,,
大法师,6,中立,普通,80,6,,
大法师瓦格斯,4,中立,传说,98,4,,
夺日者战斗法师,5,中立,稀有,78,6,,
夺日者间谍,2,中立,普通,87,5,,
夺烛木乃伊,3,中立,普通,124,2,,
奔逃的魔刃豹,4,中立,史诗,103,4,,
奥,5,中立,传说,115,2,,
奥妮克希亚,9,中立,传说,109,3,,
奥术仆从,2,中立,普通,87,5,,
奥术傀儡,3,中立,稀有,58,7,,
奥术吞噬者,8,中立,稀有,53,7,,
奥秘守护者,1,中立,稀有,51,7,,
女巫杂酿,2,萨满,史诗,77,6,,
妖术,4,萨满,普通,149,1,,
寒光先知,3,中立,稀有,55,7,,
小个子召唤师,2,中立,稀有,84,6,,
小精灵,0,中立,普通,65,7,,
小鬼召唤师,3,中立,稀有,81,6,,
尘魔,1,萨满,普通,37,7,,
尼斐塞特仪祭师,2,中立,稀有,120,2,,
尼索格,6,萨满,传说,147,1,,
岩浆暴怒者,3,中立,普通,63,7,,
工匠大师欧沃斯巴克,3,中立,传说,94,5,,
工程师学徒,2,中立,普通,96,4,,
巨魔蝙蝠骑士,4,中立,普通,126,2,,
巫医,1,中立,普通,77,6,,
希亚玛特,7,中立,传说,161,1,,
