名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道软泥怪,7,中立,稀有,41,7,,
不稳定的邪能箭,1,术士,普通,75,6,,
丛林猎豹,3,中立,普通,102,4,,
中暑的匪徒,4,中立,稀有,96,4,,
乌特加德鱼叉射手,6,中立,稀有,56,7,,
乱喷的骆驼,2,中立,普通,65,7,,
了不起的杰弗里斯,2,中立,传说,247,1,,
亡者复生,0,术士,普通,86,6,,
任务达人,3,中立,稀有,100,4,,
伊瑟拉,9,中立,传说,95,5,,
伞降教官,3,中立,普通,78,6,,
传染孢子,1,中立,稀有,54,7,,
传送门大恶魔,6,中立,史诗,81,6,,
传送门守护者,4,中立,稀有,81,6,,
作战傀儡,7,中立,普通,83,6,,
侏儒发明家,4,中立,普通,84,6,,
光明之翼,3,中立,传说,124,2,,
八爪巨怪,8,中立,传说,173,1,,
军情七处渗透者,4,中立,稀有,109,3,,
冰雹使者,5,中立,普通,119,2,,
冰霜元素,6,中立,普通,84,6,,
冰霜织影者,3,中立,普通,146,1,,
冰风雪人,4,中立,普通,115,2,,
凯尔萨斯·逐日者,7,中立,传说,54,7,,
凯恩·血蹄,6,中立,传说,107,3,,
击碎者克里丹,6,术士,传说,140,1,,
剃刀猎手,3,中立,普通,95,5,,
加基森拍卖师,6,中立,稀有,65,7,,
加拉克苏斯大王,9,术士,传说,137,1,,
南海船工,1,中立,普通,76,6,,
南海船长,3,中立,史诗,82,6,,
博学者普克尔特,4,中立,传说,163,1,,
卡塔图防御者,6,中立,稀有,124,2,,
卷轴管理者,5,中立,普通,122,2,,
厄运信天翁,4,中立,稀有,79,6,,
历史爱好者,3,中立,史诗,140,1,,
双头暴虐龙,8,中立,普通,147,1,,
受伤的托维尔人,2,中立,普通,120,2,,
变装游荡者,4,中立,普通,123,2,,
古尔丹之手,6,术士,普通,87,5,,
古怪的铭文师,6,中立,普通,137,1,,
古拉巴什狂暴者,5,中立,普通,87,5,,
叫嚣的中士,1,中立,普通,82,6,,
召唤传送门,4,术士,普通,73,6,,
吸取生命,3,术士,普通,89,5,,
咖啡师林彻,5,中立,传说,133,1,,
哈里森·琼斯,5,中立,传说,75,6,,
喷灯破坏者,3,中立,史诗,132,1,,
噬骨先锋,7,中立,普通,138,1,,
噬骨殴斗者,2,中立,普通,130,2,,
团队领袖,3,中立,普通,73,6,,
圣光护卫者,1,中立,稀有,81,6,,
地狱烈焰,4,术士,普通,119,2,,
地精滑翔技师,3,中立,普通,85,6,,
坎雷萨德·埃伯洛克,2,术士,传说,130,2,,
坑道爆破师,7,中立,稀有,57,7,,
塔隆·血魔,3,中立,传说,128,2,,
复制机器人,4,中立,史诗,52,7,,
复生大盗,5,中立,稀有,72,6,,
多彩龙卵,5,中立,史诗,73,6,,
夜刃刺客,5,中立,普通,72,6,,
夜影主母,4,术士,普通,97,4,,
大厨诺米,7,中立,传说,59,7,,
大地之环先知,3,中立,普通,106,3,,
大检察官怀特迈恩,7,中立,传说,121,2,,
大法师,6,中立,普通,78,6,,
大法师瓦格斯,4,中立,传说,81,6,,
失心辅导员,4,中立,普通,82,6,,
夺日者战斗法师,5,中立,稀有,61,7,,
夺日者间谍,2,中立,普通,102,4,,
夺烛木乃伊,3,中立,普通,149,1,,
奔逃的魔刃豹,4,中立,史诗,136,1,,
奥,5,中立,传说,123,2,,
奥妮克希亚,9,中立,传说,115,2,,
奥术仆从,2,中立,普通,102,4,,
奥术傀儡,3,中立,稀有,62,7,,
奥术吞噬者,8,中立,稀有,53,7,,
奥秘守护者,1,中立,稀有,63,7,,
寒光先知,3,中立,稀有,52,7,,
小个子召唤师,2,中立,稀有,101,4,,
小精灵,0,中立,普通,71,6,,
小鬼召唤师,3,中立,稀有,95,5,,
小鬼油膏,4,术士,稀有,115,2,,
小鬼狱火,3,术士,稀有,98,4,,
少年惯偷,2,中立,普通,113,3,,
尼斐塞特仪祭师,2,中立,稀有,112,3,,
尼斐塞特鞭笞者,3,术士,普通,141,1,,
岩浆暴怒者,3,中立,普通,52,7,,
巡游向导,1,中立,普通,114,2,,
工匠大师欧沃斯巴克,3,中立,传说,110,3,,
工程师学徒,2,中立,普通,89,5,,
巨型小鬼,10,术士,史诗,60,7,,
巨魔蝙蝠骑士,4,中立,普通,132,1,,
巫医,1,中立,普通,95,5,,
巫术替身,6,中立,普通,92,5,,
希亚玛特,7,中立,传说,156,1,,
帝王眼镜蛇,3,中立,稀有,120,2,,
年轻的女祭司,1,中立,稀有,89,5,,
年轻的酒仙,2,中立,普通,95,5,,
年迈的法师,4,中立,稀有,62,7,,
年迈的酒仙,4,中立,普通,95,5,,
幻化师,2,中立,史诗,125,2,,
幼龙饲养员,2,中立,稀有,117,2,,
幼龙鹰,1,中立,普通,50,7,,
废土刺客,5,中立,普通,121,2,,
废土守望者,5,中立,史诗,106,3,,
废土巨蝎,7,中立,普通,103,4,,
废料场巨像,10,中立,稀有,124,2,,
异教低阶牧师,2,中立,稀有,127,2,,
弗瑞兹·光巢,4,中立,传说,114,2,,
影光学者,3,术士,稀有,123,2,,
性急的杂兵,4,术士,稀有,75,6,,
怪盗天才,2,术士,普通,150,1,,
怪盗布缆鼠,2,中立,普通,112,3,,
怪盗征募官,3,术士,普通,88,5,,
恐怖海盗,4,中立,普通,62,7,,
恐惧地狱火,6,术士,普通,119,2,,
恐惧渡鸦,3,中立,史诗,116,2,,
恐狼前锋,2,中立,普通,101,4,,
恶毒铁匠,5,中立,普通,87,5,,
恶狼大法师,10,中立,史诗,103,4,,
恶魔之火,2,术士,普通,100,4,,
恶魔卫士,3,术士,稀有,81,6,,
恶魔研习,1,术士,普通,129,2,,
情势反转,2,术士,稀有,59,7,,
感知宝珠,1,中立,传说,50,7,,
感知恶魔,3,术士,普通,94,5,,
愤怒的小鸡,1,中立,稀有,50,7,,
慷慨的木乃伊,3,中立,稀有,0,7,,
憎恶,5,中立,稀有,61,7,,
战利品贮藏者,2,中立,普通,95,5,,
扭曲学识,2,术士,普通,189,1,,
扭曲巨龙泽拉库,8,术士,传说,136,1,,
扭曲虚空,8,术士,史诗,116,2,,
报警机器人,3,中立,稀有,31,7,,
拉文霍德刺客,7,中立,稀有,74,6,,
拉法姆的阴谋,3,术士,普通,79,6,,
招虫的地精,3,中立,稀有,91,5,,
持枪恶霸,5,中立,史诗,106,3,,
持盾卫士,1,中立,普通,70,6,,
捣蛋鬼,3,中立,史诗,80,6,,
推土壮汉,9,中立,普通,107,3,,
改进型恐惧魔王,8,术士,稀有,144,1,,
攻城恶魔,7,术士,稀有,119,2,,
攻城车,3,中立,稀有,78,6,,
教导主任加丁,4,术士,传说,142,1,,
散财军士,4,中立,普通,113,3,,
新生刺头,1,中立,普通,113,3,,
方阵指挥官,5,中立,普通,90,5,,
旅行医者,4,中立,普通,102,4,,
旋翼机,6,中立,普通,89,5,,
无面操纵者,5,中立,史诗,116,2,,
无面暴怒者,3,中立,普通,83,6,,
无面潜伏者,5,中立,普通,92,5,,
无面腐蚀者,5,中立,稀有,132,1,,
日怒保卫者,2,中立,稀有,117,2,,
昆虫收藏家,2,中立,普通,103,4,,
显眼的诱饵,6,中立,史诗,39,7,,
暗影烈焰,4,术士,稀有,130,2,,
暗影箭,3,术士,普通,109,3,,
暗影议会,1,术士,史诗,114,2,,
暗鳞先知,1,中立,普通,48,7,,
暗鳞治愈者,5,中立,普通,93,5,,
暮光幼龙,4,中立,稀有,115,2,,
暴怒的狼人,3,中立,普通,84,6,,
暴走旋风,8,中立,史诗,50,7,,
暴风城勇士,7,中立,普通,73,6,,
暴风城骑士,4,中立,普通,79,6,,
月亮巨人守护者,10,中立,传说,78,6,,
末日灾祸,5,术士,史诗,79,6,,
末日预言者,2,中立,史诗,75,6,,
机械保险箱,6,中立,普通,117,2,,
机械幼龙技工,4,中立,普通,90,5,,
机械拷问者,4,中立,稀有,42,7,,
机械法医,5,中立,史诗,3,7,,
染病的兀鹫,4,术士,史诗,124,2,,
校园精魂,3,术士,普通,116,2,,
校长克尔苏加德,5,中立,传说,116,2,,
格鲁尔,8,中立,传说,72,6,,
档案员艾丽西娜,9,中立,传说,90,5,,
森金持盾卫士,4,中立,普通,107,3,,
欢快的同伴,1,中立,普通,86,6,,
止水湖蛇颈龙,5,中立,普通,120,2,,
死亡之翼,10,中立,传说,99,4,,
死亡缠绕,1,术士,普通,99,4,,
毒鳍鱼人,1,中立,普通,67,7,,
比斯巨兽,6,中立,传说,85,6,,
沙漠方尖碑,5,中立,史诗,24,7,,
沙漠野兔,3,中立,普通,76,6,,
沼泽爬行者,5,中立,普通,91,5,,
法力之池,2,中立,普通,44,7,,
法力怨魂,2,中立,稀有,97,4,,
法奥瑞斯国王,10,中立,传说,54,7,,
活化扫帚,1,中立,普通,107,3,,
活化纪念碑,10,中立,普通,107,3,,
活化龙息,3,中立,普通,118,2,,
流沙元素,2,中立,稀有,120,2,,
浮夸的大四学长,6,中立,普通,158,1,,
海巨人,10,中立,史诗,115,2,,
海蛇蛋,2,中立,普通,56,7,,
淡水鳄,2,中立,普通,102,4,,
深坑鳄鱼,8,中立,普通,116,2,,
深渊召唤者,6,术士,普通,90,5,,
深渊领主,4,术士,史诗,115,2,,
深潜炸弹,1,中立,稀有,46,7,,
深蓝系咒师,5,中立,稀有,95,5,,
混乱凝视者,3,术士,史诗,125,2,,
渊狱至尊,8,中立,普通,90,5,,
游学者周卓,2,中立,传说,41,7,,
潜地蝎,4,中立,普通,135,1,,
火焰之灾祸,1,术士,稀有,150,1,,
火焰之雨,1,术士,普通,86,6,,
火箭改装师,1,中立,普通,128,2,,
火鹰,3,中立,普通,136,1,,
灰发巫师,2,中立,史诗,116,2,,
灵魂之火,1,术士,普通,120,2,,
灵魂剥离,2,术士,稀有,134,1,,
灵魂学家玛丽希亚,7,术士,传说,77,6,,
灵魂虹吸,6,术士,稀有,128,2,,
灼光战斗法师,1,中立,普通,100,4,,
烈日行者,6,中立,稀有,106,3,,
烈焰小鬼,1,术士,普通,107,3,,
热气球,1,中立,普通,82,6,,
熔火恶犬,7,中立,普通,71,6,,
牛头人战士,3,中立,普通,72,6,,
特殊坐骑商人,7,中立,稀有,93,5,,
牺牲契约,0,术士,普通,21,7,,
狂傲的兽人,3,中立,普通,151,1,,
狂奔科多兽,5,中立,稀有,99,4,,
狂暴邪翼蝠,4,中立,稀有,68,7,,
狂野炎术师,2,中立,稀有,120,2,,
狐人恶棍,3,中立,史诗,142,1,,
狗头人地卜师,2,中立,普通,78,6,,
狗头人沙漠步兵,2,中立,普通,66,7,,
