名称,费用,职业,稀有度,评分,评级,建议不选多张,
下水道软泥怪,7,中立,稀有,43,7,,
丛林猎豹,3,中立,普通,96,4,,
严酷的监工,2,战士,普通,129,2,,
中暑的匪徒,4,中立,稀有,90,5,,
乌特加德鱼叉射手,6,中立,稀有,55,7,,
乱喷的骆驼,2,中立,普通,61,7,,
了不起的杰弗里斯,2,中立,传说,233,1,,
仪式重槌,3,战士,史诗,131,2,,
任务达人,3,中立,稀有,99,4,,
伊瑟拉,9,中立,传说,90,5,,
伞降教官,3,中立,普通,75,6,,
传染孢子,1,中立,稀有,53,7,,
传送门大恶魔,6,中立,史诗,83,6,,
传送门守护者,4,中立,稀有,85,6,,
体能研习,1,战士,普通,116,2,,
作战傀儡,7,中立,普通,80,6,,
侏儒发明家,4,中立,普通,82,6,,
保持阵型,2,战士,普通,133,1,,
光明之翼,3,中立,传说,107,3,,
八爪巨怪,8,中立,传说,172,1,,
冒进的艇长,1,战士,稀有,105,3,,
军情七处渗透者,4,中立,稀有,102,4,,
冰雹使者,5,中立,普通,113,3,,
冰霜元素,6,中立,普通,80,6,,
冰霜织影者,3,中立,普通,138,1,,
冰风雪人,4,中立,普通,108,3,,
冲锋,1,战士,普通,42,7,,
凯尔萨斯·逐日者,7,中立,传说,53,7,,
凯恩·血蹄,6,中立,传说,101,4,,
凶恶的废钢猎犬,2,战士,普通,85,6,,
剃刀猎手,3,中立,普通,89,5,,
剑刃风暴,3,战士,史诗,127,2,,
剑盾猛攻,1,战士,普通,107,3,,
劈砍课程,5,战士,普通,87,5,,
加基森拍卖师,6,中立,稀有,65,7,,
升级,1,战士,稀有,126,2,,
南海船工,1,中立,普通,90,5,,
南海船长,3,中立,史诗,81,6,,
博学者普克尔特,4,中立,传说,161,1,,
卡加斯·刃拳,4,战士,传说,136,1,,
卡塔图防御者,6,中立,稀有,89,5,,
卡斯迪诺夫教授,5,战士,传说,137,1,,
卷轴管理者,5,中立,普通,113,3,,
厄运信天翁,4,中立,稀有,70,6,,
历史爱好者,3,中立,史诗,131,2,,
双头暴虐龙,8,中立,普通,141,1,,
发条地精,3,战士,稀有,95,5,,
受伤的托维尔人,2,中立,普通,106,3,,
变装游荡者,4,中立,普通,115,2,,
古怪的铭文师,6,中立,普通,129,2,,
古拉巴什狂暴者,5,中立,普通,94,5,,
叫嚣的中士,1,中立,普通,80,6,,
命令怒吼,2,战士,稀有,92,5,,
咖啡师林彻,5,中立,传说,116,2,,
哈里森·琼斯,5,中立,传说,79,6,,
喷灯破坏者,3,中立,史诗,124,2,,
噬骨先锋,7,中立,普通,115,2,,
噬骨殴斗者,2,中立,普通,122,2,,
噬骨骑兵,3,战士,普通,121,2,,
团伙核心,3,战士,史诗,149,1,,
团队领袖,3,中立,普通,70,6,,
圣光护卫者,1,中立,稀有,65,7,,
圣剑扳手,4,战士,史诗,140,1,,
地精滑翔技师,3,中立,普通,92,5,,
坑道爆破师,7,中立,稀有,44,7,,
埃辛诺斯壁垒,3,战士,传说,72,6,,
塔隆·血魔,3,中立,传说,126,2,,
复制机器人,4,中立,史诗,47,7,,
复生大盗,5,中立,稀有,69,6,,
多彩龙卵,5,中立,史诗,55,7,,
夜刃刺客,5,中立,普通,68,7,,
大厨诺米,7,中立,传说,58,7,,
大地之环先知,3,中立,普通,100,4,,
大检察官怀特迈恩,7,中立,传说,118,2,,
大法师,6,中立,普通,74,6,,
大法师瓦格斯,4,中立,传说,78,6,,
失心辅导员,4,中立,普通,80,6,,
夺日者战斗法师,5,中立,稀有,58,7,,
夺日者间谍,2,中立,普通,95,5,,
夺烛木乃伊,3,中立,普通,139,1,,
奔逃的魔刃豹,4,中立,史诗,127,2,,
奥,5,中立,传说,108,3,,
奥妮克希亚,9,中立,传说,114,2,,
奥术仆从,2,中立,普通,95,5,,
奥术傀儡,3,中立,稀有,60,7,,
奥术吞噬者,8,中立,稀有,55,7,,
奥秘守护者,1,中立,稀有,60,7,,
奥金斧,5,战士,普通,169,1,,
寒光先知,3,中立,稀有,49,7,,
小个子召唤师,2,中立,稀有,95,5,,
小精灵,0,中立,普通,67,7,,
小鬼召唤师,3,中立,稀有,89,5,,
少年惯偷,2,中立,普通,110,3,,
尼斐塞特仪祭师,2,中立,稀有,114,2,,
岩浆暴怒者,3,中立,普通,49,7,,
巡游向导,1,中立,普通,106,3,,
工匠大师欧沃斯巴克,3,中立,传说,102,4,,
工程师学徒,2,中立,普通,88,5,,
巨魔蝙蝠骑士,4,中立,普通,124,2,,
巫医,1,中立,普通,85,6,,
