名称,抓取率,评分,
下水道爬行者,0.1%,100,
下水道软泥怪,0.2%,44,
丛林猎豹,6.3%,100,
中暑的匪徒,1.7%,101,
乌特加德鱼叉射手,0.5%,62,
九命兽魂,2.6%,79,
乱喷的骆驼,1.5%,63,
了不起的杰弗里斯,4.3%,241,
人偶大师多里安,0.3%,71,
任务达人,1.6%,119,
伊瑟拉,0.9%,91,
伞降教官,3.5%,81,
传染孢子,2.1%,47,
传送门大恶魔,1.6%,88,
传送门守护者,3.3%,91,
伪装机器人,7%,100,
作战傀儡,1.3%,81,
侏儒发明家,5.4%,93,
侏儒变形师,3.3%,115,
侏儒实验技师,0.6%,64,
侧翼打击,0.3%,156,
俯冲狮鹫,41.9%,183,
倔强的蜗牛,0.1%,129,
假死,0.7%,59,
光明之翼,0.9%,117,
全息术士,0.1%,62,
八爪巨怪,1.9%,193,
关门放狗,29.4%,142,
兽王莱欧洛克斯,0.8%,83,
兽群呼唤,0.1%,130,
再生大盗,0.7%,72,
军情七处渗透者,2.7%,97,
冰冻陷阱,30.3%,131,
冰川裂片,0.1%,128,
冰雹使者,12.3%,114,
冰霜元素,5%,86,
冰霜暴怒者,0.1%,87,
冰霜织影者,31.4%,129,
冰风雪人,5.7%,99,
凯尔萨斯·逐日者,0.1%,57,
凯恩·血蹄,0.5%,109,
凶恶的鳞皮兽,10.2%,92,
凶残撕咬,0.2%,144,
凶猛狂暴,29.6%,98,
分裂腐树,0.7%,88,
制毒师,0.2%,83,
刺血狂蝎,3%,82,
剃刀猎手,3.5%,100,
剑龙,0.1%,94,
剧毒箭矢,0.1%,81,
加兹瑞拉,2.5%,114,
加兹鲁维,0.1%,56,
加兹鲁维,0.1%,56,
加基森拍卖师,0.2%,72,
动物伙伴,39.8%,125,
勇敢的记者,0.1%,110,
化学怪人,0.1%,121,
卑劣的窃蛋者,0.1%,132,
南海船工,1.5%,75,
南海船长,0.1%,74,
南海船长,0.1%,74,
南瓜农夫,5%,83,
卡塔图防御者,11.3%,97,
厄运信天翁,4.1%,97,
厄运鼹鼠,0.1%,91,
历史爱好者,3.8%,124,
压感陷阱,9.9%,58,
双头暴虐龙,35.7%,151,
发条侏儒,9%,90,
发条巨人,0.7%,43,
发条机器人,8.7%,82,
受伤的托维尔人,10.3%,101,
受损的机械剑龙,3.5%,92,
变装游荡者,18.5%,122,
古怪的铭文师,19%,126,
古拉巴什狂暴者,2.2%,76,
叫嚣的中士,2.7%,69,
召唤宠物,4.2%,76,
可升级机器人,2.1%,87,
可靠的灯泡,0.6%,63,
吉尔尼斯皇家卫兵,6.5%,110,
吵吵机器人,11.6%,100,
吸血蚊,8.3%,98,
咖啡师林彻,1%,122,
哈尔拉兹，山猫之神,0.1%,88,
哈里森·琼斯,0.5%,74,
唤鸦者,10.8%,97,
喷灯破坏者,3.1%,112,
噬骨先锋,26.9%,114,
噬骨殴斗者,23.1%,116,
回收机器人,0.2%,47,
团队领袖,1.2%,70,
土狼头领,2.2%,75,
圣光护卫者,0.2%,55,
地狱野猪,23.4%,106,
地精工兵,1.9%,67,
地精滑翔技师,3%,78,
地精炸弹,0.2%,34,
地精的把戏,0.7%,66,
坑道爆破师,1.5%,78,
坩埚元素,0.9%,65,
基维斯,2.3%,73,
塔隆·血魔,1.7%,119,
墓穴蜘蛛,0.1%,124,
复制机器人,0.6%,60,
多彩龙卵,0.5%,44,
多重射击,36.4%,130,
夜刃刺客,1.5%,81,
大厨诺米,0.1%,63,
大地之环先知,6.5%,92,
大检察官怀特迈恩,0.6%,118,
大法师,1.6%,77,
大法师瓦格斯,0.4%,94,
大漠沙驼,0.1%,50,
大漠沙驼,0.1%,50,
大胖,0.8%,85,
夺日者战斗法师,0.6%,71,
夺日者间谍,10.3%,91,
夺烛木乃伊,14.9%,120,
奔逃的魔刃豹,10.3%,114,
奥,1.3%,115,
奥妮克希亚,0.2%,111,
奥术仆从,7.2%,87,
奥术傀儡,0.1%,60,
奥术吞噬者,0.1%,54,
奥术吞噬者,0.1%,54,
奥术射击,20.9%,100,
奥术弓箭手,0.5%,80,
