名称,抓取率,评分,
下水道爬行者,0.1%,95,
下水道软泥怪,0.3%,45,
不稳定的元素,0.1%,99,
丛林猎豹,4.2%,85,
中暑的匪徒,1.4%,103,
乌特加德鱼叉射手,0.6%,65,
乱喷的骆驼,0.7%,30,
了不起的杰弗里斯,3.9%,244,
二流打手,0.1%,119,
亡灵药剂师,0.3%,130,
亮石技师,1.8%,130,
人偶大师多里安,0.3%,71,
以眼还眼,0.8%,54,
任务达人,1.9%,103,
伊瑟拉,1.2%,95,
伞降教官,3.4%,82,
传染孢子,2%,52,
传送门大恶魔,2%,90,
伪装机器人,7.4%,103,
伯瓦尔·弗塔根,1.1%,109,
作战傀儡,1.3%,80,
作战动员,26.7%,149,
侏儒发明家,7%,94,
侏儒变形师,2.8%,125,
侏儒实验技师,0.7%,66,
保护之手,5.9%,108,
倔强的蜗牛,0.3%,131,
先祖守护者,24.9%,146,
光明之翼,0.9%,116,
光明圣印,9.1%,85,
光耀之主拉格纳罗斯,0.1%,85,
光铸祝福,5.9%,104,
克尔苏加德,0.1%,127,
全息术士,0.2%,66,
八爪巨怪,2.3%,179,
公会招募员,0.1%,86,
公正之剑,6.5%,115,
再生大盗,2.3%,88,
再生暴徒,0.1%,90,
冒险号角,2.3%,101,
军情七处渗透者,2.9%,100,
军需官,2.8%,71,
冰冻粉碎者,0.1%,117,
冰雹使者,13.4%,118,
冰霜元素,6.5%,87,
冰霜织影者,34%,134,
冰风雪人,8.4%,102,
凯尔萨斯·逐日者,0.1%,60,
凯恩·血蹄,0.7%,112,
凶恶的鳞皮兽,5.2%,81,
分裂腐树,0.7%,88,
列王守卫,9.7%,78,
利亚姆王子,1.1%,97,
制伏,28.9%,155,
剃刀猎手,2.6%,86,
力量祝福,8.5%,84,
加兹鲁维,0.1%,63,
加基森名媛,0.1%,88,
加基森拍卖师,0.3%,73,
化学怪人,0.4%,122,
南海船工,1.4%,97,
南海船长,0.2%,75,
南瓜农夫,5.1%,89,
卡塔图防御者,13.2%,107,
厄运信天翁,3.2%,80,
历史爱好者,5.7%,128,
双头暴虐龙,34.2%,163,
发条侏儒,10.2%,87,
发条巨人,0.6%,39,
发条机器人,0.4%,63,
受伤的托维尔人,9.8%,105,
受损的机械剑龙,7%,97,
受祝福的勇士,1.4%,37,
变装游荡者,16.5%,123,
古怪的铭文师,24.1%,129,
古拉巴什狂暴者,1.9%,77,
叫嚣的中士,3.6%,80,
可升级机器人,3%,94,
可靠的灯泡,1.1%,76,
吉尔尼斯皇家卫兵,9.6%,110,
后院保镖,0.1%,99,
吵吵机器人,14.3%,108,
吵吵模组,11%,137,
吸血蚊,3.4%,81,
吹箭鱼人,0.2%,104,
和蔼的灯神,0.2%,109,
咖啡师林彻,1.4%,127,
哈里森·琼斯,0.4%,76,
唤尸者,0.1%,112,
唤鸦者,11.1%,95,
喧哗的诗人,0.1%,107,
喷灯破坏者,4%,115,
噬骨先锋,37%,122,
噬骨殴斗者,23.2%,118,
回收机器人,0.2%,49,
团队领袖,2%,84,
圣光护卫者,0.2%,78,
圣光术,1.3%,45,
圣光楷模,9.5%,99,
圣光的正义,14.4%,114,
圣疗术,4.5%,84,
地精工兵,1.8%,71,
地精滑翔技师,5.5%,81,
地精炸弹,0.3%,26,
场馆保镖,0.1%,89,
坎格尔的无尽大军,0.3%,46,
坑道爆破师,1.7%,82,
坩埚元素,0.9%,64,
基维斯,1.6%,72,
塔隆·血魔,2.3%,128,
墓地蹒跚者,0.1%,94,
墓穴蜘蛛,0.2%,115,
复仇之怒,4.3%,110,
复制机器人,1.4%,70,
多彩龙卵,0.7%,79,
夜刃刺客,0.9%,75,
大厨诺米,0.1%,63,
大地之环先知,6.8%,97,
大师级枪骑士,0.1%,66,
大检察官怀特迈恩,0.7%,129,
大法师,1.8%,78,
大法师瓦格斯,0.5%,99,
大胖,0.8%,84,
夺日者战斗法师,1%,78,
夺日者间谍,8.4%,86,
夺烛木乃伊,17%,122,
奇利亚斯,3.5%,158,
奉献,53.8%,177,
奔逃的魔刃豹,9.2%,104,
奥,1.2%,117,
奥妮克希亚,1%,116,
奥尔多侍从,30.1%,84,
奥尔多卫士,26.3%,143,
奥尔多真理追寻者,18.7%,111,
奥术仆从,6.8%,85,
奥术傀儡,0.1%,64,
奥术吞噬者,0.1%,50,
奥秘守护者,0.4%,65,
奥能水母,7.1%,115,
女伯爵莉亚德琳,1.9%,82,
女伯爵阿莎摩尔,2.1%,89,
女巫森林吹笛人,3.3%,79,
女巫森林灰熊,5.6%,120,
始生幼龙,0.1%,161,
孤胆英雄,0.1%,122,
宝石甲虫,0.2%,84,
审判,0.1%,46,
寒光先知,0.2%,57,
小个子召唤师,1.2%,82,
小个子法师,0.1%,70,
小个子驱魔者,1.2%,69,
小型法术珍珠,0.1%,113,
小精灵,0.1%,68,
小鬼召唤师,2%,81,
尼斐塞特仪祭师,7.6%,121,
山岭巨人,0.2%,45,
岩浆暴怒者,0.1%,62,
崇高牺牲,10.5%,93,
工匠大师欧沃斯巴克,0.3%,95,
工匠镇技师,10.7%,94,
工程师学徒,3.1%,97,
巨化术,0.2%,131,
巨魔蝙蝠骑士,26.3%,127,
巨鳞蠕虫,7.2%,107,
巫医,1.7%,96,
巫毒娃娃,0.5%,84,
布林顿3000型,0.3%,47,
希亚玛特,3.8%,161,
希望圣契,15%,121,
帝王眼镜蛇,2.2%,102,
年轻的女祭司,1.8%,98,
年轻的酒仙,4.2%,84,
年迈的法师,0.1%,70,
年迈的酒仙,3.9%,91,
幻化师,2.9%,88,
幻术士,2.1%,73,
幼龙饲养员,6.7%,116,
幼龙鹰,0.2%,53,
幽光鱼竿,16%,206,
幽灵战马,41.4%,123,
庇护,20.1%,123,
废土刺客,9.1%,105,
废土守望者,4.3%,115,
废土巨蝎,5.8%,90,
废料场巨像,18.3%,113,
异教药剂师,0.1%,76,
弗瑞兹·光巢,1.2%,108,
弹簧火箭犬,15%,108,
强化机器人,2.6%,109,
强能雷象,2.4%,115,
强袭坦克,11.6%,102,
微型战斗机甲,10.8%,114,
微型木乃伊,10.7%,119,
微机操控者,11%,128,
忏悔,3.5%,67,
怪盗布缆鼠,20.8%,106,
总督察,5.2%,86,
恐怖海盗,1.3%,99,
恐惧渡鸦,1.9%,100,
恐狼前锋,7.8%,104,
恩佐斯的子嗣,0.1%,102,
恶毒的银行家,0.7%,61,
恶毒铁匠,5.5%,99,
恶狼大法师,2.9%,94,
愤怒之锤,28%,129,
慷慨的木乃伊,0.6%,2,
憎恶,0.6%,91,
战争机兵,13%,104,
战利品贮藏者,7.5%,104,
战斗号角,0.1%,96,
战术撤离,0.1%,82,
托什雷,1.4%,113,
托维尔塑石师,0.1%,93,
扭曲的狼人,0.1%,90,
投弹机器人,5%,77,
护盾机器人,31.4%,143,
报警机器人,0.1%,36,
拉文霍德刺客,0.8%,72,
招虫的地精,8.9%,94,
持枪恶霸,6.2%,105,
持盾卫士,0.1%,68,
指挥官蕾撒,0.7%,101,
捣蛋鬼,0.5%,74,
推土壮汉,19.9%,115,
提里奥·弗丁,5.4%,136,
摇摆的俾格米,0.1%,120,
攻城车,0.8%,74,
救赎,8.9%,57,
教堂石像兽,3.2%,115,
散财军士,6.8%,105,
敲响警钟,37.6%,132,
斯尼德的伐木机,1.6%,82,
方阵指挥官,1.1%,89,
施法者克星X-21,3.5%,83,
旋翼机,16.9%,98,
旋翼滑翔者,1.5%,73,
无面操纵者,1.5%,102,
无面暴怒者,12.7%,100,
无面潜伏者,4.5%,88,
无面腐蚀者,16.6%,151,
日怒保卫者,2.4%,107,
旱谷狱卒,0.2%,65,
时光巨龙诺兹多姆,2%,135,
昆虫收藏家,11.9%,111,
明光祭司,1%,71,
星界使者塞雷西亚,0.1%,87,
显眼的诱饵,0.2%,61,
晶化师,1.6%,96,
智慧圣契,16%,96,
智慧祝福,15.6%,102,
暂避锋芒,0.1%,54,
暗夜徘徊者,0.8%,72,
暗鳞先知,0.1%,54,
暗鳞治愈者,3.8%,88,
暮光幼龙,3.5%,100,
暴怒的双头巨人,14%,111,
暴怒的狼人,4.8%,78,
暴走旋风,0.1%,56,
暴躁的巨龟,0.1%,79,
暴风城勇士,13.7%,93,
暴风城骑士,3.9%,81,
月亮巨人守护者,1%,124,
末日预言者,0.3%,47,
机械保险箱,8%,107,
机械克苏恩,0.1%,68,
机械幼龙技工,1.9%,84,
机械异种蝎,0.1%,75,
机械拷问者,0.8%,19,
机械推土牛,4.9%,94,
机械法医,0.1%,12,
机械蛋,10.7%,92,
机械袋鼠,16.9%,130,
机械跃迁者,17.3%,113,
机械雏龙,2.4%,140,
机械雪人,18.5%,109,
杂毛秘术师,14.6%,97,
格洛顿,21.7%,108,
格鲁尔,0.4%,78,
档案员艾丽西娜,0.4%,71,
梦魇融合怪,3.8%,116,
森金持盾卫士,4.4%,100,
棱彩透镜,1.9%,99,
榴弹投手,9.9%,125,
欢乐的发明家,1.7%,109,
欢快的同伴,8.9%,94,
欧米茄防御者,7.3%,112,
正义,3.1%,105,
正义圣契,53.3%,199,
正义感召,4.4%,84,
武装皮纳塔,10.6%,122,
死亡之翼,0.8%,115,
死神4000型,1.7%,101,
殊死一搏,0.1%,26,
毒沼爬行者,0.3%,116,
毒物学家,1%,92,
毒鳍鱼人,1.4%,65,
比斯巨兽,0.1%,77,
水晶学,1.7%,68,
水晶工匠坎格尔,0.5%,119,
永不屈服,5.9%,47,
污手街供货商,0.5%,140,
污手街走私者,0.2%,96,
沙尘吐息,4.3%,124,
沙漠爵士芬利,2.6%,101,
沙漠蜂后,26.2%,93,
沙漠野兔,0.7%,82,
没电的铁皮人,0.1%,82,
沼泽水蛭,4.4%,110,
沼泽爬行者,2.4%,88,
沼泽飞龙,3.1%,57,
沼泽龙蛋,3.3%,67,
法力之池,0.2%,54,
法力怨魂,0.4%,90,
法奥瑞斯国王,0.1%,62,
泥沼狩猎者,1.4%,123,
活动假人,0.2%,66,
活化纪念碑,4%,92,
活化龙息,14.6%,102,
流沙元素,7.1%,124,
海地精猎手,12.3%,95,
海巨人,2.8%,143,
海蛇蛋,3%,60,
淡水鳄,3.8%,85,
淤泥践踏者,8.8%,103,
深坑鳄鱼,27.4%,113,
深潜炸弹,0.5%,40,
深蓝系咒师,11%,152,
渊狱至尊,8.7%,95,
湖之仙女,0.1%,74,
滑板机器人,3.6%,97,
潜地蝎,40.3%,128,
火岩元素,0.2%,78,
火箭改装师,23.9%,129,
火花引擎,1.8%,68,
火花钻机,2.3%,92,
火车王里诺艾,0.2%,96,
火鹰,12.8%,119,
灰发巫师,1.3%,97,
灼光战斗法师,14.6%,104,
炮火机甲,36.4%,129,
烈日行者,3.2%,103,
热气球,7.6%,79,
熔火恶犬,0.3%,76,
熟练的水手,2.3%,91,
爆爆机器人,7.9%,103,
爆盐投弹手,1.3%,107,
牛头人战士,0.9%,75,
特殊坐骑商人,3.9%,89,
狂傲的兽人,26.5%,117,
狂奔科多兽,3.4%,91,
狂暴邪翼蝠,2.2%,83,
狂野炎术师,3%,111,
狐人恶棍,5.9%,139,
狗头人地卜师,0.7%,75,
狗头人学徒,0.1%,107,
狗头人武僧,0.1%,101,
狗头人沙漠步兵,1.6%,64,
狼人憎恶,3.1%,99,
狼人渗透者,4%,96,
狼骑兵,2.5%,93,
王牌猎人,0.8%,64,
王者祝福,34.9%,127,
玛瑟里顿,0.5%,81,
玛维·影歌,3.2%,125,
玛里苟斯,0.1%,86,
玻璃骑士,2.1%,154,
琥珀看守者,37.8%,120,
瑟玛普拉格,0.6%,78,
瓦兰奈尔,0.1%,135,
生而平等,7.5%,90,
生锈的回收机器人,4.7%,89,
电磁脉冲特工,0.3%,72,
电能工匠,1.3%,91,
畸变狂战士,0.2%,92,
疯帽客,2.2%,82,
疯狂召唤师,0.1%,65,
疯狂投弹者,5.4%,100,
疯狂爆破者,4%,82,
疯狂的炼金师,3%,93,
疯狂的科学家,0.2%,80,
癫狂的医生,8.1%,85,
白银之手骑士,4.7%,100,
白骨怨灵,19.4%,120,
看台喷火龙,0.1%,109,
真银圣剑,55.1%,179,
矮人考古学家,1.4%,93,
石丘防御者,0.3%,141,
石化魔暴龙,0.1%,80,
石拳食人魔,8.5%,97,
石牙野猪,0.5%,65,
石腭穴居人壮汉,10.6%,88,
砰砰博士,3.5%,137,
破咒珠宝师,6%,99,
破法者,6.1%,99,
破甲骑士,4.9%,87,
破碎残阳祭司,9.2%,91,
破铜烂铁机器人,0.3%,60,
硬壳甲虫,0.3%,119,
碎石穴居人,12.6%,98,
祖达克仪祭师,0.6%,38,
神圣之力,0.1%,72,
神圣愤怒,3%,93,
神恩术,6.5%,84,
神殿狂战士,13.2%,111,
神秘之刃,8.1%,119,
科赞秘术师,3.1%,68,
穆克拉,0.2%,79,
穴居人食菌者,0.2%,96,
空中团战,13.9%,127,
空中飞爪,22%,83,
空军指挥官,2.8%,75,
空降歹徒,0.7%,62,
窃魂者阿扎莉娜,0.4%,46,
竞技场主宰,1.2%,90,
筑巢双头鹏,0.4%,119,
米米尔隆的头部,0.2%,76,
精灵弓箭手,4.1%,100,
精灵龙,6.3%,102,
精神控制技师,0.3%,116,
紫罗兰典狱官,9.5%,106,
紫罗兰教师,1.9%,94,
紫罗兰魔剑士,0.8%,70,
紫色岩虫,0.3%,103,
红龙女王阿莱克丝塔萨,3.9%,139,
纳克萨玛斯之影,0.1%,97,
纳特·帕格,0.1%,78,
维库食尸鬼,0.1%,75,
绿洲钳嘴龟,1.5%,71,
绿皮船长,0.2%,96,
绿色凝胶怪,0.2%,106,
缚沙者,0.5%,67,
缚雾熊怪,0.1%,68,
美味飞鱼,5.7%,79,
群星罗列者,0.2%,95,
翼手龙宝宝,0.1%,105,
老式治疗机器人,4.8%,77,
耶比托·乔巴斯,0.2%,85,
胡桃精,10.8%,88,
脑力激荡者,0.3%,49,
脱逃的样本,0.3%,98,
腐化先知,0.1%,116,
腐烂的苹果树,11%,106,
腐肉食尸鬼,3.8%,96,
腐蚀淤泥,0.2%,92,
自动防御矩阵,15.9%,70,
自爆绵羊,2%,91,
舒玛,1.3%,107,
船载火炮,8.2%,99,
艾泽里特元素,0.2%,61,
艾露恩的女祭司,0.6%,71,
苔藓恐魔,2.6%,106,
苦痛侍僧,3.9%,92,
英勇狂热者,5.6%,108,
荆棘帮小偷,7.1%,82,
荆棘帮巫婆,2.5%,121,
荆棘帮斗猪,17.5%,139,
荆棘帮暴徒,8.9%,86,
荆棘谷猛虎,7.2%,91,
药水商人,3%,80,
莫尔葛工匠,2.6%,148,
莫戈尔·莫戈尔格,7.6%,174,
莽头食人魔,4.7%,109,
菌菇附魔师,0.2%,118,
萎缩射线,15.9%,105,
萨尔玛先知,0.7%,60,
萨索瓦尔,0.7%,96,
萨维斯,0.5%,109,
萨隆铁矿监工,0.1%,128,
葛拉卡爬行蟹,0.1%,103,
蓝鳃战士,1.9%,86,
藏宝匪贼,8.9%,91,
藏宝海湾保镖,0.6%,90,
虚灵改装师,16.8%,122,
虚空撕裂者,0.1%,120,
蜘蛛坦克,17.8%,107,
血帆海盗,0.5%,65,
血帆袭击者,3.8%,105,
血沼迅猛龙,2.6%,93,
血法师萨尔诺斯,0.2%,98,
血色净化者,7.7%,109,
血色十字军战士,6.2%,94,
血骑士,1.1%,100,
被感染的贮藏者,0.1%,100,
被禁锢的邪犬,34.4%,103,
被禁锢的阳鳃鱼人,23.5%,136,
被缚的魔像,14.6%,150,
被诅咒的门徒,0.2%,113,
裂地触须,0.1%,92,
裹尸匠,1%,85,
角鹰兽,13.6%,106,
触手恐吓者,0.7%,77,
警钟哨卫,3.9%,82,
诅咒教派领袖,13.2%,113,
诺兹多姆,0.1%,57,
诺莫瑞根步兵,1.6%,64,
诺萨莉,0.8%,45,
谦逊,9.4%,96,
负伤剑圣,2.3%,98,
责难,1.3%,82,
贫瘠之地饲养员,0.4%,80,
赫米特·奈辛瓦里,0.3%,91,
起泡的腐泥怪,4.1%,83,
载人收割机,25.2%,135,
载人毁灭机,1.4%,107,
载人飞天魔像,4.9%,131,
