名称,抓取率,评分,
A3型机械金刚,0.2%,88,
下水道爬行者,0.2%,96,
下水道软泥怪,0.3%,45,
下水道销赃人,20.7%,82,
不稳定的元素,0.2%,98,
丛林猎豹,6.3%,87,
中暑的匪徒,1.9%,100,
乌特加德鱼叉射手,0.7%,65,
乱喷的骆驼,0.9%,21,
了不起的杰弗里斯,3.5%,252,
二流打手,0.1%,126,
亡灵药剂师,0.5%,152,
人偶大师多里安,0.4%,79,
人气选手,0.1%,108,
任务达人,1.2%,133,
伊瑟拉,0.6%,98,
伏击,25.3%,116,
伞降教官,3.9%,85,
传染孢子,2.6%,57,
传送门大恶魔,2.5%,91,
传送门守护者,4.6%,92,
伪装大师,8.7%,90,
伪装机器人,6.7%,102,
伪造的幸运币,0.1%,97,
伺机待发,1.7%,78,
作战傀儡,2.1%,84,
侏儒发明家,5.7%,98,
侏儒变形师,2.7%,121,
侏儒实验技师,0.7%,68,
修补匠的磨刀油,26.4%,114,
倔强的蜗牛,0.5%,129,
偷天换日,9.3%,65,
偷渡者,0.4%,63,
偷袭,48.1%,150,
光明之翼,0.9%,122,
全息术士,0.2%,65,
八爪巨怪,2%,188,
公会招募员,0.2%,105,
再生大盗,1.3%,75,
再生暴徒,0.2%,90,
军情七处渗透者,3%,97,
军情七处特工,5.6%,138,
冰冻粉碎者,0.1%,106,
冰吼,0.1%,109,
冰川裂片,0.3%,146,
冰雹使者,14.1%,120,
冰霜元素,3.6%,91,
冰霜织影者,32.2%,133,
冰风雪人,5.4%,99,
冷血,20.8%,94,
凯尔萨斯·逐日者,0.2%,61,
凯恩·血蹄,0.4%,111,
凶恶的鳞皮兽,6.8%,88,
凶猛的聒噪怪,0.1%,96,
击剑教头,0.1%,102,
刀扇,50.7%,169,
刀瓣齐射,0.1%,56,
分裂腐树,1.1%,91,
利齿宝箱,0.1%,94,
制毒师,0.2%,87,
刺喉海盗,17%,84,
刺客之刃,19.2%,82,
刺杀,32.2%,163,
刺骨,35.8%,157,
剃刀猎手,4.8%,85,
剑刃乱舞,1.5%,83,
剑齿追猎者,0.1%,81,
剑龙,0.1%,101,
功夫大师,0.1%,74,
加兹鲁维,0.1%,63,
加基森名媛,0.2%,85,
加基森拍卖师,0.4%,78,
加基森摆渡人,0.3%,93,
加里维克斯,2.4%,104,
劫匪之王托瓦格尔,2.2%,88,
劫持者,1.8%,140,
化学怪人,0.2%,121,
十字军统领,0.1%,102,
午夜噩龙,0.1%,106,
卑劣的窃蛋者,0.3%,126,
南海畸变船长,0.7%,116,
南海船工,2.8%,104,
南海船长,0.5%,81,
南瓜农夫,10.5%,109,
卡利莫斯的仆从,0.1%,87,
卡塔图防御者,18.9%,126,
危机四伏,0.1%,42,
厄运信天翁,3.9%,82,
厄运鼹鼠,0.2%,99,
历史爱好者,4.7%,129,
双头暴虐龙,31.6%,170,
发条侏儒,12.9%,96,
发条巨人,0.6%,42,
发条机器人,0.6%,65,
发条骑士,0.1%,92,
受伤的托维尔人,10.2%,104,
受损的机械剑龙,7.9%,101,
变装游荡者,18.5%,120,
叛变,0.3%,61,
古怪的铭文师,21%,126,
古拉巴什宣传员,0.1%,118,
古拉巴什狂暴者,0.9%,75,
古拉巴什狂暴者,0.9%,75,
叫嚣的中士,3.6%,81,
可升级机器人,1.6%,87,
可靠的灯泡,0.9%,76,
可靠的灯泡,0.9%,76,
吉尔尼斯皇家卫兵,5.4%,115,
后院保镖,0.1%,95,
吵吵机器人,13.9%,112,
吸血蚊,7.4%,93,
吹箭鱼人,0.3%,100,
咖啡师林彻,1.4%,136,
哀嚎的灵魂,0.1%,82,
哈里森·琼斯,0.5%,79,
唤鸦者,16.5%,101,
喧哗的诗人,0.2%,102,
喷灯破坏者,3.9%,110,
噬骨先锋,32.5%,136,
噬骨殴斗者,23.4%,115,
回收机器人,0.2%,49,
团队领袖,0.6%,79,
圣光勇士,0.1%,111,
圣光护卫者,0.1%,75,
地精工兵,0.9%,74,
地精工兵,0.9%,74,
地精滑翔技师,4.3%,79,
地精炸弹,0.3%,29,
地精自动理发装置,30.4%,114,
坑道爆破师,2.5%,98,
坩埚元素,1.5%,66,
基维斯,1.3%,77,
塔克·诺兹维克,0.1%,68,
塔隆·血魔,2%,123,
墓穴蜘蛛,0.4%,122,
复制机器人,0.8%,58,
多彩龙卵,0.6%,65,
夜刃刺客,2.1%,75,
大厨诺米,0.2%,66,
大地之环先知,4.2%,101,
大检察官怀特迈恩,0.9%,119,
大法师,3%,82,
大法师瓦格斯,0.6%,105,
大胖,0.9%,102,
夺日者战斗法师,1.1%,74,
夺日者间谍,8.6%,82,
夺烛木乃伊,18.3%,116,
奈法利安,0.1%,105,
奔逃的魔刃豹,9.9%,104,
奥,1.5%,121,
奥妮克希亚,0.2%,119,
奥术仆从,7.2%,78,
奥术傀儡,0.1%,72,
奥秘吞噬者,0.1%,55,
奥秘守护者,0.6%,82,
奥能水母,3.3%,125,
女伯爵阿莎摩尔,0.5%,91,
女巫森林吹笛人,5.3%,82,
女巫森林灰熊,9.9%,121,
好斗的侏儒,0.1%,84,
始生幼龙,0.1%,177,
孤胆英雄,0.1%,132,
学术剽窃,6.6%,54,
宝石甲虫,0.4%,92,
实验室招募员,14.4%,112,
宿敌,9.5%,115,
寒光先知,0.1%,54,
小个子召唤师,1.5%,76,
小个子法师,0.3%,79,
小个子驱魔者,1.7%,75,
小精灵,0.2%,72,
小鬼召唤师,2.5%,80,
尼斐塞特仪祭师,7.1%,115,
尼鲁巴蛛网领主,0.1%,67,
屠龙者,0.4%,115,
山岭巨人,0.2%,48,
岩浆暴怒者,0.1%,61,
工匠大师欧沃斯巴克,0.4%,105,
工匠镇技师,10.3%,97,
工程师学徒,4.9%,106,
巨型乳齿象,0.3%,103,
巨型独眼怪,0.1%,114,
巨型蟾蜍,0.4%,120,
巨型黄蜂,0.4%,113,
巨魔蝙蝠骑士,26.2%,130,
巨鳞蠕虫,7.2%,99,
巨龙宝藏,8.7%,141,
巫医,1%,105,
巫毒娃娃,1.3%,96,
布林顿3000型,0.3%,34,
希亚玛特,3.6%,171,
帝王眼镜蛇,3.2%,100,
年轻的女祭司,0.8%,103,
年轻的酒仙,7.1%,78,
年迈的法师,0.4%,69,
年迈的酒仙,6.5%,89,
幻化师,3.4%,81,
幻影海盗,0.1%,81,
幻术士,3.7%,76,
幻觉,0.9%,126,
幼龙饲养员,5.6%,106,
幼龙鹰,0.2%,59,
幽暗城商贩,0.2%,134,
幽灵弯刀,3.3%,54,
废土刺客,12.6%,107,
废土守望者,5.2%,117,
废土巨蝎,6.3%,90,
废料场巨像,15.7%,130,
异教药剂师,0.2%,88,
弗瑞兹·光巢,0.9%,101,
弹簧火箭犬,14.7%,107,
强化机器人,2.2%,112,
强能雷象,3.7%,116,
强袭坦克,13%,107,
影袭,2.2%,24,
微型战斗机甲,9.5%,114,
微机操控者,9.5%,126,
怒鳍猎潮者,0.4%,119,
怪盗布缆鼠,21.2%,106,
怪盗恶霸,47.4%,145,
总督察,7%,87,
恐怖海盗,4.7%,96,
恐惧渡鸦,2%,96,
恐狼前锋,4%,96,
恩佐斯的子嗣,0.1%,96,
恩佐斯的触须,0.1%,97,
恶毒的银行家,1.2%,58,
恶毒铁匠,3.8%,98,
恶狼大法师,3.2%,101,
慷慨的木乃伊,1%,7,
憎恶,0.4%,98,
战争机兵,9.1%,102,
战利品贮藏者,8.3%,105,
战略转移,2.7%,13,
托什雷,1.4%,116,
托瓦格尔的阴谋,3.4%,8,
托维尔塑石师,0.1%,93,
扭曲的狼人,0.2%,89,
投弹机器人,3%,75,
报警机器人,0.1%,33,
拉文霍德刺客,1.4%,77,
招虫的地精,11%,102,
拟态豆荚,0.2%,118,
持枪恶霸,7.6%,104,
持盾卫士,0.2%,78,
捣蛋鬼,0.6%,73,
推土壮汉,20.2%,119,
搜索,16.9%,114,
摇摆的俾格米,0.1%,116,
摇摆矿锄,4.4%,124,
摧心者,0.1%,100,
收集者沙库尔,0.1%,133,
攻城车,0.7%,73,
散财军士,8.2%,104,
斯尼德的伐木机,1.8%,88,
方阵指挥官,1.4%,90,
施法者克星X-21,4.4%,93,
旅行医者,20.3%,103,
旋翼机,18.9%,99,
旋翼滑翔者,1.3%,65,
无面操纵者,2.1%,118,
无面暴怒者,13.4%,104,
无面潜伏者,6%,99,
无面腐蚀者,15%,147,
日怒保卫者,3%,110,
昆虫收藏家,10.9%,105,
明光祭司,0.5%,72,
星界使者塞雷西亚,0.1%,69,
显眼的诱饵,0.2%,67,
晶化师,1.2%,98,
暗中破坏,9.3%,151,
暗夜徘徊者,2.1%,73,
暗影塑形师,6%,91,
暗影大师,0.1%,99,
暗影打击,0.7%,137,
暗影施法者,0.1%,67,
暗影步,10%,76,
暗影狂怒者,0.2%,95,
暗影珠宝师汉纳尔,2.6%,73,
暗心贤者,6.1%,125,
暗鳞先知,0.1%,57,
暗鳞治愈者,4.3%,95,
暮光召唤师,0.1%,115,
暮光幼龙,1.2%,106,
暴怒的双头巨人,12%,125,
暴怒的狼人,5.8%,77,
暴走旋风,0.1%,58,
暴风城勇士,3%,91,
暴风城骑士,4.9%,86,
月亮巨人守护者,1.2%,131,
未鉴定的合约,8.9%,185,
末日预言者,0.8%,91,
机械保险箱,9.9%,122,
机械克苏恩,0.1%,66,
机械幼龙技工,3.5%,83,
机械异种蝎,0.1%,80,
机械拷问者,1.2%,41,
机械推土牛,4.1%,92,
机械袋鼠,16.7%,124,
机械跃迁者,15.6%,112,
机械雏龙,2.4%,139,
机械雪人,21.3%,111,
杂毛秘术师,8.1%,101,
格鲁尔,0.5%,80,
档案员艾丽西娜,0.6%,80,
梦魇之龙,0.1%,86,
梦魇融合怪,4.9%,123,
森金持盾卫士,7.4%,107,
榴弹投手,11.2%,128,
欢乐的发明家,0.8%,118,
欢快的同伴,10.2%,102,
欧米茄防御者,8.2%,118,
武装皮纳塔,11.7%,127,
死亡之影,2.3%,6,
死亡之翼,0.3%,133,
死神4000型,1.3%,107,
死金匕首,25.9%,141,
死金药剂,0.4%,61,
死金药剂师,6.8%,108,
毁灭之刃,24.2%,129,
毒刃,30.3%,124,
毒性污水软泥怪,0.2%,109,
毒沼爬行者,0.3%,124,
毒物学家,5.6%,89,
毒鳍鱼人,0.8%,69,
比斯巨兽,0.1%,78,
沉默的骑士,0.1%,98,
沙漠野兔,0.7%,82,
沙赫柯特工兵,10.9%,149,
沟渠潜伏者,0.1%,109,
没电的铁皮人,0.1%,81,
沼泽水蛭,4%,128,
沼泽爬行者,5.7%,99,
沼泽飞龙,16.2%,105,
沼泽龙蛋,3.3%,47,
法力之池,0.3%,59,
法力怨魂,0.6%,86,
法多雷突袭者,0.2%,131,
法奥瑞斯国王,0.1%,85,
法老御猫,43.3%,140,
泥沼狩猎者,3.2%,123,
洛欧塞布,0.1%,109,
洞穴探宝者,0.2%,73,
活动假人,0.3%,77,
活化纪念碑,4.9%,106,
活化龙息,15.7%,99,
流沙元素,7.7%,116,
海地精猎手,11.9%,93,
海巨人,0.5%,127,
海蛇蛋,1.6%,46,
海象人渔夫,0.2%,100,
浸毒武器,0.4%,140,
消失,13.5%,66,
淡水鳄,3.3%,78,
淤泥喷射者,0.3%,133,
淤泥践踏者,8.2%,99,
