名称,抓取率,评分,
“开拓者”伊莉斯,0.1%,127,
下水道渔人,14.9%,121,
下水道爬行者,0.1%,100,
下水道软泥怪,0.4%,44,
不稳定的元素,0.1%,102,
不稳定的异变,0.2%,187,
丛林猎豹,4%,85,
中暑的匪徒,2.1%,103,
乌特加德鱼叉射手,1%,62,
乌达斯塔,0.1%,145,
书卷之龙,0.4%,90,
乱喷的骆驼,1.7%,36,
了不起的杰弗里斯,3.4%,240,
二流打手,0.2%,121,
亚煞极,0.1%,94,
亡灵药剂师,0.2%,106,
人偶大师多里安,0.3%,71,
任务达人,1.5%,106,
伊瑟拉,1.4%,92,
伞降教官,5.5%,83,
传送门大恶魔,5%,91,
传送门守护者,8.3%,94,
伪装机器人,6.3%,106,
低语元素,0.1%,70,
作战傀儡,1.8%,80,
侏儒发明家,6.1%,93,
侏儒变形师,2.5%,127,
侏儒实验技师,0.6%,68,
倔强的蜗牛,0.3%,132,
元素反应,16%,117,
先到先得,0.1%,87,
先祖之魂,12.1%,94,
先祖治疗,6.5%,69,
光明之翼,1.2%,117,
克洛玛古斯,0.1%,90,
全息术士,0.3%,68,
八爪巨怪,1.4%,181,
公会招募员,0.1%,90,
再生大盗,2.8%,82,
军情七处渗透者,3.4%,100,
冥光鱼人,17.3%,105,
冰冻粉碎者,0.1%,123,
冰吼,0.1%,106,
冰川裂片,0.3%,127,
冰雹使者,22.6%,118,
冰霜元素,7.2%,87,
冰霜暴怒者,0.1%,91,
冰霜震击,7.7%,71,
冰风雪人,8.3%,102,
凯尔萨斯·逐日者,0.3%,58,
凯恩·血蹄,1%,111,
凶恶的雨云,30.3%,143,
凶恶的鳞皮兽,6.2%,81,
分裂战斧,14.9%,120,
分裂腐树,0.8%,88,
剃刀猎手,3.8%,85,
剑龙,0.2%,93,
功夫大师,0.1%,76,
加兹鲁维,0.1%,65,
加基森名媛,0.1%,91,
加基森拍卖师,0.2%,72,
动力战锤,20.8%,168,
勇敢的记者,0.2%,115,
化学怪人,0.3%,129,
十字军统领,0.2%,99,
卑劣的窃蛋者,0.2%,132,
南海船工,1%,69,
南海船长,0.2%,77,
南瓜农夫,5.8%,90,
卡利莫斯的仆从,0.1%,98,
卡塔图防御者,18.7%,100,
厄运信天翁,13.2%,79,
厄运鼹鼠,0.2%,79,
历史爱好者,5.1%,126,
原始融合,0.1%,78,
叉状闪电,23.7%,123,
双头暴虐龙,39.2%,155,
发条侏儒,10.3%,88,
发条巨人,0.8%,39,
发条机器人,0.6%,64,
发条骑士,0.2%,95,
受伤的克瓦迪尔,0.1%,77,
受伤的托维尔人,11.7%,103,
受损的机械剑龙,6.2%,99,
古怪的铭文师,42.2%,127,
古拉巴什狂暴者,1.1%,77,
叫嚣的中士,3.4%,79,
可升级机器人,1.6%,94,
可靠的灯泡,0.4%,72,
吉尔尼斯皇家卫兵,7.8%,112,
后院保镖,0.1%,103,
吵吵机器人,12.4%,107,
吸血蚊,5.3%,82,
吹箭鱼人,0.1%,110,
咖啡师林彻,1.4%,122,
哈加莎的阴谋,43.5%,130,
哈里森·琼斯,0.4%,76,
唤雾者伊戈瓦尔,0.1%,101,
唤鸦者,13.1%,98,
喧哗的诗人,0.1%,110,
喷灯破坏者,4.7%,119,
嗜血,32.2%,146,
回收机器人,0.2%,46,
团队领袖,2.6%,98,
图腾啃食者,1.4%,68,
图腾潮涌,3.1%,69,
土元素,6.8%,140,
圣光勇士,0.2%,110,
圣光护卫者,0.3%,57,
地精工兵,2.1%,73,
地精滑翔技师,11.2%,78,
地精炸弹,0.1%,25,
地震术,19.2%,125,
坑道爆破师,6.4%,79,
坑道穴居人,0.4%,113,
坩埚元素,2.6%,65,
基维斯,1.6%,74,
塑沼者,2.1%,85,
墓地蹒跚者,0.2%,95,
墓穴潜伏者,0.1%,100,
墓穴蜘蛛,0.2%,120,
多彩龙卵,1%,83,
夜刃刺客,1.4%,73,
大厨诺米,0.2%,63,
大地之力,17.5%,116,
大地之环先知,6.7%,96,
大地震击,30.9%,100,
大师级枪骑士,0.2%,66,
大检察官怀特迈恩,0.9%,126,
大法师,2.5%,80,
大法师瓦格斯,1.2%,97,
大胖,0.6%,84,
夺尸者,0.1%,88,
夺日者战斗法师,3.2%,78,
夺日者间谍,9.2%,87,
夺烛木乃伊,18.2%,129,
奇利亚斯,2.7%,158,
奔逃的魔刃豹,11.9%,103,
奥妮克希亚,1.1%,109,
奥术仆从,15.7%,87,
奥术傀儡,0.1%,58,
奥术吞噬者,0.2%,53,
奥秘吞噬者,0.1%,55,
奥秘守护者,0.2%,51,
奥能水母,8.1%,129,
女伯爵阿莎摩尔,0.9%,88,
女巫森林吹笛人,3.8%,81,
