名称,抓取率,评分,
A3型机械金刚,0.2%,81,
“开拓者”伊莉斯,0.1%,130,
下水道爬行者,0.3%,107,
下水道软泥怪,0.3%,45,
不稳定的元素,0.3%,106,
丛林猎豹,5.1%,90,
中暑的匪徒,2.9%,108,
乌特加德鱼叉射手,1.3%,65,
乱喷的骆驼,2.1%,40,
了不起的杰弗里斯,3.3%,242,
二流打手,0.2%,127,
亚煞极,0.1%,88,
亡灵药剂师,0.6%,142,
人偶大师多里安,0.6%,70,
人气选手,0.1%,111,
任务达人,2.3%,111,
伊瑟拉,1.4%,88,
伞降教官,8.3%,86,
传送门大恶魔,5%,89,
传送门守护者,9.7%,94,
伪装机器人,7.2%,105,
作战傀儡,2%,83,
侏儒发明家,4.4%,94,
侏儒变形师,3%,124,
侏儒实验技师,0.8%,67,
俘获的冰虫,0.2%,79,
倔强的蜗牛,0.7%,139,
光明之翼,1%,124,
光明邪使菲奥拉,0.1%,119,
克尔苏加德,0.1%,109,
全息术士,0.3%,69,
八爪巨怪,0.8%,179,
公会招募员,0.2%,106,
再生大盗,2.1%,76,
军情七处渗透者,3.3%,106,
冰冻粉碎者,0.2%,124,
冰吼,0.1%,100,
冰川裂片,0.6%,129,
冰雹使者,20.3%,125,
冰霜元素,7.6%,91,
冰风雪人,6.9%,109,
凯尔萨斯·逐日者,0.2%,78,
凯恩·血蹄,1.2%,116,
凶恶的鳞皮兽,8.4%,93,
击剑教头,0.1%,104,
分裂腐树,1%,86,
利齿宝箱,0.1%,98,
剃刀猎手,4.4%,91,
剑齿追猎者,0.1%,79,
剑龙,0.3%,102,
功夫大师,0.1%,74,
加兹鲁维,0.1%,64,
加基森名媛,0.4%,92,
加基森拍卖师,0.1%,70,
加拉克苏斯大王,4.6%,138,
勇敢的记者,0.6%,115,
化学怪人,0.4%,123,
十字军统领,0.1%,98,
午夜噩龙,0.1%,108,
卑劣的窃蛋者,0.5%,136,
南海船工,1.1%,73,
南海船长,0.2%,81,
南瓜农夫,6.4%,109,
卡利莫斯的仆从,0.1%,87,
卡塔图防御者,24%,126,
卡扎库斯,0.1%,184,
厄运信天翁,13%,87,
厄运鼹鼠,0.4%,87,
历史爱好者,5.4%,136,
双头暴虐龙,39%,163,
双生小鬼,15.2%,132,
发条侏儒,10.7%,90,
发条巨人,0.6%,36,
发条机器人,0.4%,63,
受伤的克瓦迪尔,0.1%,87,
受伤的托维尔人,13.5%,118,
受损的机械剑龙,9%,105,
古加尔,0.1%,86,
古怪的铭文师,41.5%,136,
