名称,抓取率,评分,
下水道软泥怪,0.7%,49,
不稳定的元素,0.1%,97,
丛林猎豹,4.1%,87,
严酷的监工,27.1%,113,
中场拾荒者,0.5%,84,
中暑的匪徒,1.7%,106,
乌特加德鱼叉射手,1.3%,65,
乱喷的骆驼,1.8%,39,
了不起的杰弗里斯,3.3%,234,
二流打手,0.1%,105,
亡灵药剂师,0.1%,110,
人偶大师多里安,0.1%,75,
任务达人,1.2%,111,
伊瑟拉,1.5%,91,
伞降教官,4%,85,
传送门大恶魔,5.5%,94,
传送门守护者,8.5%,97,
伪装机器人,7.6%,105,
低阶侍从,0.2%,69,
作战傀儡,0.9%,84,
侏儒发明家,6%,91,
侏儒变形师,2.5%,125,
侏儒实验技师,0.4%,67,
保卫国王,0.1%,86,
倔强的蜗牛,0.2%,134,
光明之翼,1%,112,
克洛玛古斯,0.1%,93,
克瓦迪尔劫掠者,0.3%,90,
全息术士,0.2%,58,
八爪巨怪,1.7%,174,
公会招募员,0.1%,103,
兽人铸甲师,0.1%,92,
再生大盗,3.1%,74,
冒进的艇长,18.7%,106,
军情七处渗透者,3%,103,
冰喉,0.1%,152,
冰川裂片,0.2%,132,
冰雹使者,18.3%,123,
冰霜元素,7.6%,93,
冰霜巨人,0.1%,78,
冰风雪人,8.5%,106,
冲锋,1.4%,66,
冷酷的死灵法师,0.6%,109,
凯尔萨斯·逐日者,0.2%,60,
凯恩·血蹄,1.7%,115,
凶恶的废钢猎犬,15.3%,84,
凶恶的鳞皮兽,4%,79,
凶暴猿猴,0.3%,132,
分裂腐树,0.8%,91,
制毒师,0.3%,90,
剃刀猎手,2.5%,89,
剑龙,0.1%,92,
加固,0.1%,59,
加基森拍卖师,0.3%,69,
勇敢的记者,0.2%,113,
化学怪人,0.1%,125,
化血为脓,0.1%,127,
升级！,12.1%,111,
卑劣的窃蛋者,0.1%,128,
南海船工,3.1%,90,
南海船长,0.6%,82,
南瓜农夫,4.3%,84,
卡塔图防御者,19.2%,95,
厄运信天翁,11.2%,80,
厄运鼹鼠,0.1%,86,
历史爱好者,4.5%,133,
双头暴虐龙,38.3%,159,
发条侏儒,8.5%,87,
发条地精,16.2%,93,
发条巨人,0.9%,41,
发条机器人,0.2%,64,
受伤的托维尔人,11.1%,108,
受损的机械剑龙,8.5%,95,
古怪的铭文师,37.9%,132,
古拉巴什狂暴者,3.5%,94,
叫嚣的中士,1.4%,73,
可升级机器人,1.8%,93,
可靠的灯泡,0.9%,66,
吉尔尼斯皇家卫兵,10.6%,116,
吵吵机器人,11%,103,
吸血蚊,4.2%,77,
吹箭鱼人,0.1%,101,
命令怒吼,8.9%,106,
咖啡师林彻,1.5%,119,
哈里森·琼斯,0.3%,76,
唤尸者,0.2%,103,
唤鸦者,9.5%,94,
喧哗的诗人,0.1%,100,
喷灯破坏者,4.1%,120,
嗜睡的神枪手,0.1%,34,
回收机器人,0.2%,50,
团队领袖,1.2%,74,
圣剑扳手,11.3%,132,
地精工兵,1.3%,72,
地精滑翔技师,10.8%,92,
地精炸弹,0.2%,25,
坑道爆破师,9.5%,76,
坩埚元素,0.8%,67,
城镇公告员,8.1%,130,
基维斯,1%,70,
墓穴潜伏者,0.1%,98,
墓穴蜘蛛,0.2%,114,
多彩龙卵,1.5%,43,
夜刃刺客,0.5%,75,
大厨诺米,0.2%,66,
大地之环先知,6.6%,96,
大师级枪骑士,0.1%,65,
大检察官怀特迈恩,1%,125,
大法师,2.3%,79,
大法师瓦格斯,0.7%,90,
大胖,0.8%,102,
失心农夫,0.1%,53,
夺日者战斗法师,1.7%,65,
夺日者间谍,7.8%,93,
夺烛木乃伊,16.9%,129,
